N	3gram	Nazirov_Tr	Problema
1	тем не менее	1	56
2	о том что	2	39
3	в том что	2	37
4	в связи с	1	29
5	в данном случае	2	28
6	во всяком случае	1	25
7	в конце концов	1	23
8	сам по себе	1	21
9	и то что	1	20
10	в то же	5	17
11	точно так же	2	16
12	в этом случае	1	14
13	не может быть	1	12
14	и в частности	2	12
15	и в этом	1	12
16	не только не	1	10
17	с самого начала	1	7
18	это и есть	1	7
19	и как бы	2	6
20	в самом деле	1	6
21	так и в	3	6
22	самостоятельное значение и	1	5
23	хотя бы и	1	5
24	том что он	1	5
25	несмотря на всю	1	4
26	и вместе с	1	4
27	но все же	2	4
28	все же не	1	4
29	то что он	1	3
30	искусство для искусства	1	3
31	в отличие от	2	3
32	к тому что	1	3
33	за то что	1	3
34	в чем же	1	3
35	как и в	1	3
36	который в своей	1	3
37	отнюдь не является	1	3
38	по сравнению с	1	3
39	бросается в глаза	2	3
40	это не просто	1	3
41	не в силах	2	3
42	но в то	2	3
43	после того как	1	3
44	и т п	1	2
45	для чего же	1	2
46	как и его	1	2
47	но несмотря на	1	2
48	целесообразностью без цели	1	2
49	никто не скажет	1	2
50	мысль о том	1	2
51	в братьях карамазовых	1	2
52	в виду не	1	2
53	и не знал	1	2
54	не скажет что	1	2
55	искусством для искусства	1	2
56	и все же	1	2
57	что он не	1	2
58	и знает что	1	2
59	в известной мере	1	2
60	все эти образы	1	2
61	но уже не	1	2
62	и не может	1	2
63	в какой-то мере	1	2
64	связаны между собой	1	2
65	но в конце	1	2
66	ничего не значит	1	2
67	и в самом	2	2
68	выходящее за пределы	1	1
69	униженных и оскорбленных	16	1
70	имеет в виду	1	1
71	преступлении и наказании	2	1
72	записках из подполья	1	1
73	что в ней	1	1
74	любви ко всему	1	1
75	относится то что	1	1
76	чем он сам	1	1
77	все эти черты	1	1
78	но при этом	1	1
79	в разговоре с	1	1
80	а между тем	1	1
81	смысле этого слова	1	1
82	за что не	1	1
83	с тем и	1	1
84	еще в году	1	1
85	виде и что	1	1
86	эти образы и	1	1
87	приходит в голову	1	1
88	в записках из	2	1
89	и ко всей	1	1
90	герое этого романа	1	1
91	что он с	1	1
92	в той же	1	1
93	и не быть	1	1
94	это тот самый	1	1
95	конце концов сам	1	1
96	и в дальнейшем	2	1
97	в своей книге	1	1
98	может быть в	1	1
99	необходимо подчеркнуть что	1	1
100	во французской литературе	1	1
101	не так ли	1	1
102	ни за что	1	1
103	предстает перед нами	1	1
104	ничего подобного нет	1	1
105	как и все	1	1
106	мы бы сказали	1	1
107	она все же	1	1
108	у него нет	1	1
109	уже в году	1	1
110	только на путях	1	1
111	самое большее что	1	1
112	обстоит дело с	1	1
113	и потому как	1	1
114	в году в	2	1
115	еще ничего не	1	1
116	и он сам	1	1
117	у него есть	1	1
118	бы и не	1	1
119	это должно быть	1	1
120	не только по	1	1
121	в одном из	1	1
122	не сводится только	1	1
123	я не хочу	1	1
124	он перестает быть	1	1
125	в и ленина	1	1
126	что все это	1	1
127	это очень важный	1	1
128	в общем смысле	1	1
129	может быть не	1	1
130	у достоевского не	1	1
131	не только о	1	1
132	не могут быть	1	1
133	об этом свидетельствует	1	1
134	несмотря на все	1	1
135	то и дело	1	1
136	он сам о	1	1
137	то же время	5	1
138	в таком виде	1	1
139	перед нами на	1	1
140	униженные и оскорбленные	9	1
141	друг друга и	1	1
142	это может быть	1	1
143	и должно быть	1	1
144	во всем его	1	1
145	в третий раз	1	1
146	романа униженные и	1	1
147	на всю ее	1	1
148	что он вообще	1	1
149	и оскорбленных и	1	1
150	сам о себе	1	1
151	своей и чужой	1	1
152	мы отнюдь не	1	1
153	она как бы	1	1
154	на ту сторону	1	1
155	но это уже	1	1
156	по нашему мнению	1	1
157	в преступлении и	2	1
