N	2gram	Tiupa_Narr	Russkaja
1	не может	16	22
2	и не	34	19
3	в этом	23	17
4	в том	20	17
5	с другом	1	14
6	и в	22	14
7	друг с	1	14
8	то что	14	13
9	самим собой	3	12
10	таким образом	5	11
11	то же	12	11
12	точки зрения	8	11
13	но и	39	10
14	же время	7	10
15	в то	9	10
16	не только	50	9
17	с точки	2	9
18	том что	15	9
19	во всяком	2	9
20	может быть	24	9
21	церкви и	2	9
22	в себе	14	9
23	прежде всего	7	8
24	того чтобы	7	8
25	как на	2	8
26	не будет	2	7
27	самом деле	4	7
28	к тому	13	7
29	о том	5	7
30	в данном	17	7
31	мы должны	1	7
32	и с	3	7
33	отнюдь не	6	7
34	и к	7	6
35	для всех	1	6
36	если в	2	6
37	для него	8	6
38	признать что	1	6
39	все это	1	6
40	на самом	1	6
41	в своих	2	6
42	если бы	9	6
43	и для	4	6
44	с тем	1	6
45	что он	7	6
46	для того	4	6
47	в своем	7	6
48	всяком случае	2	6
49	а потому	2	5
50	до сих	3	5
51	и на	5	5
52	из которых	1	5
53	только в	23	5
54	или иной	6	5
55	в своей	8	5
56	в последние	2	5
57	жизни в	7	5
58	между собой	3	5
59	последние дни	1	5
60	во всех	2	5
61	сих пор	3	5
62	и только	2	5
63	вопрос о	1	5
64	хотя бы	4	5
65	потому что	7	5
66	в нем	9	5
67	между тем	5	5
68	он не	8	5
69	а в	19	5
70	при этом	31	5
71	было бы	2	5
72	на то	4	5
73	никогда не	8	5
74	что в	6	4
75	во всем	1	4
76	бы то	1	4
77	и то	3	4
78	все что	4	4
79	так как	1	4
80	к этой	1	4
81	быть самим	1	4
82	в его	12	4
83	не могут	1	4
84	его в	1	4
85	более или	2	4
86	не в	12	4
87	лишь к	1	4
88	в корне	1	4
89	вместе с	3	4
90	как и	15	4
91	на земле	1	4
92	в мире	8	4
93	все же	10	4
94	приводит к	2	4
95	в их	1	4
96	со стороны	14	4
97	себе и	2	4
98	ли это	1	4
99	или менее	2	4
100	том случае	1	4
101	которой он	4	4
102	то ни	1	4
103	можно было	2	4
104	а лишь	1	4
105	и т.д	7	4
106	как бы	11	4
107	в этой	8	4
108	себя в	4	4
109	жизни и	7	4
110	но не	7	4
111	точку зрения	3	4
112	в самом	8	3
113	то в	4	3
114	что они	1	3
115	может не	1	3
116	данном случае	12	3
117	и сейчас	1	3
118	должно быть	1	3
119	несмотря на	1	3
120	что это	4	3
121	в качестве	27	3
122	для них	2	3
123	что и	3	3
124	сводится к	10	3
125	что может	2	3
126	в виде	2	3
127	в будущем	1	3
128	не было	3	3
129	связи с	3	3
130	или в	7	3
131	ни одна	1	3
132	тем что	1	3
133	именно в	5	3
134	в конце	4	3
135	и как	4	3
136	и т	3	3
137	да и	5	3
138	о котором	4	3
139	но мы	1	3
140	той или	7	3
141	еще не	6	3
142	все они	1	3
143	и потому	2	3
144	только к	3	3
145	при условии	1	3
146	собой это	1	3
147	случае если	1	3
148	одна из	5	3
149	в значительной	1	3
150	на том	2	3
151	в другом	5	3
152	от церкви	1	3
153	можно ли	1	3
154	в большинстве	1	3
155	лишь в	3	3
156	она может	2	3
157	что для	1	3
158	главным образом	1	3
159	одной из	2	3
160	с нею	2	3
161	что все	1	3
162	в сознании	6	3
163	он сам	4	3
164	и по	3	3
