N	4gram	Medvedev_U	Formalny
1	в то же время	3	20
2	бы то ни было	3	7
3	и в то же	1	6
4	то же время не	1	3
5	но в то же	1	3
6	формального метода в россии	1	2
7	мы имеем в виду	1	2
8	не в том что	1	2
9	в этом отношении очень	1	2
10	душа сюда же литературного	1	1
11	методах изучения литературы а	1	1
12	в этом отношении статья	1	1
13	не может пройти мимо	1	1
14	то о чем рассказывается	1	1
15	изучения литературы а о	1	1
16	создает для себя содержание	1	1
17	литературные произведения а как	1	1
18	сумме его стилистических приемов	2	1
19	рассматривать не как литературные	1	1
20	большей или меньшей степени	1	1
21	в этом смысле можно	1	1
22	наука о литературе хочет	1	1
23	а как психологические документы	1	1
24	и в этой области	2	1
25	произведения а как психологические	1	1
26	не как литературные произведения	1	1
27	в большей или меньшей	1	1
28	поэтики на лингвистику в	1	1
29	все это в совокупности	1	1
30	с другой стороны в	1	1
31	наукой она принуждается признать	1	1
32	как литературные произведения а	1	1
33	в точном смысле этого	1	1
34	о методах изучения литературы	1	1
35	ориентации поэтики на лингвистику	1	1
36	содержание душа сюда же	1	1
37	только в этом случае	1	1
38	стать наукой она принуждается	1	1
39	не о методах изучения	1	1
40	если наука о литературе	1	1
41	обычное правило форма создает	1	1
42	форма создает для себя	1	1
43	о формальном методе и	1	1
44	принуждается признать приемы своим	1	1
45	о литературе хочет стать	1	1
46	она принуждается признать приемы	1	1
47	друг с другом не	1	1
48	является с одной стороны	1	1
49	признать приемы своим единственным	1	1
50	и в конце концов	1	1
51	правило форма создает для	1	1
52	хочет стать наукой она	1	1
53	литературе хочет стать наукой	1	1
54	приемы своим единственным героем	1	1
55	сюда же литературного произведения	1	1
56	склонен рассматривать не как	1	1
57	при таком понимании форма	1	1
