N	4gram	Tiupa_Anal	KFilosof
1	один и тот же	1	3
2	одна и та же	1	2
3	бы то ни было	3	2
4	в то же время	7	2
5	только в том что	1	1
6	то же самое что	1	1
7	бы оно ни было	1	1
8	несмотря на то что	1	1
9	противном случае мы имеем	1	1
10	есть эмоционально-волевое мышление интонирующее	1	1
11	в противном случае мы	1	1
12	эмоционально-волевое мышление интонирующее мышление	1	1
13	только тогда когда оно	1	1
14	ведь один и тот	1	1
15	во всех этих случаях	1	1
16	но в то же	2	1
17	и в этом смысле	1	1
18	тем не менее в	1	1
19	той или иной культурной	1	1
20	одного и того же	2	1
21	и не в том	1	1
