N	3gram	Propp_Morf	Mirosoze
1	не может быть	9	28
2	в том что	4	9
3	для того чтобы	3	7
4	в высшей степени	1	7
5	и в этой	1	6
6	о том что	3	6
7	друг к другу	2	6
8	до сих пор	1	5
9	что и в	1	5
10	мы увидим что	2	5
11	после того как	1	5
12	может быть и	2	5
13	по отношению к	7	4
14	потому что в	1	4
15	на то что	3	4
16	в то время	3	4
17	не что иное	2	4
18	можно было бы	2	4
19	то время как	3	4
20	что иное как	2	4
21	том что он	1	3
22	есть не что	1	3
23	к тому что	4	3
24	но это не	1	3
25	это значит что	1	3
26	во всяком случае	2	3
27	как и в	3	3
28	это не значит	2	2
29	но это и	1	2
30	он не может	1	2
31	в е годы	1	2
32	все более и	1	2
33	бросается в глаза	1	2
34	том что все	1	2
35	и у него	1	2
36	это означает что	1	2
37	к другу и	2	2
38	более и более	1	2
39	подобно тому как	5	2
40	не могут быть	4	2
41	как бы в	1	2
42	в этом отношении	2	2
43	уже не только	1	2
44	он не свободен	1	1
45	человеческой природой и	1	1
46	в тот момент	1	1
47	и когда мы	1	1
48	она должна быть	1	1
49	или нет в	1	1
50	к соединению с	1	1
51	не значит что	3	1
52	обнаруживает что в	1	1
53	который может быть	1	1
54	но они не	1	1
55	решить вопрос о	1	1
56	и есть то	1	1
57	друг на друга	2	1
58	и в последней	1	1
59	во втором случае	1	1
60	должно быть поставлено	1	1
61	на этом основании	1	1
62	в каком это	1	1
63	во многих отношениях	1	1
64	но и его	1	1
65	в этом нет	1	1
66	друг с другом	1	1
67	в том случае	3	1
68	не потому что	1	1
69	не в той	1	1
70	он ничего не	1	1
71	это нисколько не	1	1
72	вместо того чтобы	1	1
73	и в нашем	1	1
74	тех случаях когда	2	1
75	и в других	2	1
76	не имеет смысла	1	1
77	может быть названа	1	1
78	что в основе	1	1
79	сказать что всякий	1	1
80	нужно помнить что	1	1
81	мысль о необходимости	1	1
82	что вопрос о	1	1
83	с другой стороны	5	1
84	точном смысле слова	1	1
85	вряд ли можно	1	1
86	но так как	2	1
87	не всегда легко	1	1
88	смысле слова а	1	1
89	в тех случаях	2	1
90	сих пор не	1	1
91	которые не могут	1	1
92	и могут быть	1	1
93	той или иной	1	1
94	все еще недостаточно	1	1
95	должны привести к	1	1
96	с точки зрения	6	1
97	с того что	2	1
98	принадлежат к самым	1	1
99	в чем же	1	1
100	и действительно в	1	1
101	в иных случаях	2	1
102	в то же	1	1
103	и возможно что	1	1
104	то же время	1	1
105	на самом деле	4	1
106	не означает что	1	1
107	другой стороны у	1	1
108	она все же	1	1
109	так как они	1	1
110	не все ли	2	1
111	так же не	1	1
112	мы имеем в	2	1
113	во всех этих	1	1
114	то мы имеем	2	1
115	сомневаться в том	1	1
116	сам он не	1	1
117	огромную роль в	1	1
118	она может быть	1	1
119	между тем в	1	1
120	том случае если	2	1
121	а вовсе не	2	1
122	с одной стороны	2	1
123	или потому что	2	1
124	может быть названо	4	1
125	что он живет	1	1
126	это было бы	1	1
