N	3gram	Losev_Vlad	PoTuStor
1	не может быть	4	3
2	в чем не	1	3
3	по крайней мере	1	3
4	в этом смысле	4	3
5	во всяком случае	8	3
6	можно сказать что	3	3
7	ни в чем	1	3
8	но в общем	2	2
9	и с его	1	2
10	но отнюдь не	1	2
11	о том что	9	2
12	в переводе на	1	2
13	в самом деле	1	2
14	на протяжении всей	1	2
15	нет никаких оснований	1	2
16	и в этом	1	2
17	нам кажется что	2	2
18	так и в	1	1
19	именно здесь в	1	1
20	в том что	13	1
21	мы знаем что	2	1
22	этим и объясняется	1	1
23	то что можно	1	1
24	а может быть	1	1
25	не что иное	2	1
26	что иное как	2	1
27	дело в том	7	1
28	а в конце	2	1
29	вместе с тем	2	1
30	вместе с ним	1	1
31	мы уже знаем	1	1
32	но вместе с	1	1
33	лучше всего и	1	1
34	во многих случаях	1	1
35	как мы сказали	2	1
36	в известной степени	1	1
37	прежде всего на	1	1
38	человек не может	1	1
39	еще в году	2	1
40	может быть речи	1	1
41	как мы знаем	3	1
42	в этот момент	1	1
43	без всякого участия	1	1
44	нас здесь интересует	1	1
45	как это было	1	1
46	и можно сказать	2	1
47	и как мы	2	1
48	и теперь в	1	1
49	едва ли так	1	1
50	для него только	1	1
51	со всеми его	1	1
52	то ни было	1	1
53	с ним и	1	1
54	в высшей степени	1	1
55	в свое время	6	1
56	очень важный момент	1	1
57	его отношение к	1	1
58	для нас очень	1	1
59	в этой борьбе	1	1
60	для того чтобы	3	1
61	сказать что для	1	1
62	так как он	2	1
63	а с другой	1	1
64	жизни и деятельности	2	1
65	в разных местах	1	1
66	как это делает	2	1
67	с одной стороны	1	1
68	на первый план	4	1
69	то что я	1	1
70	он не был	1	1
71	и ни в	1	1
72	в этом отношении	2	1
73	свое время и	1	1
74	на всю жизнь	1	1
75	это и есть	1	1
76	его жизни в	1	1
77	бы то ни	2	1
78	но даже и	3	1
79	имеем дело с	1	1
80	в году в	3	1
81	несколько слов о	1	1
82	в связи с	7	1
83	случае не может	1	1
84	уже не может	1	1
