N	4gram	Losev_Dial	VLabPisa
1	в то же время	3	5
2	и в то же	2	3
3	с одной стороны и	1	2
4	в том отношении что	1	2
5	уже по одному тому	2	2
6	по одному тому что	3	2
7	не в том что	4	2
8	есть одно и то	1	1
9	с этой точки зрения	4	1
10	о том как он	1	1
11	в том смысле что	1	1
12	иметь в виду что	1	1
13	не чем иным как	1	1
14	и есть то что	1	1
15	и может быть даже	1	1
16	одно и то же	2	1
17	и в зависимости от	1	1
18	говоря уже о том	2	1
19	самого себя таким образом	1	1
20	уже сама по себе	1	1
21	это и значит что	1	1
22	но в то же	1	1
23	уже о том что	2	1
24	так же как и	1	1
25	в то время как	6	1
26	не говоря уже о	6	1
27	понимать в том смысле	1	1
