N	2gram	Berdyaev_N	ViktorSh
1	в конце	1	2
2	и в	16	2
3	в том	8	2
4	том что	2	2
5	все время	2	1
6	но это	6	1
7	по существу	2	1
8	заключается что	2	1
9	в самом	1	1
10	для них	1	1
11	от других	1	1
12	что сами	1	1
13	ни к	2	1
14	и заключается	2	1
15	не хочу	1	1
16	не хотел	1	1
17	к созданию	2	1
18	и его	1	1
19	на заре	1	1
20	к чему	1	1
21	значительной степени	1	1
22	хотя бы	2	1
23	которые они	1	1
24	только в	1	1
25	потому что	4	1
26	в значительной	1	1
27	и только	1	1
28	и не	11	1
29	я не	2	1
30	в этом	7	1
31	так как	1	1
32	все это	5	1
