N	4gram	Ircho_Kome	Narrotol
1	в то же время	11	8
2	состоит в том что	1	6
3	обращает на себя внимание	3	3
4	той мере в какой	1	2
5	в той мере в	1	2
6	и в то же	2	2
7	одного и того же	1	2
8	к тому же в	1	2
9	с этой точки зрения	1	1
10	и т п не	1	1
11	на себя внимание что	1	1
12	до сих пор еще	1	1
13	между детьми и родителями	1	1
14	до поры до времени	1	1
15	который в свою очередь	1	1
16	с одной стороны и	2	1
17	сомневаться в том что	1	1
18	бы то ни было	3	1
19	ни в чем не	2	1
20	в то время как	3	1
21	начинается с того что	1	1
22	один и тот же	3	1
23	и в самом деле	7	1
24	в самом деле не	1	1
25	в том числе и	2	1
26	как и всякий другой	1	1
27	он только что видел	1	1
28	как в случае с	1	1
29	за сто лет до	1	1
