N	3gram	Nazirov_Vr	EvropaiC
1	в том что	2	16
2	до сих пор	1	15
3	с точки зрения	2	8
4	а между тем	1	8
5	на то что	1	7
6	не может быть	2	4
7	о том что	1	4
8	тем не менее	1	4
9	с другой стороны	1	4
10	в конце концов	1	4
11	может быть и	1	4
12	заключается в том	1	3
13	в том же	1	3
14	все же не	1	3
15	так же как	1	3
16	и то что	1	3
17	в связи с	3	3
18	в свою очередь	1	2
19	во всяком случае	1	2
20	а следовательно и	1	2
21	в то время	1	2
22	в то же	4	2
23	и все что	1	2
24	а с другой	1	2
25	в высшей степени	1	2
26	то же время	4	2
27	свою книгу в	1	1
28	по крайней мере	1	1
29	европы и америки	1	1
30	друг у друга	1	1
31	но мы знаем	1	1
32	нет ничего общего	1	1
33	но в целом	1	1
34	лет тому назад	1	1
35	точно так же	1	1
36	все же он	1	1
37	тем более что	1	1
38	независимо от того	1	1
39	могут быть приняты	1	1
40	что у него	1	1
41	у него в	1	1
42	но при этом	1	1
43	что он сам	1	1
44	каждый из них	1	1
45	одно и то	1	1
46	следить за тем	1	1
47	в своих собственных	1	1
48	не забудем что	1	1
49	шаг за шагом	1	1
50	что они не	1	1
51	и то же	1	1
52	не только не	1	1
53	на первый взгляд	1	1
54	и все же	5	1
55	с тех пор	1	1
56	рядом с нею	1	1
57	за тем чтобы	1	1
58	и не может	1	1
