N	2gram	Potebnia_M	Myshleni
1	в том	38	195
2	в этом	18	167
3	то что	24	166
4	и в	58	162
5	том что	21	161
6	в развитии	2	151
7	таким образом	21	147
8	точки зрения	8	143
9	что в	34	119
10	мышления и	1	117
11	не только	32	116
12	того что	15	109
13	в процессе	1	101
14	так же	7	100
15	речи и	11	99
16	потому что	89	95
17	того чтобы	4	91
18	может быть	47	89
19	с точки	4	89
20	что он	5	86
21	не может	30	81
22	как и	16	79
23	для того	8	78
24	так как	29	78
25	и не	34	78
26	только в	36	75
27	в целом	3	74
28	как мы	3	72
29	но и	26	70
30	заключается в	3	67
31	в его	7	67
32	сказать что	5	65
33	мы могли	1	65
34	как бы	12	64
35	вместе с	12	62
36	и что	13	60
37	было бы	21	60
38	то же	13	58
39	в отношении	1	55
40	могли бы	4	54
41	что мы	11	53
42	в самом	5	52
43	по сравнению	1	51
44	в сущности	2	51
45	мы должны	4	50
46	ребенка и	1	49
47	к тому	5	49
48	что они	6	48
49	тем что	15	48
50	мы можем	10	48
51	понятий и	1	47
52	тогда когда	15	47
53	мы не	17	47
54	сравнению с	1	46
55	если бы	23	46
56	по отношению	15	45
57	но не	19	45
58	с другой	13	45
59	с тем	9	43
60	понятий в	3	43
61	же как	1	43
62	тем самым	6	43
63	тому что	4	42
64	как это	1	42
65	отношению к	13	42
66	в ходе	1	41
67	о том	6	40
68	по своей	2	40
69	одной стороны	6	40
70	никогда не	7	39
71	говорит он	4	39
72	с одной	7	39
73	так и	17	39
74	мы видели	5	38
75	в области	1	38
76	вопрос о	5	37
77	если мы	5	37
78	мы видим	5	37
79	не в	23	37
80	в этой	3	37
81	значение слова	2	37
82	с самого	5	36
83	в своем	3	36
84	речи как	1	36
85	все эти	3	36
86	самого начала	5	36
87	как в	18	36
88	а не	38	36
89	и его	7	36
90	того же	13	35
91	можно было	1	35
92	в себе	22	35
93	в которой	5	35
94	он не	4	35
95	для себя	4	35
96	связи с	6	34
97	во внутренней	3	34
98	и как	11	34
99	приводит к	1	34
100	прежде всего	8	33
101	для ребенка	1	33
102	при этом	17	33
103	по себе	24	33
104	мысли к	2	33
105	именно в	2	32
106	и на	8	32
107	той же	3	32
108	что оно	5	32
109	нас к	1	32
110	что и	16	32
111	и тем	5	32
112	но в	12	32
113	слова и	7	32
114	развития и	3	31
115	развития в	1	31
116	все же	11	31
117	из того	3	31
118	и то	4	31
119	мысли и	9	30
120	на то	5	30
121	этом отношении	1	30
122	этого слова	5	29
123	между тем	7	29
124	и развития	2	29
125	могут быть	17	29
126	показывает что	3	29
127	от того	9	29
128	с этим	11	28
129	что с	3	28
130	самом деле	2	28
131	переход от	2	28
132	к слову	1	28
133	только что	4	27
134	с этой	3	27
135	в результате	1	27
136	другой стороны	7	27
137	в то	6	27
138	и с	3	27
139	в своей	3	27
140	связь между	2	27
141	что все	4	27
142	перед нами	1	27
143	взрослого человека	1	27
144	в их	3	26
145	в собственном	4	26
146	собственном смысле	2	26
147	что это	5	26
148	для него	13	26
149	мысли в	11	26
150	в чем	6	25
151	что она	3	25
152	еще не	9	25
153	уже в	5	25
154	все это	3	25
155	можно сказать	1	25
156	по мере	10	25
157	своего развития	1	25
158	только не	2	25
159	мы уже	1	25
160	это не	10	25
161	в смысле	4	24
162	мы знаем	2	24
163	тот же	5	24
164	понятия и	3	24
165	зависимости от	1	24
166	на этот	2	24
167	того как	12	24
168	в какой	2	24
169	так что	23	24
170	в нем	26	24
171	в слове	21	24
172	оба эти	2	24
173	друг друга	6	23
174	этот вопрос	2	23
175	состоит в	1	23
176	бы в	6	23
177	ни в	2	23
178	как он	5	23
179	связи между	2	23
180	слова в	7	23
181	во всяком	9	22
182	не могут	10	22
183	то время	3	22
184	смысле этого	3	22
185	столь же	6	22
186	в известном	2	22
187	в зависимости	1	22
188	высшей степени	1	22
189	мыслью и	3	22
190	между ними	2	21
191	человеческой речи	6	21
192	умственного развития	1	21
193	к этому	3	21
194	и следовательно	4	21
195	и ее	1	21
196	с таким	3	21
197	на основании	3	21
198	в нашем	2	21
199	его в	3	21
200	показать что	1	21
201	там где	8	21
202	и все	6	21
203	не имеет	9	21
204	в истории	8	21
205	в сознании	8	21
206	ее в	1	21
207	и более	3	21
208	отношений между	5	21
209	отношение к	1	21
210	в виду	2	20
211	не менее	10	20
212	в котором	5	20
213	в другом	3	20
214	к которому	5	20
215	из них	2	20
216	время как	2	20
217	речь и	2	20
218	из этих	8	20
219	на вопрос	3	20
220	в такой	2	20
221	и других	6	20
222	а в	11	20
223	говорит что	1	20
224	едва ли	1	20
225	на этом	3	20
226	истории развития	1	20
227	должно быть	9	20
228	и их	6	20
229	в речи	1	19
230	но мы	3	19
231	в связи	2	19
232	во всех	12	19
233	и по	8	19
234	один из	2	19
235	но если	4	19
236	независимо от	15	19
237	в данном	1	19
238	для других	2	19
239	в той	1	19
240	мы и	1	19
241	словом и	2	19
242	с развитием	1	19
243	об отношении	3	19
244	как на	5	19
245	с ним	7	19
246	в себя	2	19
247	во всем	5	18
248	во всей	1	18
249	в психологии	1	18
250	одного и	6	18
251	но это	7	18
252	в отличие	1	18
253	и другое	7	18
254	отличие от	1	18
255	в образовании	1	18
256	этом смысле	4	18
257	слов и	5	18
258	всяком случае	7	18
259	чем в	2	18
260	от мысли	2	18
261	в этих	10	17
262	в своих	4	17
263	к другим	3	17
264	их в	2	17
265	в одном	13	17
266	понятие в	1	17
267	не есть	13	17
268	сих пор	5	17
269	и той	4	17
270	на деле	6	17
271	до сих	5	17
272	мысль не	1	17
273	в свою	8	17
274	тем же	4	17
275	и для	8	17
276	для этого	2	17
277	все что	5	17
278	нами в	2	17
279	иначе как	2	17
280	и того	6	17
281	у него	3	17
282	этой точки	2	17
283	ту же	1	17
284	и от	5	17
285	и есть	4	17
286	то и	15	17
287	совпадает с	1	17
288	мы находим	3	17
289	и только	6	17
290	и другие	1	16
291	одной и	4	16
292	в которых	2	16
293	языка и	20	16
294	из основных	2	16
