N	4gram	Losev_Vlad	Myslijsy
1	в то же время	7	13
2	но тем не менее	1	10
3	одной и той же	1	7
4	одно и то же	1	7
5	не в том что	1	7
6	один и тот же	2	4
7	в то время как	2	4
8	и в том что	1	4
9	не что иное как	2	4
10	а в том что	1	4
11	вместе с тем и	1	4
12	дело в том что	7	4
13	и в этом смысле	1	4
14	в том что он	2	3
15	до тех пор пока	2	3
16	по себе не может	1	3
17	в том виде в	1	3
18	а в том как	1	3
19	но во всяком случае	1	3
20	том виде в каком	1	3
21	не говоря уже о	3	3
22	и притом не только	1	2
23	говоря уже о том	1	2
24	на то что в	1	2
25	уже о том что	1	2
26	но дело в том	2	2
27	бы то ни было	1	2
28	то же время и	1	2
29	само по себе не	1	1
30	как мы уже сказали	2	1
31	не выходя за пределы	1	1
32	именно с тем что	1	1
33	и т д в	1	1
34	что бы то ни	1	1
35	нет и не может	1	1
36	а может быть и	1	1
37	всего этого видно что	1	1
38	и тот же с	1	1
39	не в том чтобы	1	1
40	и вместе с тем	1	1
41	между прочим потому что	1	1
42	во что бы то	1	1
43	это было для него	1	1
44	себе не может быть	1	1
45	а в том чтобы	1	1
46	еще и потому что	2	1
47	я в этом случае	1	1
48	что несмотря на все	1	1
49	здесь мы имеем дело	1	1
50	заключать в себе не	1	1
51	бы то ни стало	1	1
52	он относится к нему	1	1
53	и о том что	1	1
54	указывает на то что	1	1
55	и не может быть	1	1
56	он как мы уже	1	1
57	из всего этого видно	1	1
58	а можно ограничиться только	1	1
59	в то время в	1	1
60	как было сказано выше	1	1
61	тем не менее не	1	1
62	но вместе с тем	1	1
63	в с а а	1	1
64	мы имеем дело с	1	1
65	привело к тому что	1	1
66	есть не что иное	1	1
