N	2gram	Ircho_Kome	Retstnzi
1	не может	3	4
2	и в	40	3
3	если в	3	2
4	один из	9	2
5	общения и	1	2
6	при сравнении	1	1
7	может и	1	1
8	в особенности	1	1
9	несмотря на	5	1
10	может быть	16	1
11	не только	12	1
12	точки зрения	7	1
13	для него	1	1
14	первая часть	1	1
15	в ней	2	1
16	тех же	4	1
17	себе все	1	1
18	в каждом	2	1
19	связи с	3	1
20	бы на	1	1
21	лучше всего	1	1
22	его от	1	1
23	если бы	4	1
24	исходя из	1	1
25	который условно	1	1
26	в его	8	1
27	и тому	1	1
28	не менее	6	1
29	именно с	1	1
30	и заставляет	1	1
31	речь и	1	1
32	но и	14	1
33	вторая половина	1	1
34	к тому	15	1
35	во второй	4	1
36	тому что	4	1
37	и можно	2	1
38	в то	14	1
39	из этих	5	1
40	и больше	1	1
41	он в	1	1
42	же время	5	1
43	то же	7	1
44	по своим	1	1
45	а не	1	1
46	бы в	3	1
47	нет и	2	1
48	и не	19	1
49	так называемая	1	1
50	и все	4	1
51	и на	9	1
52	вполне понятно	1	1
