N	3gram	Losev_Prob	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	5	7
3	с точки зрения	13	6
4	во всяком случае	6	6
5	по крайней мере	8	5
6	а с другой	3	5
7	до сих пор	3	5
8	для того чтобы	3	5
9	в том числе	2	5
10	более или менее	1	5
11	том числе и	1	4
12	и вместе с	3	4
13	но все же	2	4
14	о том что	14	4
15	к тому же	5	4
16	в том что	13	3
17	в конце концов	7	3
18	и таким образом	1	3
19	всяком случае не	1	3
20	в связи с	11	3
21	точно так же	4	3
22	а так как	1	3
23	тем не менее	8	3
24	так или иначе	3	3
25	и для того	1	2
26	ничего общего с	2	2
27	и потому что	2	2
28	той или иной	4	2
29	в значительной мере	3	2
30	не только для	2	2
31	на то что	2	2
32	с самого начала	3	2
33	может быть даже	1	2
34	то или иное	1	2
35	то ни было	2	2
36	этой точки зрения	2	2
37	то же самое	2	2
38	с тех пор	1	2
39	можно сказать что	4	2
40	бы то ни	4	2
41	в этом отношении	4	2
42	то же время	1	2
43	в то же	2	2
44	с этой точки	2	2
45	но и для	1	2
46	друг на друга	1	2
47	таким образом если	1	2
48	и в этом	1	2
49	но в конце	1	1
50	так и в	1	1
51	жизни то есть	1	1
52	мы видели выше	2	1
53	в силу этого	1	1
54	совершенно ясно что	1	1
55	не потому что	1	1
56	все более и	1	1
57	именно потому что	1	1
58	и состоит из	1	1
59	или к его	1	1
60	сказать что в	1	1
61	в свою очередь	2	1
62	в одном и	1	1
63	в настоящее время	7	1
64	не только не	1	1
65	чуть ли не	1	1
66	старости и смерти	1	1
67	а вместе с	1	1
68	и том же	1	1
69	но в то	2	1
70	с богами и	1	1
71	в этой области	1	1
72	важно то что	1	1
73	с душой человека	1	1
74	и только в	1	1
75	не может быть	2	1
76	по отношению к	2	1
77	которые как показывает	1	1
78	одной из этих	1	1
79	в данном случае	5	1
80	в том или	3	1
81	и все же	1	1
82	одно нераздельное целое	4	1
83	людей но и	1	1
84	к искусству и	1	1
85	и никогда не	2	1
86	исходя именно из	1	1
87	и превращается в	1	1
88	по своему значению	1	1
89	не всегда и	1	1
90	общем можно сказать	1	1
91	после того как	3	1
92	только он один	1	1
93	и так и	1	1
94	в первую очередь	1	1
95	так и остается	1	1
96	в одно нераздельное	5	1
97	похожи друг на	1	1
98	на задний план	1	1
99	в безбрежном море	1	1
100	хотя бы например	1	1
101	которые могли бы	1	1
102	могут рассматриваться как	1	1
103	представление о богах	1	1
104	в самом деле	1	1
105	в таком случае	2	1
106	или по крайней	1	1
107	к этому что	1	1
108	тот факт что	1	1
109	видели выше что	1	1
110	в одном из	1	1
111	нашем смысле слова	4	1
112	указывает на то	1	1
113	мы и находим	1	1
114	ни в кого	1	1
115	состоит в том	1	1
116	несмотря на все	1	1
117	таким образом уже	2	1
118	и что он	1	1
119	крайней мере в	3	1
120	и что она	1	1
121	для людей но	2	1
122	в нашем смысле	4	1
123	с другой стороны	7	1
124	но тем не	1	1
125	все это было	1	1
126	к мысли о	1	1
127	о том как	1	1
128	на этой точке	1	1
129	не в том	1	1
130	одном и том	1	1
131	свидетельствует о том	1	1
132	в то время	4	1
133	но и всякий	1	1
134	здесь таким образом	1	1
135	только тогда когда	3	1
136	сливаются в одно	1	1
137	это и есть	2	1
138	более и более	1	1
139	не только как	1	1
140	ни на какие	1	1
141	а после его	1	1
142	в общем можно	1	1
143	добра и зла	1	1
144	еще и потому	2	1
145	и требует от	1	1
146	душой человека в	1	1
147	друг к другу	1	1
