N	3gram	Losev_Dial	Poddanst
1	то же время	8	7
2	в то же	7	7
3	в отношении к	1	5
4	в том что	12	4
5	не только в	2	4
6	сами по себе	4	3
7	в сравнении с	1	3
8	с точки зрения	18	3
9	с одной стороны	3	3
10	в своем значении	1	2
11	в полной мере	1	2
12	но и в	1	2
13	в ней не	1	2
14	и в то	3	2
15	и потому в	1	2
16	и не только	4	2
17	одной стороны и	3	2
18	и т д	28	1
19	вопрос об отношении	1	1
20	не было бы	2	1
21	друг с другом	2	1
22	как она есть	3	1
23	и в частности	4	1
24	в некотором смысле	1	1
25	к науке и	1	1
26	вместе с тем	1	1
27	оно есть и	1	1
28	но в то	1	1
29	мы отнюдь не	1	1
30	само по себе	7	1
31	если бы мы	1	1
32	в одно и	1	1
33	не может быть	4	1
34	– все это	3	1
35	та или иная	4	1
36	а никак не	1	1
37	том что в	1	1
38	но также и	1	1
39	ни на какие	1	1
40	в отдельности и	1	1
41	можно говорить о	1	1
42	в этом смысле	4	1
43	по сравнению с	2	1
44	есть прежде всего	1	1
45	с тем чтобы	1	1
46	как бы она	1	1
47	и то что	1	1
48	которые были бы	1	1
49	с ними как	1	1
50	и быть может	1	1
51	в каком смысле	1	1
52	значило бы что	1	1
53	что это значит?	2	1
54	между тем в	1	1
55	во всяком случае	3	1
56	для того чтобы	1	1
57	есть та или	1	1
58	видим в нем	1	1
59	с другой стороны	7	1
60	тем и другим	1	1
61	бы она ни	2	1
62	и не может	1	1
63	в жизни она	1	1
64	не в том	2	1
65	да и не	1	1
66	сливаются в одно	1	1
67	более или менее	5	1
68	так же как	1	1
69	для того кто	1	1
70	или хотя бы	2	1
71	и в этом	4	1
72	быть может и	1	1
