N	4gram	Losev_Vlad	slovoVRo
1	в то же время	7	18
2	но в то же	2	7
3	и в то же	3	6
4	как мы уже сказали	2	4
5	в одной плоскости с	1	3
6	одно и то же	1	3
7	и не может быть	1	2
8	ни в чем не	1	2
9	в то время как	2	2
10	то же время и	1	2
11	привело к тому что	1	2
12	чрезвычайно легко и быстро	1	1
13	что он не только	1	1
14	на самом же деле	1	1
15	и ни в чем	1	1
16	можно говорить только с	1	1
17	дело в том что	7	1
18	в том что в	2	1
19	а в том что	1	1
20	нет и не может	1	1
21	одной и той же	1	1
22	он как мы уже	1	1
23	но во всяком случае	1	1
24	том что он не	1	1
25	выдвигает на первый план	1	1
26	в том что он	2	1
27	бы то ни было	1	1
28	заключается в том чтобы	1	1
29	говорить только с помощью	1	1
30	хотя и не в	1	1
31	в этом отношении он	1	1
