N	2gram	Tiupa_Hudo	Marksizm
1	чужой речи	1	85
2	прямой речи	1	77
3	точки зрения	11	69
4	может быть	19	64
5	и в	23	63
6	и не	16	55
7	как бы	11	53
8	косвенной речи	1	51
9	не может	9	47
10	с точки	3	46
11	и пр	1	42
12	и его	12	41
13	в этом	12	39
14	таким образом	3	38
15	как мы	1	32
16	языка и	1	31
17	в пределах	3	31
18	лишь в	7	30
19	не только	20	29
20	то же	12	28
21	в нем	6	28
22	но и	14	27
23	связи с	3	25
24	речи и	4	25
25	самом деле	2	25
26	в самом	7	24
27	как и	3	24
28	прежде всего	5	24
29	только в	7	23
30	так и	12	23
31	и т.п	7	23
32	в том	20	22
33	то что	5	22
34	а не	13	22
35	при этом	19	20
36	для него	5	20
37	если мы	2	20
38	на почве	4	19
39	не в	9	19
40	если бы	3	19
41	том что	9	19
42	в его	11	19
43	языка в	4	18
44	в ее	6	18
45	внутренней речи	14	18
46	в слове	4	18
47	и для	3	18
48	но в	10	18
49	вовсе не	2	18
50	все же	1	17
51	в сущности	1	17
52	по отношению	10	16
53	ни было	2	16
54	речь в	1	16
55	слова и	2	16
56	и как	4	16
57	в то	8	16
58	во всех	3	15
59	в связи	3	15
60	отнюдь не	2	15
61	что он	5	15
62	высказывания и	2	15
63	же время	7	15
64	русском языке	1	15
65	в русском	1	15
66	отношению к	10	15
67	в данном	4	14
68	в контексте	3	14
69	в своей	7	13
70	так же	2	13
71	то ни	2	13
72	что в	7	13
73	и здесь	1	13
74	не является	5	13
75	того чтобы	5	13
76	было бы	1	13
77	слова в	3	13
78	для того	5	12
79	того же	3	12
80	бы то	2	12
81	в результате	1	12
82	между тем	4	12
83	он не	4	12
84	в основе	7	12
85	является не	1	12
86	а в	13	12
87	не столько	7	11
88	и того	3	11
89	к нему	3	11
90	и что	4	11
91	и от	1	11
92	как система	2	11
93	слова как	5	11
94	и на	3	11
95	как в	2	11
96	еще не	4	11
97	высказывание в	1	11
98	друг друга	1	11
99	так как	1	11
100	все эти	2	11
101	высказывания в	5	11
102	без исключения	4	10
103	именно в	2	10
104	с другой	9	10
105	сказать что	4	10
106	никогда не	2	10
107	в своем	4	10
108	его в	4	10
109	высказывания как	1	10
110	в таком	3	10
111	одна из	2	10
112	в каждом	1	10
113	здесь мы	1	10
114	в отличие	7	10
115	с его	6	10
116	и потому	2	10
117	отличие от	7	10
118	более того	1	10
119	быть и	2	9
120	к тому	4	9
121	одного и	3	9
122	только на	1	9
123	в нашем	2	9
124	в себе	13	9
125	лишь на	1	9
126	рядом с	1	9
127	и это	2	9
128	а как	1	9
129	что это	1	9
130	ни в	5	9
131	не имеет	1	9
132	и более	2	9
133	отношении к	3	9
134	это не	4	9
135	в истории	1	9
136	одной из	2	9
137	же самое	1	9
138	не как	2	8
139	другой стороны	6	8
140	и даже	1	8
141	настоящее время	1	8
142	что и	2	8
143	у него	2	8
144	не было	1	8
145	что не	1	8
146	тому что	2	8
147	или же	1	8
148	не будет	3	8
149	в форме	4	8
150	за пределы	2	8
151	столь же	2	8
152	в отношении	4	8
153	сводится к	11	8
154	в каком	2	8
155	к другому	2	8
156	перед нами	1	8
157	в свою	3	8
158	этого слова	2	8
159	в настоящее	1	8
160	с этим	1	8
161	у нас	1	8
162	в их	5	8
163	и т.д	4	8
164	и ее	3	8
165	или иной	9	8
166	на то	1	8
167	от него	1	7
168	в этих	4	7
169	не существует	1	7
170	в котором	1	7
171	и те	1	7
172	свою очередь	2	7
173	и формы	1	7
174	языка не	1	7
175	те же	1	7
176	как раз	3	7
177	в качестве	31	7
178	бы в	1	7
179	в этой	2	7
180	могут быть	5	7
181	речи а	2	7
182	речи как	1	7
183	как такой	1	7
184	с ними	2	7
185	на основе	2	7
186	по себе	2	7
187	той же	1	7
188	до конца	1	7
189	о том	2	7
190	того что	5	7
191	общения в	1	7
192	в формах	2	7
193	далеко не	4	7
194	место в	5	7
195	настоящего времени	1	7
196	в той	3	6
197	от одного	1	6
198	уже не	6	6
199	входит в	4	6
200	одной стороны	3	6
201	в другом	4	6
202	в различных	1	6
203	для понимания	2	6
204	она может	1	6
205	характерно что	1	6
206	с одной	3	6
207	с другими	5	6
208	между ними	5	6
209	не есть	1	6
210	речевой акт	1	6
211	с ее	6	6
212	всех без	3	6
213	то есть	26	6
214	в единстве	1	6
215	говорящего и	1	6
216	от своего	2	6
217	зависимости от	1	6
218	тем же	1	6
219	тот же	1	6
220	он и	2	6
221	все это	2	6
222	сознания и	1	6
223	слово в	1	6
224	в какой	2	6
225	как ее	1	6
226	из этих	3	6
227	же в	1	6
228	о чем	3	5
229	в одном	3	5
230	в виду	5	5
231	в первом	1	5
232	не менее	5	5
233	знака и	1	5
234	себя в	8	5
235	по преимуществу	3	5
236	на язык	1	5
237	должно быть	1	5
238	знаковом материале	3	5
239	что такое	2	5
240	xix века	2	5
241	от этого	1	5
242	лишь для	1	5
243	жизни в	2	5
244	той или	5	5
245	но как	2	5
246	и тем	4	5
247	и является	1	5
248	в конце	1	5
249	направления в	1	5
250	то в	2	5
251	для себя	4	5
252	и внешнего	1	5
253	вместе с	1	5
254	да и	1	5
255	ее в	2	5
256	хотя и	4	5
257	языка а	1	5
258	в душе	9	5
259	этом случае	1	5
260	в более	1	5
261	значение в	1	5
262	связи между	1	5
263	таком случае	2	5
264	целого высказывания	1	5
265	или в	2	5
266	для других	1	5
267	но не	13	5
268	в условиях	1	5
269	тем более	2	5
270	к одному	1	5
271	знака к	5	5
272	в особенности	1	5
273	совершается в	1	5
274	и к	3	4
275	же и	1	4
276	какой бы	1	4
277	в них	2	4
278	тем что	1	4
279	из всего	1	4
280	обратное влияние	1	4
281	на чужое	1	4
282	и иных	1	4
283	говорит что	2	4
284	перед ним	1	4
285	в зависимости	1	4
286	во всей	3	4
287	исходит из	1	4
288	к языку	1	4
289	из них	1	4
290	едва ли	1	4
291	внутренней жизни	1	4
292	что они	1	4
293	оценки и	1	4
294	несмотря на	2	4
295	что все	1	4
296	не знает	4	4
297	в которой	3	4
298	для говорящего	1	4
299	одним из	2	4
300	что она	2	4
301	но для	1	4
302	во внутренней	2	4
303	при чтении	2	4
304	сознания как	1	4
305	разрыв между	1	4
306	стремится к	1	4
307	не дает	1	4
308	между двумя	2	4
309	к этим	1	4
310	так что	1	4
311	из этого	2	4
312	и особенно	2	4
313	не могут	1	4
314	со всеми	1	4
315	и действительно	1	4
316	значения и	2	4
317	можно назвать	1	4
318	к его	3	4
319	бы и	1	4
320	автора и	3	4
321	перейдем к	1	4
322	мог бы	3	4
323	только при	1	4
324	и то	4	4
325	это и	2	4
326	можно сказать	6	4
327	места в	1	4
328	или даже	3	4
329	к своему	2	4
330	знаком и	1	4
331	в одной	1	4
332	он ни	1	4
333	стороны и	1	4
334	в узком	3	4
335	к пониманию	1	4
336	жизни и	1	4
337	и прежде	3	4
338	в области	8	4
339	нуждается в	1	4
340	эти два	1	4
341	данном отношении	1	3
342	с героем	1	3
343	не могло	2	3
344	однако и	1	3
345	что делает	1	3
346	даже в	3	3
347	не сможет	1	3
348	в своих	1	3
349	знаковым материалом	1	3
350	языкового сознания	1	3
351	роль в	2	3
352	так в	4	3
353	на первый	1	3
354	в действительности	1	3
355	говорить о	4	3
356	эта система	1	3
357	значительной степени	2	3
358	является как	1	3
359	форм высказывания	2	3
360	места для	1	3
361	все без	1	3
362	момент в	1	3
363	с ним	2	3
364	и внешней	3	3
365	в системе	3	3
366	ситуации и	1	3
367	мы видим	1	3
368	от автора	1	3
369	от его	1	3
370	в году	2	3
371	тем не	3	3
372	в научном	1	3
373	высказывания не	2	3
374	между этими	1	3
375	между собой	2	3
376	этом как	1	3
377	делает его	2	3
378	действительности и	1	3
379	в русской	3	3
380	данный момент	2	3
381	более или	6	3
382	как это	7	3
383	одним словом	1	3
384	одно и	3	3
385	по своей	7	3
386	он еще	1	3
387	могла бы	2	3
388	общего с	1	3
389	в систему	1	3
390	и др	2	3
391	подход к	1	3
392	и есть	1	3
393	в данный	2	3
394	как знак	1	3
395	не так	1	3
396	во втором	4	3
397	речи может	1	3
398	вступить в	1	3
399	мы встречаем	1	3
400	если он	1	3
401	как к	5	3
