N	2gram	Bakhtin_sl	Retstnzi
1	не может	27	4
2	и в	69	3
3	достоевского и	1	2
4	один из	9	2
5	литературного языка	28	1
6	может и	1	1
7	этой проблемы	1	1
8	в особенности	10	1
9	несмотря на	2	1
10	риторические жанры	2	1
11	и аудитории	1	1
12	может быть	40	1
13	не только	37	1
14	точки зрения	24	1
15	с точки	11	1
16	формальных приемов	2	1
17	может не	9	1
18	для него	8	1
19	с теми	1	1
20	подхода к	5	1
21	в ней	7	1
22	тех же	1	1
23	в каждом	5	1
24	связи с	4	1
25	не из	2	1
26	поставить в	1	1
27	конкретного осуществления	1	1
28	понимания этого	1	1
29	с другими	8	1
30	его от	2	1
31	если бы	1	1
32	конечно и	3	1
33	смысл и	3	1
34	художественного произведения	1	1
35	историческому становлению	1	1
36	риторических форм	2	1
37	в его	19	1
38	влияния на	3	1
39	не менее	4	1
40	и социальной	2	1
41	и заставляет	3	1
42	в языке	7	1
43	речь и	3	1
44	но и	37	1
45	о художественной	1	1
46	мы видим	2	1
47	к тому	3	1
48	анализа и	1	1
49	о формах	2	1
50	тому что	2	1
51	языка как	10	1
52	почти с	1	1
53	грамматических категорий	1	1
54	в то	17	1
55	из этих	3	1
56	категорий и	1	1
57	художественной прозе	3	1
58	он в	6	1
59	же время	15	1
60	то же	17	1
61	по своим	6	1
62	не оказать	1	1
63	при анализе	1	1
64	а не	29	1
65	без учета	1	1
66	бы в	1	1
67	нет и	1	1
68	и должно	1	1
69	в системе	2	1
70	и не	32	1
71	язык как	5	1
72	и все	9	1
73	и на	17	1
74	себя от	2	1
75	во внехудожественной	1	1
