N	4gram	Medvedev_F	Dialekti
1	не что иное как	1	18
2	в то же время	13	14
3	есть не что иное	1	11
4	не говоря уже о	1	7
5	и в то же	4	6
6	не в том что	1	5
7	с этой точки зрения	1	4
8	в связи с этим	4	4
9	и то и другое	1	4
10	в том смысле что	2	4
11	с одной стороны и	4	4
12	иметь в виду что	1	4
13	с точки зрения самого	1	3
14	на самом же деле	1	3
15	но в то же	3	3
16	а с точки зрения	1	2
17	во что бы то	3	2
18	и не должна быть	1	2
19	мы уже знаем что	1	2
20	что бы то ни	3	2
21	оценивается с точки зрения	1	2
22	не с точки зрения	1	2
23	не может и не	1	2
24	тем не менее в	1	2
25	бы то ни стало	3	2
26	то же время и	2	2
27	но тем не менее	1	1
28	взятые сами по себе	1	1
29	и до сих пор	2	1
30	все более и более	3	1
31	искусства и т д	1	1
32	что на самом деле	1	1
33	же в таком случае	1	1
34	в том отношении что	1	1
35	столько же сколько и	1	1
36	сами по себе не	1	1
37	на самом деле это	1	1
38	в самом деле с	1	1
39	действительности как она есть	1	1
40	бы то ни было	1	1
41	мы имеем в виду	1	1
42	с другой стороны без	1	1
43	т е таких которые	1	1
44	он может и должен	1	1
45	с самого начала что	1	1
46	то же и в	1	1
47	и в том что	1	1
48	это и случилось с	1	1
49	что в данном случае	1	1
50	с точки зрения какого-нибудь	1	1
51	и не входит в	1	1
52	сам по себе а	2	1
53	в том случае если	1	1
54	ровно ничего не говорят	1	1
55	наука до сих пор	1	1
56	и не может быть	4	1
57	же время никогда не	1	1
58	с точки зрения своей	1	1
59	бы она ни была	3	1
60	все новые и новые	1	1
61	не чем иным как	1	1
62	быть во что бы	1	1
63	как это делается в	1	1
64	одной стороны и на	1	1
65	и во всяком случае	1	1
66	лишь в том случае	1	1
67	и с точки зрения	1	1
68	но даже и на	1	1
69	в ней и в	1	1
70	и пр и пр	4	1
71	и в этом отношении	1	1
72	что же это за	1	1
