1	в том числе	8	15
2	с точки зрения	15	13
3	том числе и	5	13
4	в средние века	4	11
5	в большинстве случаев	8	9
6	до сих пор	10	8
7	в то же	18	8
8	то же время	21	8
9	не может быть	7	8
10	друг с другом	13	6
11	по сравнению с	3	6
12	к себе самому	8	6
13	можно сказать что	2	6
14	с самим собою	4	6
15	в том что	5	6
16	в эпоху возрождения	3	6
17	и не может	1	6
18	в пределах одного	1	6
19	как мы уже	15	5
20	и прежде всего	8	5
21	в какой-то мере	1	5
22	по отношению к	4	5
23	в этом смысле	1	5
24	то есть в	5	5
25	в творчестве достоевского	1	5
26	с самого начала	3	4
27	мы еще вернемся	6	4
28	как и в	5	4
29	как мы сказали	2	4
30	в новое время	1	4
31	то перед нами	1	4
32	определяющее влияние на	1	3
33	хотя и не	1	3
34	мы имеем в	5	3
35	более или менее	1	3
36	по своей природе	2	3
37	с другой стороны	4	3
38	и др в	2	3
39	человека и его	8	3
40	но в то	3	3
41	в нем нет	4	3
42	и в то	10	3
43	до наших дней	1	3
44	мы уже говорили	9	3
45	под углом зрения	2	3
46	имеем в виду	6	3
47	в зависимости от	3	3
48	средние века и	3	3
49	в xix веке	1	3
50	не то что	1	3
51	а также и	6	3
52	мы найдем и	1	3
53	о том что	3	3
54	отношение к себе	1	3
55	новое отношение к	2	3
56	на этом мы	1	3
57	дело в том	2	3
58	и во всех	4	3
59	мы находим в	2	3
60	еще вернемся в	3	2
61	той или иной	5	2
62	и в их	2	2
63	и на его	1	2
64	в котором он	1	2
65	продолжают жить и	1	2
66	том что все	1	2
67	сама по себе	1	2
68	у достоевского на	1	2
69	у достоевского в	1	2
70	и в нем	1	2
71	в себе самом	1	2
72	он не знает	2	2
73	так и в	3	2
74	в подходе к	2	2
75	и в словах	1	2
76	жизни и смерти	2	2
77	смысле этого слова	1	2
78	как своего рода	1	2
79	во всем мире	1	2
80	но и в	12	2
81	мы будем называть	1	2
82	неразрывно связана с	1	2
83	слова то есть	2	2
84	то есть с	1	2
85	мы говорим здесь	1	2
86	в последующем развитии	2	2
87	два или три	1	2
88	и др все	1	2
89	и обновляться в	1	2
90	в европейской литературе	1	2
91	никогда не может	1	2
92	в соответствии с	2	2
93	в широком смысле	5	2
94	времени и пространства	5	2
95	хотя бы и	1	2
96	мне все равно	1	2
97	некоторых из них	1	2
98	но конечно не	1	2
99	литературе нового времени	1	2
100	мы не будем	1	2
101	не касаемся здесь	2	2
102	в строгом смысле	2	2
103	в отношении к	1	2
104	все то что	3	2
105	но только в	1	2
106	в этом романе	2	2
107	друг от друга	6	2
108	и его судьбы	1	2
109	и время и	1	2
110	и так сказать	1	2
111	друг в друга	1	2
112	сих пор еще	3	2
113	во всех его	1	2
114	в дальнейшем развитии	1	2
115	из одного куска	1	2
116	и до сих	2	2
117	в последующие эпохи	4	2
118	очень важное значение	1	2
119	др все эти	1	2
120	в царстве мертвых	3	2
121	и в дальнейшем	2	2
122	слышим в нем	1	2
123	влияние на литературу	2	2
124	мы говорили в	1	2
125	романа и в	1	2
126	в некоторых разновидностях	1	2
127	и в сущности	3	2
128	философских школ и	1	2
129	сделаны из одного	1	2
130	в конце романа	5	2
131	может быть и	4	2
132	а следовательно и	3	2
133	со смертью и	2	2
134	теперь мы должны	1	2
135	жить и обновляться	1	2
136	ровно ничего не	1	2
137	тем не менее	1	2
138	и наконец в	1	2
139	почти вовсе не	2	2
140	каждом из них	2	2
141	найдем и у	1	2
142	как бы в	1	2
143	в него как	1	2
144	мира и человека	1	2
145	существенное влияние на	1	2
146	на этой почве	1	2
147	мы уже сказали	6	2
148	в этих произведениях	1	2
149	на касательной к	3	2
150	таким образом и	2	2
151	и вообще в	1	2
152	и до наших	1	2
153	себе самому к	1	1
154	во всех случаях	1	1
155	будем говорить в	1	1
156	мы должны коснуться	2	1
157	в этом случае	4	1
158	нас интересует только	1	1
159	специфической логикой в	1	1
160	и в последующей	1	1
161	не могло быть	4	1
162	но дело в	1	1
163	со всеми ее	2	1
164	пространства и времени	5	1
165	прежде всего в	7	1
166	и в некоторых	1	1
167	своей специфической логикой	1	1
168	не может войти	2	1
169	сочетается с другими	2	1
170	и строго говоря	1	1
171	к себе и	1	1
172	в узком смысле	2	1
173	о которой мы	1	1
174	романа то есть	2	1
175	подчеркиваем еще раз	1	1
176	прежде всего образ	1	1
177	в различных вариациях	1	1
178	анализы не являются	1	1
179	и для того	1	1
180	здесь еще более	2	1
181	то есть определенный	1	1
182	потому что они	2	1
183	в диалоге в	1	1
184	в котором они	1	1
185	то что было	2	1
186	и той же	1	1
187	или находиться в	1	1
188	и помимо этого	1	1
189	золотом осле апулея	1	1
190	золотой осел апулея	2	1
191	в жизни и	1	1
192	не вызывает никаких	1	1
193	в заключение нашего	1	1
194	человека в жизни	1	1
195	романах мы находим	1	1
196	отчасти и у	1	1
197	все в нем	1	1
198	здесь как и	2	1
199	но в процессе	1	1
200	и символов в	1	1
201	не только в	11	1
202	нашей точки зрения	3	1
203	и др здесь	1	1
204	в литературном плане	1	1
205	а вместе с	1	1
206	о бессмертии души	1	1
207	его художественного мира	1	1
208	жизни то есть	2	1
209	лишь на определенной	1	1
210	более и более	2	1
211	мы уже указывали	4	1
212	выходит из них	1	1
213	там где она	1	1
214	развитии европейского романа	1	1
215	было и не	1	1
216	и в других	4	1
217	эллинистической и римской	1	1
218	в дальнейшем остановимся	1	1
219	всего того что	2	1
220	лишь то что	1	1
221	и в последующем	2	1
222	и вступают в	1	1
223	в этой литературе	1	1
224	наш краткий обзор	2	1
225	а как бы	2	1
226	проявляется прежде всего	1	1
227	как раз и	3	1
228	дальнейшем остановимся подробнее	1	1
229	этом мы заканчиваем	1	1
230	границы между ними	1	1
231	его специфической логикой	1	1
232	он ни был	3	1
233	так как нет	2	1
234	влияние на развитие	1	1
235	многообразнейший мир вещей	1	1
236	как и все	2	1
237	говорить в дальнейшем	1	1
238	и в диалоге	1	1
239	в одной из	1	1
240	и в этом	6	1
241	есть прежде всего	1	1
242	он никогда не	1	1
243	в связи со	1	1
244	в биографическом времени	1	1
245	определенное место в	1	1
246	как бы не	1	1
247	более того и	1	1
248	одно и то	5	1
249	на протяжении всего	5	1
250	мы не касаемся	2	1
251	и все его	2	1
252	очень важный момент	2	1
253	но к этому	1	1
254	уже на античной	1	1
255	с самим собой	2	1
256	почти все темы	2	1
257	он связан с	1	1
258	и может быть	1	1
259	но при этом	3	1
260	реальной жизни в	1	1
261	от достоевского в	1	1
262	наряду с этими	1	1
263	во всяком случае	4	1
264	у эдгара по	1	1
265	в себя и	3	1
266	смертной казни и	1	1
267	в той или	3	1
268	никогда не бывает	1	1
269	здесь в большинстве	2	1
270	в этом отношении	7	1
271	прямо и непосредственно	1	1
272	то есть все	1	1
273	и среди них	1	1
274	лишена определяющего влияния	1	1
275	одна из самых	1	1
276	в сущности все	1	1
277	в центре его	2	1
278	но и помимо	1	1
279	мы считаем что	1	1
280	к этому типу	1	1
281	в процессе его	2	1
282	человеческой жизни и	4	1
283	влияние на всю	1	1
