N	3gram	Nazirov_Tv	Marksizm
1	не может быть	2	25
2	в самом деле	2	19
3	по отношению к	3	15
4	то же время	18	15
5	в то же	19	15
6	в том что	8	14
7	в связи с	2	14
8	и не может	2	12
9	то ни было	1	12
10	бы то ни	1	12
11	до сих пор	1	11
12	в отличие от	2	10
13	с самого начала	3	10
14	одного и того	1	9
15	и того же	1	9
16	но в то	5	9
17	в настоящее время	1	8
18	в отношении к	1	8
19	то же самое	1	8
20	с другой стороны	2	7
21	в свою очередь	2	7
22	на самом деле	2	6
23	во всяком случае	2	6
24	с одной стороны	1	6
25	на этой почве	1	5
26	и как бы	1	5
27	в таком случае	2	5
28	к тому что	1	5
29	самом же деле	1	5
30	на самом же	1	5
31	той или иной	1	5
32	так и от	1	4
33	и прежде всего	1	4
34	о том что	6	4
35	можно сказать что	2	4
36	каких бы то	1	4
37	у нас не	1	4
38	не только в	2	3
39	в применении к	1	3
40	тем не менее	2	3
41	хотя бы и	1	3
42	в том числе	1	3
43	но при этом	1	3
44	все более и	1	3
45	в конце концов	1	3
46	том числе и	1	3
47	не могут быть	2	3
48	лежащая в основе	1	3
49	и в этом	1	3
50	более и более	1	3
51	на этот вопрос	2	3
52	можно было бы	1	3
53	что он не	1	2
54	а в этом	1	2
55	является как бы	1	2
56	так и в	2	2
57	художественный образ и	1	2
58	ничего общего с	1	2
59	мы никогда не	1	2
60	в данном случае	2	2
61	и в других	1	2
62	к тому же	1	2
63	не то что	1	2
64	его именно в	1	2
65	и в том	1	2
66	со всех сторон	1	2
67	сами по себе	2	2
68	того или иного	1	2
69	чуть ли не	1	2
70	по крайней мере	4	2
71	ту или иную	1	2
72	как и в	2	2
73	таком случае это	1	2
74	в г в	1	2
75	в чем же	1	2
76	и та же	2	2
77	так же как	1	2
78	и между ними	1	2
79	же как и	1	2
80	одна и та	1	2
81	и в самом	1	2
82	в нем и	1	2
83	является одним из	3	2
84	это и есть	1	2
85	нет и не	1	2
86	с установкой на	1	2
87	что у нас	1	1
88	так сказать в	1	1
89	и добро и	1	1
90	а может быть	2	1
91	соответствии с этим	1	1
92	имеет в виду	1	1
93	это не значит	2	1
94	бы он ни	1	1
95	он еще не	2	1
96	и это не	1	1
97	во второй части	1	1
98	мы не находим	1	1
99	в конечном счете	4	1
100	являются как бы	1	1
101	их место в	1	1
102	что приводит к	1	1
103	и правильное понимание	1	1
104	что в каждом	1	1
105	о котором говорил	1	1
106	автора таким образом	1	1
107	не менее чем	1	1
108	то что не	1	1
109	и в другом	1	1
110	автора с героем	1	1
111	то или иное	1	1
112	как и его	1	1
113	в основе всех	1	1
114	он не может	1	1
115	внутренними и внешними	1	1
116	в том же	3	1
117	же деле этот	1	1
118	глава второй части	1	1
119	по мере своего	1	1
120	она отнюдь не	1	1
121	как у тургенева	1	1
122	что он сам	1	1
123	маркса и энгельса	1	1
124	не сводится к	1	1
125	друг за другом	1	1
126	одной из форм	1	1
127	другой стороны и	1	1
128	героя то есть	1	1
129	к своим героям	1	1
130	мы знаем из	1	1
131	мы все время	1	1
132	в соответствии с	7	1
133	все же и	1	1
134	а с другой	1	1
135	не сами по	1	1
136	взятая в ее	1	1
137	по мере приближения	1	1
138	этой проблемы в	1	1
139	если он хочет	1	1
140	может быть понята	2	1
141	имеет место в	1	1
142	оно могло бы	1	1
143	одну и ту	1	1
144	в наше время	4	1
145	друг на друга	1	1
146	по себе а	1	1
147	имел в виду	1	1
148	это вовсе не	1	1
149	к вопросу о	1	1
150	как мы узнаем	1	1
151	же время они	1	1
152	это значит что	1	1
153	таким образом и	1	1
154	в первую очередь	1	1
155	по самой своей	1	1
156	что он был	1	1
157	приводит его к	1	1
158	как в своих	1	1
159	для него есть	1	1
160	а как бы	1	1
161	и xix век	1	1
162	то все же	1	1
163	вместе с тем	1	1
164	то что его	1	1
165	равно как и	1	1
166	в дневнике писателя	2	1
167	не в его	1	1
168	и должно быть	1	1
169	мере приближения к	1	1
170	вследствие этого в	1	1
171	психологии и в	1	1
172	прежде всего на	1	1
173	все это является	1	1
174	а вместе с	1	1
175	что иное как	1	1
176	и вот в	1	1
177	и ту же	1	1
178	в русской литературе	2	1
179	в одной из	4	1
180	само собой разумеющимся	1	1
181	же году по	1	1
182	отнюдь не сводится	1	1
183	переход от одной	1	1
184	в другом месте	1	1
185	же время он	2	1
186	добро и зло	1	1
187	что же касается	1	1
188	не хватает лишь	1	1
189	в целом ряде	1	1
190	то что в	1	1
191	в литературе в	1	1
192	может быть в	1	1
193	не столько выражение	1	1
194	у него столь	1	1
195	том же году	2	1
196	можно говорить лишь	1	1
197	не должен быть	1	1
198	или во всяком	1	1
199	все же не	1	1
200	нуждается в конкретизации	1	1
201	но уже в	1	1
202	не что иное	1	1
203	дело в том	4	1
204	в отрыве от	1	1
205	в первой части	3	1
206	уже говорили что	1	1
207	по нашему мнению	9	1
208	в году он	2	1
209	но отнюдь не	1	1
210	то есть его	1	1
211	еще далеко не	1	1
212	далеко не так	1	1
213	и в свою	1	1
214	с самим собой	1	1
215	не зависит от	1	1
216	и что в	1	1
217	понимая под ним	1	1
218	в романе не	1	1
219	друг для друга	1	1
220	по преимуществу в	1	1
221	при этом она	1	1
222	и в году	2	1
223	и в ее	1	1
224	и в процессе	1	1
225	у достоевского и	1	1
226	мы уже говорили	2	1
227	нам кажется что	1	1
228	не является только	1	1
229	это прежде всего	3	1
230	в виду что	1	1
231	что он как	1	1
