N	2gram	Nazirov_Tr	Otkroven
1	у него	6	22
2	у достоевского	5	19
3	и в	18	19
4	и не	7	13
5	но и	4	13
6	в этом	9	12
7	а не	1	11
8	из подполья	1	11
9	не только	8	11
10	не в	2	11
11	может быть	7	11
12	вопрос о	2	10
13	человека и	1	10
14	и все	4	10
15	в нем	4	10
16	потому что	2	9
17	в человеке	1	9
18	прежде всего	4	9
19	не было	1	9
20	в самой	1	9
21	никогда не	2	9
22	и он	3	8
23	он был	2	8
24	от него	1	7
25	в его	3	7
26	он всегда	4	7
27	ивана карамазова	2	7
28	он не	2	7
29	но он	1	7
30	лишь в	1	7
31	до конца	2	7
32	человек не	1	7
33	человеческой личности	2	6
34	все это	4	6
35	как и	5	6
36	в самом	2	5
37	все герои	1	5
38	достоевского и	1	5
39	в том	2	5
40	для него	3	5
41	для достоевского	2	5
42	в этой	4	5
43	отношение к	2	5
44	в россии	1	5
45	о его	2	5
46	то что	4	5
47	все в	1	4
48	что в	4	4
49	в преступлении	2	4
50	достоевского все	1	4
51	достоевского не	1	4
52	того чтобы	1	4
53	т е	1	4
54	не может	5	4
55	что не	1	4
56	достоевский не	4	4
57	в самую	2	4
58	человеке о	1	4
59	все эти	3	4
60	на земле	1	4
61	и его	6	4
62	он сам	7	4
63	в романах	1	4
64	с его	2	4
65	и от	1	3
66	до самой	1	3
67	записках из	3	3
68	и вот	1	3
69	хотя бы	1	3
70	это не	5	3
71	с ним	3	3
72	преступлении и	2	3
73	в бесах	9	3
74	романах достоевского	2	3
75	и великий	2	3
76	и наказании	2	3
77	быть может	1	3
78	не могут	2	3
79	со злом	1	3
80	в записках	2	3
81	как бы	7	3
82	могут быть	1	3
83	в себе	4	3
84	достоевского в	3	3
85	и есть	1	3
86	что он	6	3
87	никто не	3	3
88	это было	1	3
89	и ее	2	3
90	о том	2	3
91	того что	1	3
92	к нему	3	3
93	еще не	4	3
94	умирает в	1	2
95	и потому	1	2
96	так и	5	2
97	самое главное	1	2
98	и то	2	2
99	в душе	2	2
100	все же	5	2
101	не могли	1	2
102	за все	1	2
103	на западе	1	2
104	должно быть	3	2
105	к этой	1	2
106	к ней	1	2
107	уже в	3	2
108	любовь к	1	2
109	в другом	1	2
110	этом мире	1	2
111	личности и	2	2
112	так что	2	2
113	в своем	3	2
114	с тем	2	2
115	в которой	1	2
116	из мертвого	2	2
117	одно из	1	2
118	что и	2	2
119	достоевского к	1	2
120	от самого	1	2
121	добро и	1	2
122	мертвого дома	2	2
123	в истории	1	2
124	ума и	1	2
125	его в	2	2
126	ко всем	1	2
127	мысль о	1	2
128	вместо того	1	2
129	достоевский всегда	1	2
130	и с	7	2
131	он в	1	2
132	и о	1	2
133	тем что	2	2
134	и на	7	2
135	что все	2	2
136	ничего не	2	2
137	зла в	2	2
138	не есть	1	2
139	злом в	1	2
140	в своей	1	2
141	жизни в	1	2
142	по себе	1	2
143	достоевского но	1	2
144	не имеет	2	2
145	том что	4	2
146	что достоевский	4	2
147	в ее	2	2
148	но в	6	2
149	чувствуется что	1	2
150	иван карамазов	1	2
151	понял что	1	1
152	во всем	1	1
153	к одному	1	1
154	братьях карамазовых	1	1
155	презрение к	4	1
156	во всяком	1	1
157	не так	2	1
158	бросается в	2	1
159	ко всему	1	1
160	с образом	1	1
161	попал в	1	1
162	совершенно ином	1	1
163	совершенно не	1	1
164	человеческая личность	1	1
165	и оскорбленные	9	1
166	к счастью	1	1
167	князь мышкин	2	1
168	над ними	1	1
169	в центре	1	1
170	один из	3	1
171	в котором	1	1
172	и здесь	2	1
173	по природе	1	1
174	виду не	1	1
175	разрушения и	1	1
176	самой природе	1	1
177	бога но	1	1
178	от самой	1	1
179	после того	1	1
180	она должна	2	1
181	карамазова в	1	1
182	был даже	1	1
183	его ума	1	1
184	великого сердца	1	1
185	того как	1	1
186	достоевский сделал	1	1
187	раскольникова и	1	1
188	между достоевским	1	1
189	в братьях	1	1
190	хочет сделать	1	1
191	его с	1	1
192	она не	1	1
193	должна быть	1	1
194	но еще	1	1
195	ставрогин говорит	1	1
196	но достоевский	4	1
197	ту же	1	1
198	но не	1	1
199	это должно	1	1
200	по сравнению	1	1
201	природе своей	1	1
202	него была	1	1
203	силе и	1	1
204	необходимо подчеркнуть	1	1
205	представляет собой	1	1
206	быть не	1	1
207	не быть	1	1
208	в ней	1	1
209	это часто	1	1
210	что нужно	1	1
211	человек слишком	1	1
212	и дело	1	1
213	его речь	1	1
214	что это	5	1
215	и зло	1	1
216	в отношениях	1	1
217	в гюго	1	1
218	тут нужна	1	1
219	другом разговоре	1	1
220	а это	1	1
221	всяком случае	1	1
222	он и	2	1
223	о чем	3	1
224	которым все	1	1
225	сам по	1	1
226	в частности	2	1
227	говорит о	2	1
228	как это	3	1
229	о нем	1	1
230	но может	1	1
231	чем у	1	1
232	только один	1	1
233	как у	2	1
234	распадается на	1	1
235	что сам	1	1
236	и достоевский	1	1
237	и что	4	1
238	в одном	2	1
239	можно было	1	1
240	дается в	1	1
241	страстная жажда	1	1
242	же не	1	1
