N	3gram	Berdyaev_N	Problemy
1	в этом смысле	2	16
2	не может быть	4	14
3	в большинстве случаев	1	12
4	до сих пор	1	10
5	с другой стороны	2	9
6	во всяком случае	1	9
7	в том что	1	8
8	и не может	1	8
9	в отличие от	1	6
10	в зависимости от	1	5
11	в высшей степени	6	5
12	подобно тому как	3	5
13	можно было бы	1	5
14	и не в	1	4
15	он не может	2	4
16	сами по себе	1	4
17	о том что	1	4
18	как и в	1	4
19	что в нем	2	4
20	это не значит	2	3
21	что она не	1	3
22	выходит за пределы	1	3
23	в том и	2	3
24	в то время	1	3
25	то время как	1	3
26	как будто бы	1	2
27	то что он	1	2
28	в такой же	1	2
29	вместе с тем	2	2
30	в нем не	1	2
31	а не в	1	2
32	не в силах	1	2
33	прежде всего как	1	2
34	к дурной бесконечности	1	2
35	но она не	1	2
36	то что в	1	2
37	конечно не в	1	2
38	в значительной степени	1	2
39	я не могу	1	2
40	не только в	1	2
41	же как и	1	2
42	и в большинстве	1	2
43	ни в чем	1	2
44	но для чего	1	1
45	так же как	2	1
46	и в жизни	1	1
47	а не их	1	1
48	в том числе	1	1
49	не менее чем	1	1
50	не в духе	1	1
51	как ни в	1	1
52	заключает в себе	1	1
53	нового времени что	1	1
54	для себя и	1	1
55	и во всех	1	1
56	не может уже	2	1
57	не в том	1	1
58	она не может	2	1
59	переживает кризис и	1	1
60	одного и того	1	1
61	может быть только	1	1
62	не знает что	1	1
63	в себе всякое	1	1
64	это конечно не	1	1
65	том числе и	1	1
66	и вместе с	1	1
67	в нем нет	2	1
68	в этом он	1	1
69	и весь мир	1	1
70	и того же	1	1
71	и пр в	1	1
72	потому что не	1	1
73	не будет и	1	1
74	слова а не	1	1
75	в платоновском смысле	1	1
76	этого нельзя сказать	1	1
77	ни в какие	1	1
78	лицом к лицу	3	1
79	для них не	1	1
80	и еще не	1	1
81	в этом я	1	1
82	я ни в	1	1
83	и стремится к	1	1
84	культуры нового времени	2	1
85	быть не может	1	1
86	образ человека и	1	1
87	в известном смысле	1	1
88	что он может	1	1
89	бы он и	1	1
90	по существу своему	1	1
91	но и в	1	1
92	и в формах	1	1
93	мы должны перейти	1	1
94	не удалось но	1	1
95	не было и	1	1
96	в мире а	1	1
97	было бы сказать	1	1
98	к одному из	1	1
99	со всех сторон	3	1
100	и не во	2	1
101	и до сих	1	1
102	ни одна из	2	1
103	и быть не	1	1
104	тому как в	1	1
105	и для другого	1	1
106	ведь прежде всего	1	1
107	мысли но в	1	1
108	не могу уже	1	1
109	должно было быть	1	1
110	могут быть отнесены	1	1
111	xviii века но	1	1
112	есть прежде всего	1	1
113	и не могут	1	1
114	не могут быть	1	1
115	та или иная	1	1
116	или иная форма	1	1
117	с одной стороны	2	1
118	себе и в	1	1
119	вопрос о том	2	1
120	но для этого	1	1
121	это и есть	1	1
122	во всех сферах	3	1
123	и про себя	1	1
