N	3gram	Nazirov_Tv	Problemy
1	то же время	18	26
2	в то же	19	26
3	по отношению к	3	18
4	и т п	4	18
5	на самом деле	2	15
6	не может быть	2	14
7	но в то	5	11
8	в конце концов	1	11
9	в романах достоевского	24	10
10	до сих пор	1	10
11	в отношении к	1	10
12	в самом деле	2	9
13	в творчестве достоевского	8	9
14	с другой стороны	2	9
15	с самого начала	3	9
16	с самим собой	1	9
17	во всяком случае	2	9
18	в том что	8	8
19	и не может	2	8
20	и в то	3	7
21	бы то ни	1	7
22	в мире достоевского	2	7
23	и т д	10	7
24	мы уже говорили	2	7
25	и в этом	1	7
26	в отличие от	2	6
27	то ни было	1	6
28	в романе достоевского	5	6
29	бы он ни	1	5
30	героя и его	1	5
31	хотя бы и	1	5
32	записок из подполья	4	5
33	к тому же	1	5
34	той или иной	1	5
35	по крайней мере	4	5
36	в бедных людях	5	5
37	можно было бы	1	5
38	и наконец в	1	4
39	из подполья и	1	4
40	он не может	1	4
41	тем не менее	2	4
42	друг на друга	1	4
43	сами по себе	2	4
44	так и в	2	4
45	именно потому что	1	4
46	и прежде всего	1	4
47	он в сущности	1	4
48	что может быть	1	4
49	о том что	6	4
50	как и в	2	4
51	хотя и не	1	4
52	на протяжении всего	2	4
53	уже говорили что	1	4
54	для достоевского не	1	3
55	ивана карамазова и	2	3
56	это не значит	2	3
57	в братьях карамазовых	6	3
58	можно сказать что	2	3
59	в художественном мире	1	3
60	а может быть	2	3
61	но при этом	1	3
62	в настоящее время	1	3
63	другой стороны и	1	3
64	романа достоевского как	1	3
65	в данном случае	2	3
66	и в других	1	3
67	это вовсе не	1	3
68	была для него	1	3
69	у достоевского нет	2	3
70	и в самом	1	3
71	что он сам	1	3
72	достоевского в его	1	3
73	на этот вопрос	2	3
74	все же не	1	3
75	то все же	1	3
76	и это не	1	3
77	художественном мире достоевского	1	3
78	что у достоевского	2	3
79	нам кажется что	1	3
80	что он не	1	2
81	и со всеми	1	2
82	в письме к	1	2
83	творчестве достоевского но	1	2
84	в противоречии с	1	2
85	во второй части	1	2
86	и в другом	1	2
87	в пространстве а	2	2
88	достоевского никогда не	1	2
89	пространстве а не	2	2
90	в том же	3	2
91	что все это	3	2
92	в свою очередь	2	2
93	дело в том	4	2
94	у него в	1	2
95	протяжении всего романа	1	2
96	все это я	1	2
97	творчество достоевского в	1	2
98	друг за другом	1	2
99	вместе с тем	1	2
100	записках из подполья	5	2
101	и если не	1	2
102	в чем не	1	2
103	единство романа достоевского	1	2
104	художественного мира достоевского	1	2
105	в записках из	6	2
106	все это из	1	2
107	то же самое	1	2
108	и среди них	1	2
109	определение романа достоевского	1	2
110	идея у достоевского	1	2
111	к тому что	1	2
