N	3gram	Tiupa_Anal	Otkroven
1	для того чтобы	1	3
2	сказать что они	1	2
3	не могут быть	1	2
4	в этом мире	1	2
5	ни у кого	1	2
6	не может быть	2	2
7	но и в	2	2
8	что у него	1	2
9	в самом начале	1	1
10	сам по себе	2	1
11	хотя и не	1	1
12	так и не	5	1
13	о том что	7	1
14	в том что	12	1
15	не в том	1	1
16	в том-то и	1	1
17	и то что	2	1
18	отличается в этом	1	1
19	одно из самых	1	1
20	нигде и никогда	1	1
21	ли может быть	1	1
22	как и в	6	1
23	и все же	1	1
24	в самом деле	1	1
25	смысле этого слова	1	1
26	ивана карамазова в	1	1
27	во всяком случае	6	1
28	в каждом из	1	1
29	ни к каким	1	1
30	как бы в	1	1
31	а в его	1	1
32	может быть осуществлено	1	1
33	само по себе	1	1
34	и прежде всего	2	1
35	в этом отношении	3	1
36	тем что у	1	1
37	все это было	1	1
38	по природе своей	3	1
39	в своей глубине	1	1
40	и в том	1	1
41	после того как	1	1
42	каждом из них	1	1
43	и вот о	1	1
44	так и против	1	1
45	как бы и	1	1
