N	3gram	Vygotskiy_	UchenyiS
1	в конечном счете	2	4
2	не может быть	6	4
3	с другой стороны	3	3
4	в этой области	2	3
5	в то же	2	3
6	то же время	1	3
7	по нашему мнению	1	3
8	и то что	5	2
9	в том что	24	2
10	в самом деле	4	2
11	не могут быть	3	2
12	до сих пор	6	2
13	в конце концов	1	2
14	то же самое	11	2
15	т.е в конечном	1	2
16	в этом отношении	7	2
17	в этом смысле	2	2
18	в первую очередь	3	1
19	у нас в	1	1
20	то что было	1	1
21	друг с другом	6	1
22	сам по себе	2	1
23	и в конце	2	1
24	же самое что	3	1
25	то о чем	5	1
26	и в их	1	1
27	между тем сам	1	1
28	что мы и	1	1
29	тем что он	1	1
30	как и не	1	1
31	но верно и	1	1
32	не есть слово	1	1
33	может быть в	1	1
34	никогда не может	1	1
35	таким образом на	1	1
36	что мы можем	1	1
37	с тем что	1	1
38	не только к	1	1
39	одно из первых	1	1
40	смысле можно сказать	2	1
41	с одной стороны	7	1
42	она все же	1	1
43	и с другой	1	1
44	можно сказать что	7	1
45	в значительной мере	2	1
46	на первый план	1	1
47	проблем связанных с	1	1
48	этом случае он	1	1
49	в той же	2	1
50	в этом плане	1	1
51	на то что	5	1
52	из первых мест	1	1
53	не только в	2	1
54	рассматривать не как	1	1
55	в данном случае	5	1
56	само по себе	1	1
57	звуковой формы слова	1	1
58	нам думается что	1	1
59	в отдельности и	1	1
60	в этом случае	15	1
61	отдельности и все	1	1
62	том что она	2	1
63	она должна была	1	1
64	все они в	1	1
65	на одно из	2	1
66	но именно этот	1	1
67	знак равенства между	1	1
