N	3gram	Vygotskiy_	PoTuStor
1	с точки зрения	34	6
2	на самом деле	3	4
3	по ту сторону	2	4
4	с самого начала	9	4
5	до сих пор	4	3
6	не может быть	8	3
7	по крайней мере	1	3
8	в этом смысле	3	3
9	по сравнению с	9	3
10	во всяком случае	5	3
11	можно сказать что	5	3
12	и пр и	1	3
13	все то что	1	2
14	в конечном счете	4	2
15	так же как	6	2
16	из тех же	1	2
17	о том что	10	2
18	не могут быть	1	2
19	в переводе на	1	2
20	в самом деле	5	2
21	пр и пр	1	2
22	друг на друга	1	2
23	и в этом	1	2
24	в каком отношении	1	1
25	что в этой	1	1
26	в этом нет	1	1
27	в том что	30	1
28	в области психологии	1	1
29	друг с другом	6	1
30	для всех других	1	1
31	даже тогда когда	1	1
32	с его помощью	1	1
33	при этом неизбежно	1	1
34	мы не можем	3	1
35	и столь же	1	1
36	рано или поздно	1	1
37	в некоторых отношениях	1	1
38	часть социального целого	1	1
39	дело в том	2	1
40	он прежде всего	1	1
41	ни в коем	1	1
42	образов в один	1	1
43	той или иной	2	1
44	вместе с тем	5	1
45	вместе с ним	3	1
46	только в этой	1	1
47	мы уже знаем	1	1
48	но вместе с	5	1
49	подобно тому как	2	1
50	внешний мир в	1	1
51	том что мы	1	1
52	неизбежно приходим к	1	1
53	можно подразделить на	1	1
54	что можно было	1	1
55	в применении к	1	1
56	во всей их	2	1
57	можно было бы	6	1
58	эту концепцию в	1	1
59	в полном согласии	2	1
60	подразделить на две	1	1
61	в свою противоположность	1	1
62	а вместе с	2	1
63	и таким образом	2	1
64	может быть сделан	1	1
65	только для того	2	1
66	в данном случае	5	1
67	мы имеем в	1	1
68	и в известной	1	1
69	что в них	1	1
70	как часть социального	1	1
71	шаг за шагом	3	1
72	фрейдом и его	1	1
73	есть прежде всего	2	1
74	и социального в	1	1
75	и теперь в	1	1
76	же как и	4	1
77	и пр в	1	1
78	центральный пункт всего	1	1
79	то ни было	1	1
80	имеем в виду	1	1
81	его мысли и	2	1
82	с ним и	1	1
83	и его учениками	1	1
84	этой точки зрения	2	1
85	в высшей степени	7	1
86	в свое время	1	1
87	мы увидим что	2	1
88	может привести к	1	1
89	с этой точки	1	1
90	вернулись к тому	1	1
91	то же самое	4	1
92	решающее для всей	1	1
93	в коем случае	1	1
94	во внешнем мире	1	1
95	для того чтобы	19	1
96	что может быть	2	1
97	по его мнению	1	1
98	совершенно так же	1	1
99	так как он	3	1
100	а с другой	6	1
101	с одной стороны	14	1
102	на первый план	3	1
103	то что я	1	1
104	на этом пути	1	1
105	говорить о том	1	1
106	полном согласии с	2	1
107	в этом отношении	6	1
108	или во всяком	2	1
109	в немногих словах	1	1
110	целиком во всех	1	1
111	от того насколько	1	1
112	на вопрос о	4	1
113	таким образом и	3	1
114	мы сейчас же	1	1
115	на всю жизнь	1	1
116	в один прекрасный	1	1
117	бы то ни	1	1
118	находится во власти	1	1
119	как со стороны	1	1
120	если бы он	3	1
121	в связи с	3	1
