N	3gram	Medvedev_F	ViktorSh
1	в конце концов	2	2
2	в том что	3	2
3	его языка если	1	1
4	в значительной степени	3	1
5	литературы исследованием внутренних	1	1
6	параллель то я	1	1
7	способами ее ткать	1	1
8	слово вещь и	1	1
9	под влиянием социальных	1	1
10	и заключается что	1	1
11	провести заводскую параллель	1	1
12	язык находится под	1	1
13	то я интересуюсь	1	1
14	не политикой трестов	1	1
15	словесным законам связанным	1	1
16	влиянием социальных отношений	1	1
17	связанным с физиологией	1	1
18	своим словесным законам	1	1
19	внутренних законов его	1	1
20	теории литературы исследованием	1	1
21	я занимаюсь в	1	1
22	и в частности	2	1
23	по своим словесным	1	1
24	законов его языка	1	1
25	и изменяется слово	1	1
26	главным образом из	1	1
27	а только номерами	1	1
28	рынка не политикой	1	1
29	значительной степени уже	1	1
30	языка если провести	1	1
31	слово по своим	1	1
32	интересуюсь не положением	1	1
33	я интересуюсь не	1	1
34	номерами пряжи и	1	1
35	в теории литературы	1	1
36	и способами ее	1	1
37	пряжи и способами	1	1
38	вещь и изменяется	1	1
39	заводскую параллель то	1	1
40	с физиологией речи	1	1
41	изменяется слово по	1	1
42	в шкловского в	1	1
43	физиологией речи и	1	1
44	находится под влиянием	1	1
45	именно в этом	1	1
46	если провести заводскую	1	1
47	трестов а только	1	1
48	в самом деле	5	1
49	законам связанным с	1	1
50	только номерами пряжи	1	1
51	по крайней мере	1	1
52	политикой трестов а	1	1
53	занимаюсь в теории	1	1
54	не положением мирового	1	1
55	исследованием внутренних законов	1	1
56	что язык находится	1	1
