N	4gram	Tiupa_Anal	Freidism
1	в то же время	7	6
2	одной и той же	1	3
3	один и тот же	1	3
4	но в то же	2	3
5	и не может быть	4	3
6	заключается в том что	1	2
7	в том что он	2	2
8	бы то ни было	3	2
9	на самом же деле	1	2
10	нет и не может	2	2
11	и того и другого	2	1
12	ни в коем случае	2	1
13	не следует упускать из	1	1
14	нуждается в объекте в	1	1
15	если бы он был	1	1
16	или во всяком случае	1	1
17	одни и те же	2	1
18	мы имеем в виду	1	1
19	в таком случае это	1	1
20	не может быть ничего	1	1
21	одно и то же	2	1
22	в коем случае не	2	1
23	во внешнем мире и	1	1
24	по отношению ко всем	1	1
25	не что иное как	5	1
26	следует упускать из виду	1	1
27	ответ на этот вопрос	1	1
28	в собственном смысле слова	1	1
29	есть не что иное	4	1
