N	4gram	Vygotskiy_	Freidism
1	в то же время	1	6
2	последовательно и до конца	1	3
3	одной и той же	2	3
4	один и тот же	1	3
5	заключается в том что	6	2
6	в зависимости от того	1	2
7	и пр и пр	1	2
8	в том что он	1	2
9	бы то ни было	1	2
10	на самом же деле	1	2
11	говорить о том что	1	2
12	что в данном случае	1	1
13	но тем не менее	1	1
14	того что мы знаем	1	1
15	остается ничего другого как	2	1
16	или по крайней мере	1	1
17	все больше и больше	1	1
18	приходит к выводу что	4	1
19	если мы обратимся к	1	1
20	ни в коем случае	1	1
21	не остается ничего другого	2	1
22	как мы уже знаем	1	1
23	или во всяком случае	2	1
24	это как мы уже	1	1
25	т.е в конечном счете	1	1
26	можно подразделить на две	1	1
27	в собственном смысле этого	3	1
28	что с точки зрения	2	1
29	которой мы говорили выше	2	1
30	в свою очередь является	1	1
31	мы имеем в виду	1	1
32	но вместе с ним	1	1
33	с точки зрения учения	1	1
34	так и со стороны	1	1
35	сводится к тому чтобы	1	1
36	мы видим таким образом	4	1
37	и не могут быть	1	1
38	одно и то же	2	1
39	в коем случае не	1	1
40	мы старались показать что	1	1
41	то что является для	1	1
42	как часть социального целого	1	1
43	дело в том что	2	1
44	собственном смысле этого слова	3	1
45	и речи так как	1	1
46	в том что в	1	1
47	того что нам известно	1	1
48	в самом деле что	1	1
49	он приходит к выводу	2	1
50	так обстояло дело в	1	1
51	жизненного порыва lan vital	1	1
52	видим таким образом что	3	1
53	в первые годы жизни	2	1
54	и в то же	1	1
55	в свою противоположность и	1	1
56	к тому чтобы узнать	1	1
57	с научной точки зрения	1	1
58	о которой мы говорили	2	1
59	ответ на этот вопрос	3	1
60	в собственном смысле слова	4	1
61	если можно так выразиться	1	1
