N	3gram	Medvedev_F	VeschiIm
1	и т д	11	38
2	это значит что	1	25
3	не может быть	11	24
4	бы то ни	4	12
5	не что иное	1	12
6	то ни было	1	12
7	что иное как	1	12
8	тем не менее	2	11
9	по крайней мере	1	10
10	в том что	3	9
11	есть не что	1	8
12	в самом деле	5	7
13	по сравнению с	1	7
14	т е в	2	7
15	сама по себе	2	7
16	с точки зрения	17	6
17	то и другое	1	6
18	вовсе не есть	1	6
19	так или иначе	1	6
20	в свою очередь	6	5
21	в чем же	1	5
22	в то же	13	5
23	равно как и	1	4
24	от того что	1	4
25	этой точки зрения	1	4
26	с этой точки	1	4
27	более или менее	7	4
28	сам по себе	2	4
29	что же такое	1	4
30	не только не	2	4
31	то же время	13	4
32	как она есть	1	3
33	вместе с тем	5	3
34	той или другой	1	3
35	заключается в том	1	3
36	и не в	2	3
37	все же не	1	3
38	из того что	1	3
39	сами по себе	4	3
40	если оно не	1	3
41	она не может	1	3
42	в отрыве от	2	3
43	мы не можем	3	3
44	и в то	4	3
45	в собственном смысле	1	3
46	не может не	1	3
47	только то что	1	3
48	с одной стороны	5	3
49	с другой стороны	4	3
50	так же как	1	2
51	то что он	1	2
52	все то что	1	2
53	но совершенно не	1	2
54	вещи но и	1	2
55	в применении к	4	2
56	мы видим что	1	2
57	бы сказать что	1	2
58	в данном случае	2	2
59	какого бы то	1	2
60	в том чтобы	3	2
61	т е на	1	2
62	и в в	1	2
63	если же они	1	2
64	не может и	1	2
65	хотя бы и	1	2
66	главным образом на	2	2
67	было бы сказать	1	2
68	она могла бы	1	2
69	она должна быть	1	2
70	в этом смысле	3	2
71	для того чтобы	3	2
72	но что же	1	2
73	и в конце	1	2
74	и в частности	2	2
75	в том или	1	2
76	в отношении к	1	2
77	в конце концов	2	2
78	тех или иных	1	2
79	даже и не	1	2
80	как бы ни	3	2
81	в отдельности и	1	2
82	можно говорить о	1	2
83	но даже и	2	2
84	хотя бы в	4	2
85	нужно сказать что	1	2
86	в связи с	9	2
87	к тому что	3	2
88	но все же	2	2
89	действительности и ее	1	2
90	во всяком случае	6	2
91	в этом отношении	7	2
92	и в этом	6	2
93	что он есть	1	2
94	что же касается	1	2
95	как раз и	4	2
96	ни о каком	1	2
97	что он не	1	1
98	в самом начале	1	1
99	как и во	1	1
100	одной стороны и	4	1
101	самих по себе	1	1
102	с тем же	1	1
103	и как бы	1	1
104	в науке это	1	1
105	он должен быть	1	1
106	это может быть	1	1
107	но и самой	1	1
108	в этом понятии	2	1
109	т е к	1	1
110	по себе но	1	1
111	и прежде всего	2	1
112	по себе а	2	1
113	и во всяком	1	1
114	том смысле что	2	1
115	в той же	2	1
116	что слово есть	1	1
117	и может быть	1	1
118	связанной с этим	1	1
119	но и в	4	1
120	ни к какому	1	1
121	как мы знаем	2	1
122	в том смысле	3	1
123	выражение т е	1	1
124	как это было	2	1
125	едва ли можно	1	1
126	его от всех	1	1
127	не в этом	1	1
128	и в особенности	1	1
129	к действительности и	1	1
130	в социальной действительности	1	1
131	что оно не	1	1
132	самом деле в	1	1
133	то или иное	1	1
134	однако и здесь	1	1
135	в их конкретной	1	1
136	эта точка зрения	1	1
137	т е она	1	1
138	должно было бы	1	1
139	один из моментов	1	1
140	и даже просто	1	1
141	вещей в их	2	1
142	социологии и т	1	1
143	и ни на	2	1
144	новые формы и	1	1
145	то что уже	1	1
146	мы замечаем что	1	1
147	и во всех	1	1
148	тем более не	1	1
149	уже с трудом	1	1
150	от нее не	1	1
151	и пр но	2	1
152	только в том	1	1
153	даже не пытается	1	1
154	что и в	2	1
155	чего не может	1	1
156	если бы оно	2	1
157	была бы совершенно	1	1
158	не в том	3	1
159	т е они	1	1
160	было бы нелепо	3	1
161	и для всех	1	1
162	на почве этого	1	1
163	иначе как в	1	1
164	между прочим и	1	1
165	и пр и	4	1
