N	4gram	Ircho_Kome	formyVre
1	в то же время	11	18
2	одного и того же	1	9
3	и в то же	2	8
4	с одной стороны и	2	5
5	в том числе и	2	5
6	мы имеем в виду	2	5
7	в то время как	3	4
8	одних и тех же	1	4
9	до сих пор еще	1	3
10	ни в чем не	2	3
11	и до сих пор	1	2
12	и в этом случае	1	2
13	друг с другом и	1	2
14	само собой разумеется что	3	2
15	с этой точки зрения	1	1
16	с самого начала не	1	1
17	в том что в	1	1
18	если бы он был	1	1
19	для того чтобы не	1	1
20	к ним как к	1	1
21	в зависимости от того	1	1
22	в тех же тонах	1	1
23	в тех случаях когда	1	1
24	только в том что	1	1
25	сих пор еще не	1	1
26	она ни в чем	1	1
27	потому что весь этот	1	1
28	но вместе с тем	1	1
29	до сих пор не	2	1
