N	3gram	Bakhtin_Pr	SlovoVZh
1	по отношению к	12	11
2	не может быть	8	7
3	можно сказать что	2	5
4	в том что	6	4
5	дело в том	1	4
6	так как если	1	4
7	как если бы	3	4
8	и по отношению	1	3
9	в художественном произведении	1	3
10	то ни было	2	3
11	до сих пор	9	3
12	этой точки зрения	2	3
13	и не в	1	3
14	бы то ни	3	3
15	тем не менее	2	3
16	отражает в себе	1	3
17	и не может	6	3
18	может быть и	2	3
19	звучит так как	1	2
20	это не так	1	2
21	имеем в виду	1	2
22	на самом деле	4	2
23	художественного произведения и	1	2
24	одной стороны и	1	2
25	то же самое	1	2
26	не довлеет себе	1	2
27	в отношении к	3	2
28	в данном случае	2	2
29	в зависимости от	5	2
30	и уже не	1	2
31	с одной стороны	1	2
32	с другой стороны	6	2
33	до известной степени	1	2
34	зависит от того	1	2
35	с точки зрения	21	2
36	но тем не	1	2
37	в настоящее время	3	2
38	и менее всего	1	1
39	сих пор не	1	1
40	данной социальной группы	1	1
41	все же не	3	1
42	этом смысле она	1	1
43	сам по себе	2	1
44	для него не	2	1
45	сами по себе	4	1
46	самом деле в	1	1
47	является таким образом	1	1
48	оно ни было	1	1
49	не должна быть	1	1
50	важно не то	1	1
51	точек зрения и	3	1
52	о том что	2	1
53	но несмотря на	1	1
54	в противном случае	1	1
55	развитие этой точки	1	1
56	при этом слово	1	1
57	и его идеологическая	1	1
58	форма сама по	1	1
59	в самом деле	6	1
60	его структурой и	1	1
61	сливается с ним	1	1
62	в пределах настоящей	1	1
63	искусства и в	1	1
64	была бы разрешена	1	1
65	того в каком	1	1
66	в том и	2	1
67	и самое слово	1	1
68	нему как к	1	1
69	чтобы убедиться в	1	1
70	в высшей степени	1	1
71	художественную форму его	1	1
72	в творчестве достоевского	5	1
73	в свою очередь	1	1
74	по себе не	1	1
75	и в поэзии	1	1
76	и в частности	1	1
77	а между тем	1	1
78	к нему как	1	1
79	можно найти только	1	1
80	то что для	1	1
81	как и в	3	1
82	определяет не только	1	1
83	может находиться в	1	1
84	как мы уже	2	1
85	какой бы то	1	1
86	только в нем	1	1
87	может быть понято	1	1
88	сама по себе	5	1
89	идеологические оценки которые	1	1
90	в том же	1	1
91	один миг не	1	1
92	не только его	1	1
93	деле это не	1	1
94	же время не	3	1
95	так именно и	1	1
96	в процессе этого	1	1
97	но прежде всего	1	1
98	и для него	1	1
99	те оценки которые	1	1
100	место в творчестве	1	1
101	во всяком случае	4	1
102	в нем и	1	1
103	никогда не бывает	1	1
104	и независимо от	1	1
105	но в то	7	1
106	она не может	1	1
107	свое непосредственное выражение	1	1
108	стиле и в	1	1
109	социальной атмосферы вокруг	1	1
110	в лучшем случае	2	1
111	но конечно эта	1	1
112	точки зрения это	1	1
113	только то что	2	1
114	подобно тому как	3	1
115	мы увидим что	1	1
116	с самого начала	1	1
117	как существенный момент	1	1
118	от того в	1	1
119	же как и	2	1
120	наиболее яркое и	1	1
121	и в нем	2	1
122	все то в	1	1
123	зависимости от того	1	1
124	приходится признать что	1	1
125	если бы действительно	1	1
126	то что я	1	1
127	но в них	1	1
128	можно было бы	3	1
129	в этом отношении	3	1
130	так же как	1	1
131	если бы оно	1	1
132	и в формах	1	1
133	то же время	13	1
134	все зависит от	1	1
135	между тем как	5	1
136	бы оно ни	1	1
137	тех или иных	1	1
138	так и к	1	1
139	не совпадает с	1	1
140	здесь таким образом	1	1
141	записок из подполья	2	1
142	становятся все более	1	1
143	более или менее	4	1
144	но и в	1	1
145	быть более или	2	1
146	в то же	13	1
147	и на события	1	1
148	мы имеем в	1	1
149	в значительной степени	1	1
150	то время как	2	1
151	это прежде всего	1	1
152	что до сих	1	1
153	отношению к автору	1	1
154	в одном голосе	2	1
155	героя никогда не	1	1
156	для историка литературы	1	1
157	они как бы	1	1
158	те идеологические оценки	1	1
159	так как в	1	1
160	и в этом	5	1
161	по крайней мере	2	1
162	здесь мы должны	1	1
163	берет на себя	1	1
164	и различные степени	1	1
165	художественного творчества он	1	1
166	в то время	2	1
167	в этом смысле	12	1
168	или может быть	1	1
169	бы не было	1	1
170	уже не может	1	1
171	не может стать	1	1
172	от того кто	1	1
173	в стиле и	1	1
174	но все же	3	1
175	того кто является	1	1
176	если же он	1	1
177	нам кажется что	3	1
178	и потому не	1	1
179	может быть более	2	1
180	самом деле это	1	1
181	социальной группы к	1	1
182	каких бы то	1	1
183	слова и его	1	1
184	если бы не	1	1
185	к тому же	2	1
186	они ни были	1	1
187	друг к другу	1	1
188	может быть только	1	1
