N	3gram	Trubetskoy	Marksizm
1	с точки зрения	8	46
2	не может быть	4	25
3	в самом деле	5	19
4	по отношению к	11	15
5	то же время	2	15
6	в то же	2	15
7	в том что	16	14
8	в связи с	3	14
9	и не может	1	12
10	то ни было	3	12
11	в высшей степени	2	12
12	бы то ни	3	12
13	для того чтобы	7	11
14	до сих пор	15	11
15	с самого начала	1	10
16	одного и того	3	9
17	и того же	3	9
18	в настоящее время	3	8
19	то же самое	1	8
20	может быть и	4	8
21	смысле этого слова	1	7
22	с другой стороны	4	7
23	в свою очередь	2	7
24	как мы знаем	1	7
25	на то что	7	6
26	на самом деле	7	6
27	во всяком случае	2	6
28	с одной стороны	2	6
29	к тому что	1	5
30	как мы видели	1	5
31	в этом случае	4	5
32	мы уже знаем	1	4
33	так и от	1	4
34	в зависимости от	1	4
35	как мы сказали	1	4
36	но все же	2	4
37	о том что	4	4
38	каких бы то	1	4
39	том что он	2	4
40	тем не менее	4	3
41	в том числе	1	3
42	более или менее	8	3
43	и то же	1	3
44	друг с другом	9	3
45	но при этом	1	3
46	в конце концов	4	3
47	том числе и	1	3
48	между этими двумя	2	3
49	самом деле ведь	1	3
50	а не в	1	3
51	в этом последнем	1	3
52	в данный момент	1	3
53	и той же	1	3
54	одно и то	1	3
55	можно было бы	1	3
56	именно в том	1	3
57	одной и той	1	3
58	рано или поздно	2	2
59	в этом направлении	1	2
60	и у нас	1	2
61	друг от друга	6	2
62	самом деле если	1	2
63	что во всех	1	2
64	так или иначе	5	2
65	мы видели что	1	2
66	ничего общего с	2	2
67	а между тем	8	2
68	между тем как	1	2
69	в данном случае	3	2
70	в том или	1	2
71	к тому же	5	2
72	и в том	2	2
73	в нашем случае	2	2
74	только по отношению	1	2
75	социальной группы и	1	2
76	и пр эта	1	2
77	по крайней мере	1	2
78	том или ином	1	2
79	если мы возьмем	1	2
80	как и в	2	2
81	а следовательно и	2	2
82	нами в начале	1	2
83	только в этом	1	2
84	в этом и	1	2
85	несмотря на то	2	2
86	независимо от того	1	2
87	таким образом в	3	2
88	до тех пор	1	2
89	как и все	2	2
90	так же как	3	2
91	хотя бы в	1	2
92	же касается до	2	2
93	в широком смысле	1	2
94	является одним из	1	2
95	теперь мы должны	1	2
96	нет и не	1	2
97	тот или иной	1	2
98	при более внимательном	1	1
99	благодаря тому что	1	1
100	целый ряд вопросов	1	1
101	при этом однако	1	1
102	и в сознании	1	1
103	а может быть	1	1
104	все то что	1	1
105	отказаться как от	1	1
106	что и для	1	1
107	поколения в поколение	1	1
108	и это не	1	1
109	становится как бы	1	1
110	для этого необходимо	1	1
111	в нем не	1	1
112	и на тех	1	1
113	никогда не будет	3	1
114	вопрос мы должны	1	1
115	бы в его	1	1
116	по сравнению с	5	1
117	и в другом	1	1
118	только мы дадим	1	1
119	и более или	1	1
120	на каждом этапе	1	1
121	о которых мы	4	1
122	смысле слова т.е	1	1
123	не менее в	1	1
124	говоря уже о	1	1
125	с этой точки	1	1
126	он не может	2	1
127	в том же	3	1
128	совершенно так же	4	1
129	несмотря на всю	1	1
130	но для того	1	1
131	только с точки	1	1
132	свидетельствует о том	1	1
133	и не имеет	1	1
134	всяком случае за	1	1
135	жизни если бы	1	1
136	начало и конец	4	1
137	что он сам	1	1
138	в тот же	1	1
139	во многих отношениях	1	1
140	иметь не может	1	1
141	что все эти	1	1
142	с тем и	1	1
143	вместо того чтобы	1	1
144	и для самого	1	1
145	том что все	2	1
146	или лучше сказать	1	1
147	все остальное в	1	1
148	как бы он	1	1
149	а с другой	2	1
150	общи у него	1	1
151	а в том	1	1
152	не только не	1	1
153	с этим на	1	1
154	вступить в противоречие	1	1
155	потому-то и не	1	1
156	друг на друга	2	1
157	сравнительно редких случаях	1	1
158	ее до сих	1	1
159	и только при	1	1
160	они не могут	1	1
161	лежит за пределами	1	1
162	хотя бы с	1	1
163	таким образом и	1	1
164	же самое что	1	1
165	в тех случаях	1	1
166	мы все же	2	1
167	к тем же	1	1
168	не только по	1	1
169	сих пор не	5	1
170	в моем сознании	1	1
171	а как бы	1	1
172	широком смысле слова	1	1
173	не имеет никакой	1	1
174	то есть в	1	1
175	оно существует в	1	1
176	вместе с тем	3	1
177	в противоречие с	1	1
178	таким образом по	1	1
179	была у него	1	1
180	этой точки зрения	1	1
181	нет ничего общего	1	1
182	каждый из этих	2	1
183	в себе и	1	1
184	что же касается	2	1
185	в целом ряде	3	1
186	точки зрения что	1	1
187	не отличается от	1	1
188	тем же выводам	1	1
189	в то время	2	1
190	без того уже	2	1
191	ко всем этим	1	1
192	между тем мы	1	1
193	с такою же	1	1
194	между тем этот	1	1
195	все же не	3	1
196	и с точки	1	1
197	этом последнем случае	1	1
198	не говоря уже	1	1
199	у него с	2	1
200	ни одна из	1	1
201	все же они	1	1
202	в других областях	1	1
203	дело в том	1	1
204	в его теории	1	1
205	и все другие	1	1
206	из поколения в	1	1
207	в лучшем случае	1	1
208	мы только что	1	1
209	таким образом оказывается	1	1
210	таким образом как	1	1
211	уже говорили что	1	1
212	во всех этих	2	1
213	как бы ни	1	1
214	еще далеко не	1	1
215	и без того	4	1
216	с и т.д	1	1
217	тех случаях когда	1	1
218	иначе обстоит дело	1	1
219	уже о том	1	1
220	по его мнению	1	1
221	для многих других	1	1
222	и в нем	1	1
223	все это делает	1	1
224	мы уже говорили	1	1
225	во всем этом	1	1
226	приводит к тому	1	1
227	слагается из элементов	3	1
228	были бы в	1	1
229	что несмотря на	2	1
230	в другом случае	1	1
231	мы уже сказали	1	1
232	они вступают в	1	1
