N	2gram	Trubetskoy	VerxiiNi
1	и в	24	26
2	таким образом	34	22
3	с тем	4	18
4	в этом	13	15
5	вместе с	7	15
6	точки зрения	14	13
7	как бы	10	12
8	в том	31	11
9	не только	10	10
10	и с	5	10
11	может быть	17	10
12	из этих	8	10
13	что в	9	9
14	так как	7	9
15	связи с	4	9
16	но и	11	9
17	в области	4	9
18	в общем	6	8
19	и у	4	8
20	и не	9	8
21	как на	6	8
22	главным образом	1	8
23	с другой	6	8
24	но не	3	8
25	в религиозном	1	7
26	с одной	3	7
27	но все	5	7
28	том что	20	7
29	потому что	9	7
30	одной стороны	2	7
31	а с	4	7
32	то что	18	7
33	но в	5	7
34	из них	5	7
35	к нему	2	7
36	так и	10	6
37	в конце	4	6
38	несмотря на	6	6
39	все это	13	6
40	что и	7	6
41	в отношении	1	6
42	представление о	3	6
43	все эти	19	6
44	все же	15	6
45	к тому	8	6
46	о том	7	6
47	во всяком	2	6
48	и потому	3	6
49	всяком случае	2	6
50	мы должны	4	6
51	и т.д	4	6
52	с точки	8	6
53	в себе	5	6
54	того же	9	6
55	и к	5	5
56	до сих	15	5
57	том числе	1	5
58	в его	5	5
59	сравняться с	1	5
60	к жизни	1	5
61	тому же	6	5
62	более или	8	5
63	в мире	6	5
64	не имеет	2	5
65	с другом	9	5
66	или менее	8	5
67	сих пор	15	5
68	по крайней	1	5
69	того чтобы	8	5
70	для того	8	5
71	так же	8	5
72	национального целого	1	5
73	лишь в	5	5
74	отношение к	4	5
75	тем чтобы	2	5
76	образом в	3	5
77	в силу	7	5
78	друг с	9	5
79	а не	1	5
80	и для	6	5
81	крайней мере	1	5
82	никогда не	4	5
83	в самом	8	4
84	что оно	3	4
85	ничем не	5	4
86	то есть	2	4
87	и по	3	4
88	то же	4	4
89	культурных ценностей	20	4
90	из которых	4	4
91	только в	6	4
92	в этих	3	4
93	с другими	1	4
94	целый ряд	4	4
95	что он	7	4
96	в которых	2	4
97	к своим	2	4
98	русской жизни	1	4
99	в котором	2	4
100	в течение	4	4
101	он не	4	4
102	и что	9	4
103	далеко не	5	4
104	а в	3	4
105	очень мало	2	4
106	в этой	7	4
107	числе и	1	4
108	и от	5	4
109	не может	18	4
110	что все	5	4
111	в виде	4	4
112	в то	6	4
113	и только	2	4
114	в нем	3	4
115	в так	1	4
116	к сожалению	1	3
117	и другие	1	3
118	с этой	3	3
119	и при	6	3
