N	3gram	Tiupa_Teor	Dialekti
1	с точки зрения	3	46
2	сама по себе	2	26
3	по крайней мере	1	26
4	в том что	10	25
5	не может быть	5	18
6	не что иное	1	18
7	что иное как	1	18
8	тем не менее	3	16
9	то же время	8	15
10	в то же	8	14
11	в таком случае	2	14
12	и то же	2	12
13	с другой стороны	6	12
14	о том что	1	12
15	одно и то	2	12
16	есть не что	1	11
17	субъекта и объекта	1	11
18	в самом деле	2	10
19	иметь в виду	1	9
20	содержит в себе	1	9
21	подобно тому как	3	9
22	то или иное	1	9
23	это и есть	1	9
24	не только не	2	8
25	только то что	1	8
26	в то время	1	8
27	та или иная	1	8
28	в этом смысле	3	8
29	можно сказать что	3	7
30	так или иначе	5	7
31	точно так же	1	7
32	в связи с	3	7
33	той или иной	3	7
34	и в частности	1	7
35	в коем случае	2	6
36	для того чтобы	5	6
37	более или менее	6	6
38	ни в коем	2	6
39	в зависимости от	1	6
40	и прежде всего	1	6
41	и в то	2	6
42	коем случае не	2	6
43	в сравнении с	1	6
44	с одной стороны	3	6
45	может быть и	2	6
46	– все это	1	5
47	к тому что	2	5
48	в виду что	1	5
49	это было бы	1	5
50	одной стороны и	1	4
51	по себе а	1	4
52	с этой точки	2	4
53	так же как	1	4
54	этой точки зрения	2	4
55	в данном случае	5	4
56	к тому же	1	4
57	то же самое	1	4
58	из того что	1	4
59	а не только	1	4
60	а не сама	1	4
61	я думаю что	1	4
62	может и не	1	4
63	и тем более	1	4
64	связи с этим	1	4
65	не могут быть	2	4
66	но только не	1	4
67	субъект и объект	1	4
68	в той или	1	3
69	тех или иных	3	3
70	и как бы	1	3
71	внутреннее и внешнее	1	3
72	один из видов	1	3
73	не сама по	1	3
74	бы то ни	2	3
75	того или иного	6	3
76	ту или иную	2	3
77	в данный момент	2	3
78	как и в	2	3
79	в себе и	1	3
80	но в то	2	3
81	речь идет о	1	3
82	я никогда не	1	3
83	что он не	1	2
84	которая характерна для	1	2
85	том что в	1	2
86	не содержит в	1	2
87	в силу своей	4	2
88	дело не в	1	2
89	друг от друга	1	2
90	как более или	1	2
91	того что не	1	2
92	в отношении к	2	2
93	отношении к нему	1	2
94	а не ее	1	2
95	не было и	1	2
96	можно говорить о	1	2
97	точки зрения в	1	2
98	что в основе	2	2
99	– один из	1	2
100	имеет место в	1	2
101	перед нами не	1	2
