N	4gram	Losev_Prob	slovoVRo
1	в той или иной	7	13
2	и в то же	2	6
3	с одной стороны и	1	4
4	не выходит за пределы	1	3
5	можно прямо сказать что	1	3
6	одно и то же	3	3
7	с этой точки зрения	1	2
8	и в этом случае	3	2
9	и т д можно	1	2
10	ни в чем не	2	2
11	в то время как	6	2
12	на самом же деле	7	1
13	мы имеем в виду	1	1
14	требует от нас признания	1	1
15	и ни в чем	2	1
16	во всяком случае не	2	1
17	все дело в том	1	1
18	дело в том что	3	1
19	хотя может быть и	1	1
20	не только в предмете	1	1
21	одной и той же	1	1
22	как бы она ни	2	1
23	в связи с этим	1	1
24	т д можно сказать	1	1
25	в том числе и	1	1
26	xix и начала xx	2	1
27	бы она ни была	2	1
28	на то или иное	1	1
29	именно к тому что	1	1
30	истории в новое время	1	1
31	в том что он	1	1
32	но с другой стороны	2	1
33	все более и более	1	1
34	бы то ни было	4	1
35	с другой стороны и	1	1
36	и с точки зрения	2	1
37	заключается в том чтобы	1	1
38	в узком смысле слова	1	1
39	особой точки зрения на	1	1
40	с той или иной	1	1
41	тем не менее в	3	1
42	так же как и	3	1
43	д можно сказать что	1	1
