N	4gram	Voloshinov	Myslijsy
1	в то же время	1	13
2	но тем не менее	1	10
3	одно и то же	2	7
4	один и тот же	1	4
5	не что иное как	2	4
6	до тех пор пока	3	3
7	с этой точки зрения	1	3
8	язык во всем своем	1	2
9	состоит в том что	1	2
10	и то же слово	2	2
11	само по себе а	1	1
12	ключ ко всем тайнам	1	1
13	нет и не может	1	1
14	следует иметь в виду	1	1
15	in intellectu quod non	1	1
16	на две группы во-первых	1	1
17	то же самое слово	1	1
18	в том что язык	1	1
19	и не может быть	1	1
20	иметь в виду что	1	1
21	nihil est in intellectu	1	1
22	распадаются на две группы	1	1
23	est in intellectu quod	1	1
24	по отношению к другим	1	1
25	на том основании что	1	1
26	есть не что иное	2	1
