N	2gram	Berdyaev_O	UchenyiS
1	и в	19	14
2	не только	11	10
3	а не	11	10
4	и не	13	8
5	прежде всего	9	8
6	то что	5	7
7	в этом	12	7
8	не может	4	7
9	может быть	11	6
10	хотя бы	3	5
11	художественного творчества	1	5
12	все это	6	5
13	в этой	5	4
14	в россии	5	4
15	но и	13	4
16	было бы	3	3
17	и то	2	3
18	и формы	1	3
19	это не	3	3
20	как и	6	3
21	для него	5	3
22	в своей	2	3
23	все же	2	3
24	в частности	1	3
25	у нас	1	3
26	но в	2	3
27	в самом	5	2
28	же не	1	2
29	его и	1	2
30	если бы	1	2
31	самом деле	1	2
32	могут быть	3	2
33	не в	11	2
34	это было	3	2
35	бы и	1	2
36	и с	2	2
37	художественном творчестве	2	2
38	еще ничего	1	2
39	но не	1	2
40	тем что	2	2
41	в себе	3	2
42	в его	7	2
43	в конце	1	2
44	даже и	2	2
45	должна быть	1	2
46	мы не	1	2
47	ничего не	2	2
48	что она	1	2
49	не есть	2	2
50	что он	3	2
51	этом отношении	1	2
52	о чем	1	2
53	интереса к	1	2
54	не могут	3	2
55	в том	5	2
56	том что	2	2
57	и через	1	2
58	но это	1	2
59	и для	2	2
60	что и	2	2
61	не случайно	1	2
62	смысле этого	1	2
63	с его	4	2
64	по себе	2	2
65	что все	2	2
66	не все	2	2
67	было у	1	1
68	было и	1	1
69	что было	1	1
70	все в	4	1
71	что в	4	1
72	не было	9	1
73	было сделать	1	1
74	и даже	1	1
75	говорит он	1	1
76	всего что	1	1
77	и потому	2	1
78	но он	7	1
79	в свое	1	1
80	в которой	2	1
81	все и	1	1
82	что же	2	1
83	которой все	1	1
84	у кого	2	1
85	все его	1	1
86	у толстого	1	1
87	никогда и	2	1
88	быть не	1	1
89	он в	2	1
90	и все	10	1
91	из самых	1	1
92	состоит из	1	1
93	сказать что	2	1
94	и эта	1	1
95	в процессе	1	1
96	достоевского и	5	1
97	она должна	1	1
98	его как	1	1
99	него не	2	1
100	от которой	1	1
101	он ставит	1	1
102	не делает	1	1
103	ее как	1	1
104	и действительно	1	1
105	того как	1	1
106	он знает	1	1
107	она не	1	1
108	до конца	7	1
109	в своем	2	1
110	с тем	2	1
111	что только	1	1
112	он прежде	2	1
113	в ней	1	1
114	и требованиями	1	1
115	всего только	1	1
116	это для	1	1
117	и прежде	1	1
118	а это	1	1
119	в этот	2	1
120	для тех	1	1
121	не вполне	1	1
122	на то	1	1
123	он и	1	1
124	природе и	1	1
125	бы ни	1	1
126	сам по	1	1
127	к этому	2	1
128	так и	2	1
129	о нем	1	1
130	друг с	1	1
131	ее в	2	1
132	толстого и	1	1
133	о которой	2	1
134	в нем	10	1
135	он не	7	1
136	не внешне	1	1
137	ней не	1	1
138	может служить	1	1
139	все что	3	1
140	и что	1	1
141	одно из	2	1
142	что для	2	1
143	и это	1	1
144	с другом	1	1
145	связаны и	1	1
146	он был	8	1
147	на своем	1	1
148	они в	1	1
149	должно быть	2	1
150	л толстого	1	1
151	в виду	1	1
152	само по	1	1
153	к которой	1	1
154	свое оправдание	1	1
155	уже не	1	1
156	о том	3	1
157	того что	3	1
158	у него	22	1
159	в котором	1	1
160	не существует	1	1
161	бы в	1	1
162	существование в	1	1
163	никогда не	9	1
164	человека и	10	1
