N	3gram	Tiupa_Vved	Mirosoze
1	не может быть	6	28
2	добра и зла	1	10
3	в том что	10	9
4	а не в	1	9
5	это и есть	1	9
6	для того чтобы	1	7
7	в высшей степени	2	7
8	и в этом	1	6
9	о том что	6	6
10	на этом пути	1	5
11	но и в	3	5
12	не было бы	1	5
13	прежде всего в	1	5
14	по отношению к	11	4
15	заключает в себе	4	4
16	никогда не было	1	4
17	и в самом	1	4
18	на то что	2	4
19	не что иное	1	4
20	можно было бы	2	4
21	у него нет	1	4
22	что иное как	1	4
23	как будто бы	3	3
24	для этого необходимо	1	3
25	потому что она	1	3
26	как бы не	1	3
27	к тому что	1	3
28	а не только	1	3
29	но это не	1	3
30	одна и та	1	3
31	и потому не	1	3
32	по сравнению с	1	3
33	и той же	1	3
34	и та же	1	3
35	как и все	1	3
36	одной и той	1	3
37	так же как	1	3
38	в значительной степени	2	3
39	не до конца	1	3
40	же как и	1	3
41	во всяком случае	3	3
42	как и в	2	3
43	бы и не	2	2
44	в этом направлении	2	2
45	не только в	3	2
46	а не к	1	2
47	он не может	1	2
48	в е годы	1	2
49	по природе своей	2	2
50	в нем не	1	2
51	что это не	1	2
52	на то чтобы	1	2
53	в наше время	1	2
54	и не может	1	2
55	в том смысле	1	2
56	так и не	4	2
57	к тому чтобы	1	2
58	подобно тому как	3	2
59	никогда не может	1	2
60	по своей природе	2	2
61	как бы в	2	2
62	в этом отношении	7	2
63	в самом начале	1	1
64	мере в какой	2	1
65	не было в	1	1
66	того ни с	1	1
67	том смысле что	1	1
68	с утра до	1	1
69	в той мере	2	1
70	говорят о том	1	1
71	что есть на	1	1
72	он мог бы	1	1
73	во всех его	1	1
74	мира если в	1	1
75	и он в	1	1
76	жизни не в	1	1
77	и он не	1	1
78	и по своим	1	1
79	что они не	1	1
80	в самом деле	2	1
81	для себя и	1	1
82	и разрешается в	1	1
83	но и с	1	1
84	и того кто	1	1
85	не несет в	3	1
86	друг на друга	2	1
87	во втором случае	1	1
88	но не только	1	1
89	не в том	3	1
90	а также в	1	1
91	и на наших	1	1
92	на людей и	1	1
93	и бунта но	1	1
94	со всеми своими	1	1
95	речь идет о	3	1
96	изнутри а не	1	1
97	в зависимости от	1	1
98	вместо того чтобы	1	1
99	ни с того	1	1
100	своего свободного духа	1	1
101	в этом мире	1	1
102	но и не	1	1
103	не только художественная	1	1
104	и тем самым	2	1
105	в отличие от	11	1
106	а стало быть	1	1
107	той мере в	2	1
108	было не до	2	1
109	может быть названа	1	1
110	у достоевского но	1	1
111	но и от	1	1
112	но не в	1	1
113	он в свою	1	1
114	которые не в	1	1
115	на наших глазах	1	1
116	с другой стороны	2	1
117	друг друга как	1	1
118	со своей стороны	1	1
119	ни с сего	1	1
120	в той же	1	1
121	жизнь и судьба	1	1
122	человек в нем	1	1
123	но в конце	1	1
124	той или иной	4	1
125	слова а не	1	1
126	в жизни так	1	1
127	не только от	1	1
128	это не так	1	1
129	с того что	2	1
130	а не как	1	1
131	к новой жизни	1	1
132	которые могли бы	1	1
133	в то же	5	1
134	и зла а	1	1
135	то же время	4	1
136	ли это что	1	1
137	на самом деле	4	1
138	не означает что	1	1
139	в мире в	1	1
140	жизни и смерти	1	1
141	я уже не	1	1
142	только потому что	1	1
143	у него на	1	1
144	жизни в нем	1	1
145	стало быть не	1	1
146	несет в себе	4	1
147	о свободе в	1	1
148	сомневаться в том	1	1
149	с самим собой	1	1
150	была такова что	1	1
151	с того ни	1	1
152	утра до вечера	1	1
153	того что есть	1	1
154	она может быть	1	1
155	и все же	6	1
156	в слове истина	1	1
157	на земле и	1	1
158	совершается переход от	1	1
159	с одной стороны	9	1
160	у нас нет	2	1
161	такого рода исследований	1	1
162	не мог быть	1	1
163	в себе ее	1	1
164	до встречи с	1	1
165	если бы не	1	1
