N	2gram	Vygotskiy_	VelikijI
1	и не	16	20
2	и в	38	16
3	так как	19	9
4	то что	27	9
5	в истории	9	8
6	еще не	6	8
7	и потому	2	7
8	что они	23	7
9	а не	7	7
10	человека и	6	6
11	не есть	5	6
12	хотя и	2	5
13	того что	17	5
14	все это	8	5
15	по пути	5	5
16	как бы	17	5
17	на себя	2	5
18	в мире	2	5
19	но и	9	5
20	все что	4	4
21	в котором	3	4
22	в этом	35	4
23	что мы	18	4
24	потому что	14	4
25	в его	22	4
26	в ней	3	4
27	так и	11	4
28	это еще	1	4
29	говорить о	1	4
30	они будут	1	4
31	и все	5	4
32	что не	1	4
33	что все	2	4
34	как и	20	4
35	что он	13	4
36	и я	1	4
37	в нем	4	4
38	во всех	3	3
39	что в	31	3
40	бы и	2	3
41	и мы	2	3
42	за ним	1	3
43	в конце	1	3
44	должно быть	3	3
45	в первый	2	3
46	если не	1	3
47	хотя бы	2	3
48	в том	59	3
49	тому что	3	3
50	личности и	1	3
51	этих трех	1	3
52	не в	10	3
53	его во	1	3
54	и что	15	3
55	что и	14	3
56	ни в	12	3
57	превращается в	1	3
58	в этих	4	3
59	в них	3	3
60	оно не	3	3
61	к чему	1	3
62	в жизни	3	3
63	по этому	6	3
64	и они	1	3
65	их в	6	3
66	в своей	9	3
67	с его	3	3
68	от этого	6	3
69	не имеет	3	3
70	но это	7	3
71	и для	4	3
72	истории человечества	1	3
73	в чем	2	3
74	все эти	9	3
75	тот же	10	3
76	но в	4	3
77	к тому	8	3
78	за то	1	3
79	никогда не	11	3
80	что было	1	2
81	тем кто	1	2
82	во всяком	10	2
83	от него	1	2
84	уже на	1	2
85	один из	8	2
86	мы и	4	2
87	не могли	3	2
88	в последнем	1	2
89	самого себя	2	2
90	которые не	5	2
91	более чем	1	2
92	в земной	1	2
93	и люди	1	2
94	на том	3	2
95	не создает	3	2
96	когда я	1	2
97	не так	1	2
98	того чтобы	15	2
99	это не	5	2
100	путь которым	1	2
101	это все	1	2
102	между тем	10	2
103	не только	16	2
104	для него	6	2
105	и тогда	2	2
106	с ним	4	2
107	является в	4	2
108	которой они	2	2
109	не будет	2	2
110	ее в	2	2
111	для нас	6	2
112	и то	9	2
113	прежде всего	6	2
114	для них	3	2
115	можно было	10	2
116	в форме	2	2
117	вслед за	4	2
118	и это	7	2
119	от этих	2	2
120	мы не	14	2
121	конечно не	1	2
122	нет еще	1	2
123	только в	16	2
124	все равно	4	2
125	а с	4	2
126	под этим	3	2
127	людей что	1	2
128	а в	7	2
129	до того	1	2
130	не хотел	1	2
131	и сам	4	2
132	я думаю	1	2
133	нет и	1	2
134	это мы	3	2
135	но не	7	2
136	тем что	12	2
137	по которым	2	2
138	и во	4	2
139	могут быть	9	2
140	значения и	6	2
141	с тем	18	2
142	давно уже	1	2
143	от высшего	1	2
144	одна из	2	2
145	его к	6	2
146	не могут	5	2
147	да и	1	2
148	и новые	1	2
149	есть уже	1	2
150	том что	44	2
151	когда в	3	2
152	так много	1	2
153	для человека	2	2
154	но мы	1	2
155	в себя	3	2
156	что их	1	2
157	уже не	3	2
158	взятого в	1	1
159	с которыми	4	1
160	в самом	8	1
161	который он	1	1
162	во всем	7	1
163	бы то	1	1
164	мире и	1	1
165	покоятся на	1	1
166	могли бы	16	1
167	связь с	4	1
168	его личности	1	1
169	с самыми	1	1
170	но как	4	1
171	в окончательном	1	1
172	мы видим	13	1
173	не хотим	2	1
174	если оно	1	1
175	что оно	8	1
176	уже сказано	8	1
177	на котором	3	1
178	это тот	2	1
179	слова которое	1	1
180	должно иметь	1	1
181	речь идет	4	1
182	вообще в	2	1
183	и столь	1	1
184	мы скажем	1	1
185	он говорит	1	1
186	и на	9	1
187	ничем не	2	1
188	вопрос о	2	1
189	на этом	3	1
190	же и	2	1
191	может быть	25	1
192	они не	4	1
193	видим что	2	1
194	после того	1	1
195	не имеют	2	1
196	и было	1	1
197	раз и	1	1
198	свое место	2	1
199	человека не	1	1
200	она с	1	1
201	если в	3	1
202	иногда может	1	1
203	одно целое	1	1
204	слова для	1	1
205	указать на	2	1
206	того как	5	1
207	это как	1	1
208	которая в	1	1
209	мы увидим	4	1
210	и вообще	1	1
211	и который	1	1
212	это образование	1	1
213	в роли	4	1
214	его с	1	1
215	она не	1	1
216	уже в	10	1
217	задача которая	1	1
218	в состоянии	1	1
219	для себя	2	1
220	у них	3	1
221	что уже	3	1
222	с этой	6	1
223	то же	18	1
224	животные которые	1	1
225	есть знак	1	1
226	по сравнению	6	1
227	то ни	1	1
228	для того	14	1
229	и менее	1	1
230	не по	2	1
231	нельзя не	2	1
232	не для	1	1
233	что всякий	1	1
234	но от	1	1
235	думаю что	1	1
236	что это	8	1
237	это значит	6	1
238	не всегда	1	1
239	в разных	1	1
240	него в	1	1
241	по закону	2	1
242	своей сущности	1	1
243	с такой	1	1
244	и единый	1	1
245	образ в	1	1
246	в ее	1	1
247	первые слова	2	1
248	и тем	8	1
249	говорит о	1	1
250	как это	16	1
251	истинного и	1	1
252	чем у	1	1
253	есть еще	2	1
254	мы в	3	1
255	составные части	3	1
256	в которую	1	1
257	в тот	1	1
258	не были	1	1
259	есть и	2	1
260	слова не	3	1
261	в одном	4	1
262	же что	2	1
263	у нас	1	1
264	говорят что	1	1
265	на пути	2	1
266	в этой	7	1
267	со словами	2	1
268	это слово	1	1
269	в результате	6	1
270	говорит что	1	1
271	в виду	4	1
272	другой стороны	5	1
273	слова с	2	1
274	и хотя	1	1
275	основной вопрос	1	1
276	я не	1	1
277	и чем	1	1
278	и вновь	1	1
279	но что	3	1
280	как можно	1	1
281	человека к	1	1
282	основана на	2	1
283	уже и	5	1
284	в русском	1	1
285	у него	3	1
286	образом по	3	1
287	не существует	1	1
288	так же	26	1
289	в виде	4	1
290	это имеет	1	1
291	только это	1	1
292	их не	1	1
293	в своих	3	1
294	в противоположность	1	1
295	с признанием	1	1
296	о возможности	1	1
297	и остается	1	1
298	с другой	11	1
299	на которых	3	1
300	конечно в	2	1
301	в которой	4	1
302	но все	4	1
303	вот что	1	1
304	ее от	1	1
305	и навсегда	1	1
306	и с	5	1
307	много общего	1	1
308	и можно	1	1
309	может ли	2	1
310	каким образом	1	1
311	человеческого общества	1	1
312	отношение к	1	1
313	ко всем	2	1
314	на путь	1	1
315	известном смысле	2	1
316	в мир	1	1
317	то и	5	1
318	или даже	2	1
319	не надо	1	1
320	он так	2	1
321	лишь как	1	1
322	и другое	7	1
323	еще с	1	1
324	как мы	14	1
325	оторванное от	1	1
326	ведет к	1	1
327	и до	1	1
328	бы сделать	1	1
329	в процессе	33	1
330	и своего	1	1
331	по мотивам	1	1
332	у человека	2	1
333	смысле и	2	1
334	на него	2	1
335	в своем	9	1
336	действии и	2	1
337	это ни	1	1
338	стороны в	1	1
339	ставит в	1	1
340	еще и	2	1
341	будем говорить	1	1
342	к жизни	2	1
343	и от	5	1
344	лишь на	2	1
345	быть может	2	1
346	мы будем	4	1
347	как она	4	1
348	от слова	2	1
349	с ними	3	1
350	всегда в	1	1
351	им и	1	1
352	и именно	1	1
353	к человеческой	2	1
354	остается не	1	1
355	конечная цель	1	1
356	и очень	1	1
357	к высшему	2	1
358	тогда это	1	1
359	о которой	1	1
360	в атмосфере	1	1
361	вместе с	18	1
362	все же	11	1
363	идет по	2	1
364	и вместе	2	1
365	и которые	5	1
366	переход к	1	1
367	как в	14	1
368	его миром	1	1
369	этого слова	13	1
370	не того	1	1
371	в которых	3	1
372	находится в	4	1
373	значение в	5	1
374	по законам	1	1
375	роль в	5	1
376	им в	3	1
377	можно ли	2	1
378	связанность и	1	1
379	бы ни	2	1
380	еще к	1	1
381	и по	5	1
382	их на	1	1
383	и могут	2	1
384	менее всего	2	1
385	и эта	4	1
386	к этому	5	1
387	в их	12	1
388	этой новой	1	1
389	с которым	2	1
390	который был	1	1
391	это в	1	1
392	что лишь	2	1
393	сравнению с	4	1
394	конце концов	1	1
395	зависимости от	7	1
396	истинные слова	1	1
397	в известном	6	1
398	к ее	1	1
399	таким же	4	1
400	себе и	2	1
401	не просто	3	1
402	он был	1	1
403	не случайно	1	1
404	по иным	1	1
405	в целом	22	1
406	на внешнем	1	1
407	жизни не	1	1
408	сделать это	1	1
409	и ее	1	1
410	вовсе не	5	1
411	что на	2	1
412	людей с	2	1
413	жизни с	1	1
414	это самое	1	1
415	есть не	1	1
416	мы указывали	3	1
417	бы это	1	1
418	бы в	5	1
419	времени по	1	1
420	к нему	1	1
421	освобождается от	1	1
422	а потом	2	1
