N	2gram	Vygotskiy_	FransuaR
1	и в	65	367
2	то есть	30	209
3	в этом	37	112
4	и не	20	101
5	таким образом	21	100
6	и его	8	99
7	в его	11	98
8	прежде всего	2	92
9	не только	16	87
10	мы уже	12	85
11	но и	6	84
12	как бы	29	82
13	все эти	7	79
14	вовсе не	11	77
15	в романе	2	77
16	как и	12	76
17	в нем	8	75
18	но в	5	75
19	и на	7	72
20	в том	46	71
21	как мы	12	71
22	то же	17	66
23	и все	14	66
24	в них	4	65
25	в этой	20	65
26	так и	3	65
27	и с	4	64
28	в сущности	16	64
29	в то	5	63
30	во время	4	63
31	во всех	4	62
32	все это	12	62
33	что в	36	52
34	в своем	8	51
35	только в	9	48
36	так как	13	46
37	и до	4	46
38	том что	28	45
39	уже говорили	4	44
40	то что	61	41
41	здесь в	4	41
42	у него	6	40
43	жизни и	6	40
44	в самом	41	38
45	точки зрения	19	37
46	в ней	23	37
47	с его	2	36
48	о том	17	35
49	он был	3	35
50	может быть	33	35
51	мы видим	15	35
52	сказать что	14	34
53	и даже	4	34
54	в себе	9	34
55	мы видели	7	32
56	в конце	5	32
57	он не	11	32
58	для него	4	32
59	до конца	5	31
60	в своей	6	31
61	так же	12	30
62	но он	5	30
63	один из	7	30
64	потому что	26	30
65	той же	6	30
66	и потому	1	30
67	никогда не	9	30
68	в одном	9	29
69	еще не	3	29
70	связи с	2	29
71	в этих	3	29
72	что он	23	29
73	не может	17	29
74	при этом	10	29
75	его в	5	29
76	не в	12	29
77	и к	5	28
78	из них	10	28
79	всех этих	2	28
80	также и	1	28
81	в той	8	28
82	в основе	5	28
83	и другие	3	27
84	сих пор	6	27
85	до сих	7	27
86	все же	10	27
87	по своему	6	27
88	роль в	2	27
89	и их	2	27
90	образов в	1	26
91	кроме того	2	26
92	в условиях	1	26
93	все они	3	26
94	на самом	3	25
95	но это	6	25
96	этот образ	1	24
97	он и	1	24
98	но не	3	24
99	например в	5	24
100	в ее	9	24
101	и у	1	24
102	и от	1	24
103	как в	8	24
104	того чтобы	21	24
105	в частности	3	24
106	отношение к	2	24
107	так сказать	6	23
108	и здесь	9	23
109	с ним	6	23
110	и для	4	23
111	в их	3	23
112	есть и	1	23
113	к нему	2	23
114	это не	7	23
115	еще и	2	23
116	даже в	2	22
117	не было	4	22
118	а в	9	22
119	тем что	7	22
120	что и	7	22
121	и других	5	22
122	там где	7	22
123	поэтому и	1	22
124	вместе с	10	22
125	и во	3	22
126	связь с	5	22
127	и о	6	22
128	в своих	6	21
129	именно в	3	21
130	в отношении	1	21
131	уже в	1	21
132	и как	10	21
133	есть в	3	21
134	в качестве	2	21
135	одним из	2	21
136	в себя	1	21
137	что это	19	21
138	ни в	6	21
139	и наконец	2	21
140	в виду	6	20
141	в связи	1	20
142	и это	13	20
143	этом отношении	1	20
144	с точки	11	20
145	как раз	14	20
146	а также	1	20
147	самом деле	33	20
148	во всем	2	19
149	их в	4	19
150	к этому	5	19
151	в эту	2	19
152	того же	4	19
153	за пределы	1	19
154	было бы	22	19
155	с ее	5	19
156	эпизод с	2	19
157	в дальнейшем	1	19
158	с другой	8	19
159	хотя и	1	19
160	в форме	1	19
161	далеко не	3	19
162	мы находим	1	18
163	со всеми	2	18
164	это и	4	18
165	здесь не	3	18
166	одна из	6	18
167	но они	2	18
168	превращается в	1	18
169	этих образов	1	18
170	на этом	6	18
171	перед нами	12	18
172	это в	3	18
173	и смерти	3	17
174	для того	18	17
175	конечно не	6	17
176	в результате	3	17
177	можно было	7	17
178	своего времени	1	17
179	на его	2	17
180	в плане	4	17
181	такой же	2	17
182	еще более	2	17
183	но все	2	17
184	связана с	1	17
