N	2gram	Vygotskiy_	Marksizm
1	чужой речи	1	85
2	точки зрения	39	69
3	может быть	20	64
4	и в	47	63
5	и не	27	55
6	как бы	13	53
7	не может	23	47
8	с точки	31	46
9	и пр	1	42
10	и его	14	41
11	в этом	47	39
12	таким образом	38	38
13	в процессе	12	33
14	как мы	24	32
15	языка и	6	31
16	в пределах	3	31
17	лишь в	3	30
18	не только	36	29
19	речи в	31	29
20	то же	16	28
21	в нем	6	28
22	языка как	1	27
23	но и	19	27
24	связи с	4	25
25	речи и	36	25
26	самом деле	6	25
27	в самом	15	24
28	как и	19	24
29	прежде всего	9	24
30	только в	24	23
31	так и	8	23
32	в том	38	22
33	то что	40	22
34	а не	7	22
35	при этом	4	20
36	так сказать	1	20
37	для него	6	20
38	если мы	6	20
39	не в	7	19
40	если бы	8	19
41	том что	28	19
42	в его	7	19
43	языка в	2	18
44	в ее	7	18
45	внутренней речи	78	18
46	в слове	11	18
47	и для	5	18
48	но в	9	18
49	вовсе не	3	18
50	все же	7	17
51	в сущности	16	17
52	по отношению	10	16
53	речь в	8	16
54	слова и	10	16
55	и как	7	16
56	в то	10	16
57	с помощью	18	15
58	во всех	9	15
59	в связи	1	15
60	отнюдь не	2	15
61	что он	13	15
62	же время	1	15
63	отношению к	9	15
64	язык как	1	14
65	в данном	7	14
66	в смысле	9	14
67	в своей	4	13
68	так же	26	13
69	речи мы	7	13
70	в направлении	6	13
71	что в	23	13
72	и здесь	5	13
73	не является	4	13
74	того чтобы	26	13
75	было бы	12	13
76	ничего не	2	13
77	мы не	10	13
78	слова в	7	13
79	для того	24	12
80	того же	7	12
81	в результате	3	12
82	выражение в	6	12
83	между тем	2	12
84	он не	5	12
85	в основе	5	12
86	высшей степени	1	12
87	является не	4	12
88	а в	3	12
89	в высшей	3	12
90	и того	3	11
91	к нему	5	11
92	мы уже	5	11
93	и что	14	11
94	и от	6	11
95	в немецком	1	11
96	слова как	5	11
97	до сих	6	11
98	и на	4	11
99	и все	5	11
100	как в	7	11
101	еще не	5	11
102	друг друга	9	11
103	так как	25	11
104	на самом	3	11
105	все эти	7	11
106	в ней	5	11
107	сих пор	6	11
108	именно в	9	10
109	во всяком	2	10
110	самого начала	13	10
111	с другой	7	10
112	сказать что	18	10
113	к этому	2	10
114	никогда не	7	10
115	в своем	3	10
116	его в	7	10
117	в таком	2	10
118	одна из	2	10
119	в каждом	3	10
120	в основном	4	10
121	здесь мы	2	10
122	в большинстве	2	10
123	совершенно не	2	10
124	конечно не	2	10
125	в отличие	4	10
126	с его	1	10
127	здесь в	2	10
128	и потому	3	10
129	с самого	13	10
130	отличие от	4	10
131	более того	2	10
132	к тому	13	9
133	одного и	3	9
134	только на	5	9
135	в нашем	6	9
136	точка зрения	2	9
137	в себе	14	9
138	большинстве случаев	2	9
139	рядом с	2	9
140	и следовательно	8	9
141	и это	2	9
142	немецком языке	1	9
143	а как	1	9
144	мы видели	10	9
145	что это	7	9
146	ни в	3	9
147	не имеет	6	9
148	и более	2	9
149	отношении к	4	9
150	это не	6	9
151	в истории	1	9
152	о языке	1	9
153	одной из	4	9
154	внутренняя речь	17	9
155	же самое	12	9
156	кроме того	1	8
157	мысли и	13	8
158	не как	1	8
159	другой стороны	3	8
160	но что	2	8
161	и даже	3	8
162	и с	5	8
163	на этой	7	8
164	направлении к	3	8
165	настоящее время	1	8
166	в данной	1	8
167	мы знаем	5	8
168	что и	4	8
169	у него	2	8
170	не было	1	8
171	что не	2	8
172	тому что	14	8
173	ясно что	4	8
174	мы можем	7	8
175	в форме	1	8
176	за пределы	2	8
177	столь же	2	8
178	в отношении	9	8
179	слове и	1	8
180	в каком	2	8
181	к другому	5	8
182	перед нами	3	8
183	чем же	1	8
184	в свою	3	8
185	этого слова	5	8
186	в настоящее	1	8
187	с этим	5	8
188	у нас	3	8
189	смысле этого	4	8
190	в их	4	8
191	и их	7	8
192	и т.д	4	8
193	и ее	3	8
194	речь и	5	8
195	или иной	2	8
196	на то	5	8
197	в этих	2	7
