N	4gram	Bakhtin_Fr	Dialekti
1	в то же время	5	14
2	одна и та же	1	8
3	и в то же	2	6
4	одной и той же	1	5
5	ни на что не	2	4
6	на самом же деле	3	3
7	мы можем сказать что	1	3
8	но в то же	2	3
9	и ни на что	2	2
10	что с точки зрения	1	2
11	дело в том что	2	2
12	как мы уже сказали	4	1
13	и до сих пор	1	1
14	он дает в сущности	1	1
15	но как раз в	1	1
16	все более и более	1	1
17	нет никого кто бы	1	1
18	содержит в себе и	2	1
19	конечно с точки зрения	1	1
20	мы имеем в виду	1	1
21	в мифологии и в	1	1
22	беда в том что	1	1
23	и в том что	2	1
24	он находит его в	1	1
25	в собственном смысле мы	1	1
26	без этого нет и	1	1
27	в основе ее лежит	1	1
28	из потока становления и	1	1
29	и не может быть	2	1
30	я имею в виду	1	1
31	видеть в нем только	2	1
32	не чем иным как	1	1
33	это как мы уже	1	1
34	в пределах одной и	1	1
35	в том что он	1	1
36	то что мы называем	1	1
37	но дело в том	1	1
38	и пр и пр	1	1
39	пределах одной и той	1	1
