N	2gram	Berdyaev_O	ViktorSh
1	в конце	1	2
2	и в	19	2
3	в том	5	2
4	том что	2	2
5	в другом	2	1
6	все время	1	1
7	но это	1	1
8	ведь это	2	1
9	связанным с	1	1
10	в самом	5	1
11	не одно	1	1
12	ни к	1	1
13	самом деле	1	1
14	другом месте	1	1
15	речи и	1	1
16	жизнь их	1	1
17	в частности	1	1
18	и то	2	1
19	и заключается	1	1
20	и его	4	1
21	связаны и	1	1
22	к чему	1	1
23	под влиянием	1	1
24	хотя бы	3	1
25	к этому	2	1
26	потому что	9	1
27	чего не	1	1
28	и не	13	1
29	дело в	1	1
30	да и	1	1
31	в этом	12	1
32	так как	2	1
33	все это	6	1
