N	2gram	Medvedev_F	Komedia
1	и в	54	77
2	и не	34	47
3	в том	17	44
4	том что	3	42
5	о том	1	33
6	т е	50	33
7	в г	1	33
8	едва ли	3	32
9	но и	18	32
10	может быть	30	30
11	из них	5	29
12	таким образом	28	29
13	в то	14	28
14	и его	27	28
15	в этом	39	27
16	потому что	2	27
17	что он	8	26
18	к тому	6	26
19	не только	14	25
20	вместе с	8	25
21	так как	4	24
22	как и	18	23
23	ни в	3	23
24	что в	10	23
25	в самом	17	22
26	что и	10	22
27	если бы	8	22
28	то же	16	21
29	ясно что	3	21
30	в конце	2	21
31	так и	24	21
32	а в	11	21
33	в его	30	20
34	к этому	3	19
35	со стороны	7	19
36	в этой	10	18
37	тем что	6	17
38	же время	13	17
39	в нем	25	17
40	и здесь	8	17
41	и т	22	17
42	еще не	6	17
43	при этом	14	16
44	все же	8	16
45	не менее	12	16
46	у него	1	16
47	сих пор	7	16
48	он не	8	16
49	и сам	1	16
50	до сих	7	16
51	не в	16	15
52	в своем	12	15
53	точки зрения	21	15
54	его в	5	15
55	в которой	5	15
56	на себя	1	15
57	между тем	4	15
58	один из	4	15
59	и на	10	15
60	было бы	10	15
61	прежде всего	34	15
62	и с	17	14
63	столь же	2	14
64	к нему	3	14
65	в свою	8	14
66	все это	11	14
67	ли не	1	14
68	только что	1	13
69	самом деле	12	13
70	в них	4	13
71	в одном	2	13
72	того же	1	13
73	как раз	8	13
74	в двух	1	13
75	так что	2	13
76	то что	14	13
77	того чтобы	4	13
78	но в	9	13
79	в котором	2	12
80	для того	3	12
81	так же	5	12
82	с другой	8	12
83	несмотря на	2	12
84	хотя и	3	12
85	в качестве	2	12
86	как это	8	12
87	т п	11	12
88	из которых	1	12
89	как в	12	12
90	уже в	1	12
91	в истории	10	12
92	не по	4	12
93	не может	26	12
94	но не	5	12
95	и даже	7	11
96	с тем	11	11
97	по отношению	4	11
98	наряду с	1	11
99	что его	1	11
100	с ним	3	11
101	должны были	1	11
102	как мы	10	11
103	на этот	1	11
104	и для	5	11
105	в их	16	11
106	в частности	4	11
107	к ней	3	11
108	одного из	4	11
109	с этим	6	10
110	он был	1	10
111	свою очередь	6	10
112	на него	3	10
113	с одной	5	10
114	в чем	2	10
115	как бы	10	10
116	и что	2	10
117	в отношении	3	10
118	и все	9	10
119	одной из	2	10
120	с его	12	10
121	ничего не	5	10
122	мы не	6	10
123	г и	1	10
124	на его	2	10
125	тем более	1	10
126	что касается	1	10
127	еще в	2	10
128	отношение к	4	10
129	же в	4	10
130	в целом	7	10
131	но все	4	9
132	в своей	16	9
133	одной стороны	5	9
134	говорить о	4	9
135	и еще	1	9
136	тому что	3	9
137	только в	6	9
138	друг друга	4	9
139	в тех	1	9
140	даже не	2	9
141	о его	1	9
142	и по	3	9
143	независимо от	5	9
144	из его	2	9
145	в образе	1	9
146	а также	1	9
147	вовсе не	18	9
148	отличие от	2	9
149	в ней	15	9
150	и особенно	3	9
