N	2gram	Savitsky_E	ViktorSh
1	и в	37	2
2	в том	11	2
3	том что	6	2
4	но это	1	1
5	столь же	5	1
6	том же	1	1
7	отказались от	1	1
8	главным образом	2	1
9	в самом	4	1
10	как же	2	1
11	более к	2	1
12	чем больше	2	1
13	образом из	1	1
14	для них	2	1
15	говорили в	1	1
16	от других	1	1
17	именно в	4	1
18	этому и	1	1
19	жизни которое	1	1
20	имеется в	1	1
21	более чем	2	1
22	с большой	2	1
23	в частности	5	1
24	же все	1	1
25	и то	2	1
26	к созданию	1	1
27	техники и	4	1
28	время в	3	1
29	и его	1	1
30	сводится к	1	1
31	даже не	1	1
32	значительной степени	1	1
33	хотя бы	15	1
34	сказать чтобы	1	1
35	далеко не	2	1
36	тем более	4	1
37	в которых	3	1
38	которые они	2	1
39	только в	9	1
40	потому что	3	1
41	в значительной	2	1
42	в их	11	1
43	и только	3	1
44	то же	15	1
45	по своим	3	1
46	и не	14	1
47	гораздо более	1	1
48	дело в	3	1
49	в этом	12	1
50	так как	7	1
