N	4gram	Losev_Vesc	Analitik
1	в то же время	4	14
2	не что иное как	12	6
3	одного и того же	1	6
4	есть не что иное	8	5
5	в том что он	2	4
6	по крайней мере в	2	3
7	дело в том что	4	3
8	мы имеем дело не	2	3
9	бы то ни было	12	3
10	с этой точки зрения	3	2
11	в то же самое	1	2
12	ни в коем случае	1	2
13	то же самое время	1	2
14	один и тот же	1	2
15	какой бы то ни	1	2
16	заключается в том что	2	2
17	имеем дело не с	2	2
18	в коем случае не	1	2
19	одно и то же	5	2
20	но в то же	1	2
21	из того что в	1	2
22	не есть она сама	2	1
23	относится не только к	1	1
24	и в самом деле	1	1
25	ни то ни другое	1	1
26	отнюдь не предполагает что	1	1
27	в том смысле что	1	1
28	еще ничего не говорит	1	1
29	и есть не что	3	1
30	в качестве одного из	1	1
31	подобно тому как мы	1	1
32	я в свою очередь	1	1
33	то зачем же нам	1	1
34	а в том что	1	1
35	на самом же деле	1	1
36	не может быть ни	3	1
37	свидетельствует о том что	3	1
38	то что не есть	2	1
39	и вместе с тем	1	1
40	никак не может быть	1	1
41	в свое время была	2	1
42	чего бы то ни	2	1
43	только в том что	1	1
44	коем случае не есть	1	1
45	в самом деле не	1	1
46	том что он не	1	1
47	и потому оно есть	1	1
48	с самим собою в	1	1
49	с тех пор как	1	1
50	в самом деле в	1	1
51	ничего не говорит о	1	1
52	принципиально не может быть	1	1
53	и та и другая	1	1
54	ни на что не	1	1
55	как это было в	1	1
56	в силу тех или	1	1
57	уже по одному этому	1	1
