N	3gram	Bakhtin_sl	PoTuStor
1	с точки зрения	11	6
2	с самого начала	1	4
3	до сих пор	4	3
4	не может быть	11	3
5	в большинстве случаев	11	3
6	в чем не	1	3
7	по крайней мере	1	3
8	во всяком случае	7	3
9	можно сказать что	1	3
10	ни в чем	1	3
11	мы можем сказать	1	2
12	все то что	1	2
13	и может быть	1	2
14	по аналогии с	1	2
15	во всех его	8	2
16	о том что	2	2
17	не могут быть	3	2
18	в его целом	1	2
19	связанных с ними	1	2
20	и в этом	2	2
21	со всех сторон	1	1
22	он может быть	1	1
23	так и в	5	1
24	и на своем	1	1
25	в том что	4	1
26	друг с другом	2	1
27	и связанных с	2	1
28	своем месте и	1	1
29	мы не можем	1	1
30	и столь же	1	1
31	рано или поздно	2	1
32	вступают в борьбу	1	1
33	его моментах в	1	1
34	дело в том	1	1
35	всех областях идеологического	1	1
36	оно ни было	1	1
37	только для сознания	1	1
38	той или иной	13	1
39	вместе с ним	1	1
40	мира и общества	1	1
41	всех его моментах	4	1
42	как мы сказали	6	1
43	всех его многообразных	2	1
44	областях идеологического творчества	1	1
45	в применении к	1	1
46	в известной степени	3	1
47	можно было бы	2	1
48	приемов могут быть	1	1
49	каждого из этих	1	1
50	только одна из	1	1
51	и прежде всего	1	1
52	в данном случае	3	1
53	мы имеем в	1	1
54	лишь абстрактный момент	1	1
55	снова и снова	1	1
56	как это было	1	1
57	и как мы	1	1
58	только в одном	1	1
59	и связанная с	2	1
60	со всеми его	1	1
61	всяком случае не	1	1
62	то ни было	1	1
63	имеем в виду	1	1
64	с ним и	1	1
65	а иногда и	1	1
66	этой точки зрения	1	1
67	и др и	2	1
68	в свое время	1	1
69	мы увидим что	1	1
70	на своем месте	1	1
71	с этой точки	1	1
72	и др но	1	1
73	его отношение к	1	1
74	форма и содержание	1	1
75	в каком направлении	1	1
76	как один из	1	1
77	может быть очень	2	1
78	для того чтобы	1	1
79	мы еще не	1	1
80	в нем и	1	1
81	с одной стороны	7	1
82	на первый план	1	1
83	и борьба с	1	1
84	все снова и	1	1
85	в этом отношении	2	1
86	или во всяком	2	1
87	целиком во всех	1	1
88	бы оно ни	1	1
89	и в тесной	1	1
90	в них и	1	1
91	во всех областях	4	1
92	бы то ни	1	1
93	в основе их	2	1
94	в этих областях	1	1
95	но этим не	1	1
96	и связанные с	2	1
97	таким образом с	1	1
98	свой смысл и	1	1
99	смысл и значение	1	1
100	может быть при	1	1
101	несколько слов о	2	1
102	в связи с	2	1
103	может быть только	3	1
