N	4gram	Voloshinov	Psycholo
1	одной и той же	4	12
2	одно и то же	5	7
3	не что иное как	2	6
4	все больше и больше	2	5
5	одним и тем же	1	4
6	в зависимости от того	2	4
7	одного и того же	1	4
8	в собственном смысле слова	1	4
9	то же самое и	1	4
10	точном смысле этого слова	2	4
11	одна и та же	1	4
12	мы никогда не найдем	1	3
13	в то же время	7	3
14	мысль о том что	1	3
15	одни и те же	2	3
16	приходится иметь дело с	1	3
17	само по себе не	1	2
18	в точном смысле этого	2	2
19	в одной и той	1	2
20	то для того чтобы	1	2
21	о котором мы говорили	1	2
22	убедиться в том что	1	2
23	вместе с тем и	2	2
24	и не может быть	1	2
25	и для того чтобы	2	2
26	и то же событие	1	2
27	но вместе с тем	1	2
28	мы никогда не сумеем	2	2
29	ни на минуту не	1	2
30	есть не что иное	2	2
31	с нашей точки зрения	1	1
32	от тех или иных	1	1
33	в жизни и в	1	1
34	в той же мере	1	1
35	и т.д что же	1	1
36	в те времена когда	1	1
37	до того как перейти	1	1
38	в связи с этим	2	1
39	как мы увидим ниже	1	1
40	говорит один из героев	1	1
41	к одному и тому	1	1
42	которые в действительной жизни	1	1
43	котором мы говорили выше	1	1
44	все сильнее и сильнее	1	1
45	становится совершенно ясным что	1	1
46	того или иного решения	1	1
47	одному и тому же	1	1
48	о том что такое	1	1
49	в таких словах как	1	1
50	связь между языком и	1	1
51	как говорит один из	1	1
52	но для того чтобы	2	1
53	которые с точки зрения	1	1
54	мы видим что и	1	1
55	и то же слово	2	1
56	мы должны были бы	1	1
57	при этом не только	1	1
58	при этом мы условно	1	1
59	если мы будем говорить	1	1
60	это только одна из	1	1
61	ни к чему не	2	1
62	одном и том же	2	1
63	том и другом случае	1	1
64	в том и другом	1	1
65	и не было бы	1	1
66	только благодаря тому что	1	1
67	того как перейти к	1	1
68	при этом она приобретает	1	1
69	то же самое происходит	1	1
70	одну и ту же	2	1
71	всегда несет в себе	1	1
72	что у нас не	1	1
