N	2gram	Losev_Prob	Morfolog
1	и т	20	62
2	может быть	39	61
3	т д	20	60
4	таким образом	13	26
5	т е	1	25
6	могут быть	2	21
7	так как	14	20
8	мы имеем	7	19
9	не может	14	19
10	в этом	25	18
11	в этих	6	17
12	и в	62	17
13	и не	56	16
14	мы видим	1	15
15	этих случаях	1	15
16	перед нами	8	14
17	с этим	5	14
18	прежде всего	13	14
19	по существу	2	13
20	при помощи	13	12
21	связи с	10	12
22	и др	1	12
23	а не	28	11
24	заметить что	2	11
25	что в	11	10
26	то же	23	10
27	вопрос о	2	10
28	не всегда	1	10
29	но если	12	10
30	этом случае	8	10
31	в том	35	10
32	так и	16	10
33	что и	11	10
34	в связи	9	10
35	то что	42	10
36	все же	10	9
37	с другой	14	9
38	но и	20	9
39	не только	33	8
40	в результате	8	8
41	имеем в	4	8
42	мы не	15	8
43	в качестве	10	8
44	но не	6	8
45	представляет собою	2	8
46	в тех	3	8
47	а в	9	8
48	как мы	12	8
49	нет необходимости	1	7
50	во втором	1	7
51	и здесь	8	7
52	если в	1	7
53	не могут	1	7
54	не менее	24	7
55	том что	25	7
56	потому что	40	7
57	точки зрения	14	7
58	как это	4	7
59	тем не	23	7
60	а также	6	7
61	и другие	4	6
62	подобно тому	3	6
63	о том	14	6
64	большей частью	1	6
65	как бы	11	6
66	не все	1	6
67	но это	13	6
68	это не	10	6
69	с точки	9	6
70	в образе	1	6
71	в нашем	13	6
72	или в	7	6
73	и как	4	6
74	вовсе не	62	6
75	во всех	4	6
76	если мы	24	6
77	также и	22	6
78	во время	3	6
79	героя в	2	5
80	из которых	6	5
81	другой стороны	11	5
82	в первом	1	5
83	что он	16	5
84	как в	10	5
85	видно что	1	5
86	то это	13	5
87	хотя бы	6	5
88	было бы	14	5
89	к тому	4	5
90	ничего не	4	5
91	что они	8	5
92	не будем	4	5
93	хотя и	9	5
94	то мы	3	5
95	тому что	5	5
96	учение о	3	5
97	ясно что	11	5
98	все эти	14	5
99	между собой	3	5
100	на его	1	5
101	то можно	1	5
102	об этом	7	5
103	в других	2	5
104	там где	1	5
105	мы можем	11	5
106	тому как	2	5
107	здесь можно	1	5
108	он не	10	5
109	если же	4	5
110	далеко не	1	5
111	в целом	9	5
