N	3gram	Vygotskiy_	Tragedij
1	то же время	1	5
2	в то же	1	5
3	в том что	30	2
4	и как бы	4	2
5	и в частности	2	2
6	в данном случае	3	2
7	о том что	15	2
8	и в самом	3	2
9	в отличие от	3	2
10	сам по себе	4	1
11	эти образы и	1	1
12	что при таком	1	1
13	но это глубоко	1	1
14	на русский язык	1	1
15	том что он	4	1
16	не только о	1	1
17	своего отца он	1	1
18	что он не	3	1
19	бы и не	1	1
20	а между тем	1	1
21	на всем протяжении	1	1
22	за то что	3	1
23	на деле же	1	1
24	и при этом	1	1
25	смысле этого слова	1	1
26	в конце концов	6	1
27	это как бы	1	1
28	могут быть отнесены	1	1
29	она все же	1	1
30	он впадает в	1	1
31	но несмотря на	1	1
32	никогда не был	1	1
33	наслаждение ею было	1	1
34	мысль о том	1	1
35	с тем и	1	1
36	вместо того чтобы	1	1
37	в применении к	1	1
38	то что он	5	1
39	но еще раз	1	1
40	не может быть	4	1
41	и т п	5	1
42	она как бы	1	1
43	в этом случае	2	1
44	и потому как	1	1
45	во всем его	1	1
46	по сравнению с	4	1
47	а стало быть	1	1
48	с самого начала	5	1
49	и то что	4	1
50	не только не	4	1
51	у него нет	1	1
52	не могут быть	1	1
53	как бы нарочно	1	1
54	в высшей степени	1	1
55	с потрясающей силой	1	1
56	его дочь и	1	1
57	и все же	1	1
58	может быть в	1	1
59	в самом деле	8	1
60	мы начинаем ощущать	1	1
61	возьмем ли мы	1	1
62	во всяком случае	1	1
63	к тому что	8	1
64	факт что в	1	1
65	что все это	1	1
66	в борьбе за	1	1
67	с такой силой	2	1
68	это и есть	1	1
69	быть отнесены к	1	1
70	после того как	1	1
71	все же не	1	1
72	и в этом	2	1
