N	3gram	Tiupa_Hudo	EvropaiE
1	с точки зрения	3	16
2	в то же	7	15
3	то же время	7	14
4	в отношении к	2	12
5	и в то	2	8
6	с одной стороны	3	8
7	в том что	8	6
8	одной стороны и	1	6
9	так же как	1	5
10	этой точки зрения	2	5
11	для того чтобы	5	5
12	с этой точки	2	5
13	того или иного	4	4
14	той или иной	5	4
15	то ни было	2	4
16	бы то ни	2	4
17	в той или	2	3
18	в известной степени	1	3
19	их отношении к	1	3
20	в этом смысле	3	3
21	заключает в себе	1	3
22	ту или иную	2	3
23	можно сказать что	3	3
24	и прежде всего	2	3
25	в известном смысле	2	3
26	в их отношении	1	3
27	а тем более	1	2
28	и в частности	1	2
29	прежде всего к	1	2
30	но в то	1	2
31	не может быть	4	2
32	прежде всего в	1	2
33	заключается в том	1	2
34	друг от друга	1	2
35	в свою очередь	2	2
36	с другой стороны	6	2
37	не более чем	1	2
38	из того что	1	2
39	в частности в	1	2
40	заключающее в себе	1	1
41	в противном случае	2	1
42	в одной из	1	1
43	в том случае	1	1
44	то что может	1	1
45	именно потому что	1	1
46	в другой своей	1	1
47	и не быть	1	1
48	то есть в	1	1
49	и некоторые иные	2	1
50	речь идет о	1	1
51	в лучшем случае	1	1
52	не сводится к	9	1
53	то или иное	1	1
54	к тому что	2	1
55	том числе и	2	1
56	в полной мере	1	1
57	в этом мире	2	1
58	тех или иных	2	1
59	и тем более	1	1
60	и тем самым	1	1
61	в соответствии с	1	1
62	в отличие от	7	1
63	не только отдельные	1	1
64	в себе в	1	1
65	также и по	1	1
66	но не в	1	1
67	и того же	3	1
68	по большей части	2	1
69	не могут быть	1	1
70	они обращены к	1	1
71	в связи с	3	1
72	как это случается	1	1
73	том случае если	1	1
74	а также в	1	1
75	та или иная	1	1
76	в том числе	3	1
77	бы и на	1	1
78	он мог бы	1	1
79	связи с этим	1	1
80	существенное значение в	1	1
81	в то время	1	1
82	более или менее	6	1
83	принадлежат к числу	1	1
84	в значительной степени	2	1
85	как столь же	1	1
86	к тому же	1	1
87	одного и того	3	1
88	может быть и	2	1
