N	3gram	Losev_Prob	Sotsiolo
1	только в этом	2	2
2	в том что	7	2
3	но ведь это	1	2
4	в конце концов	11	2
5	и в то	1	1
6	в то же	4	1
7	друг от друга	1	1
8	ровно ничего не	1	1
9	а между тем	1	1
10	ни на что	1	1
11	что в них	1	1
12	сказать и о	3	1
13	дает нам право	1	1
14	выходит за пределы	1	1
15	с одной стороны	4	1
16	в связи с	7	1
17	то же самое	9	1
18	на первый план	3	1
19	то что в	4	1
20	по крайней мере	8	1
21	о том как	2	1
22	в этой области	5	1
23	только то что	6	1
24	ведь это же	1	1
25	сама по себе	6	1
26	может быть для	1	1
27	а с другой	1	1
28	это вовсе не	2	1
29	во всяком случае	11	1
30	а в том	1	1
31	вступает в свои	1	1
32	том что это	2	1
33	и в этом	5	1
34	и никак не	1	1
35	в свои права	1	1
36	в том и	1	1
37	не может не	1	1
38	как бы они	1	1
39	в настоящее время	17	1
40	не выходит за	1	1
41	что все это	1	1
42	не было бы	1	1
43	тем более не	1	1
