N	2gram	Vinokur_St	Tvorches
1	и в	61	56
2	как бы	8	41
3	в его	19	37
4	в романе	4	34
5	в то	10	30
6	то же	7	25
7	в году	3	24
8	не только	36	24
9	же время	5	24
10	но в	16	24
11	как и	11	23
12	то есть	2	23
13	и не	23	23
14	а в	18	23
15	и его	11	23
16	в этом	37	22
17	и т	36	22
18	что в	41	21
19	в том	56	21
20	он не	11	19
21	том что	49	19
22	может быть	16	19
23	потому что	13	19
24	у него	3	18
25	то что	27	18
26	таким образом	16	17
27	и на	7	17
28	что он	23	17
29	т д	25	17
30	все это	13	17
31	при этом	4	16
32	но и	28	16
33	никогда не	7	16
34	как в	15	16
35	в творчестве	1	16
36	прежде всего	11	16
37	не может	10	16
38	и с	6	15
39	xix века	2	15
40	но это	9	15
41	в этой	13	15
42	с его	3	15
43	и даже	8	14
44	это не	8	14
45	там же	1	13
46	о том	30	13
47	времени в	1	13
48	а не	19	13
49	в котором	11	12
50	тем самым	2	12
51	в целом	5	12
52	в своей	12	11
53	все же	12	11
54	для него	10	11
55	в самом	14	10
56	представление о	5	10
57	он сам	1	10
58	в русской	4	10
59	не в	15	10
60	в конце	5	10
61	только в	11	10
62	когда он	1	10
63	уже в	3	10
64	так и	15	10
65	но не	5	10
66	как будто	5	10
67	в своих	2	9
68	первой части	2	9
69	а затем	1	9
70	по мнению	4	9
71	в изображении	1	9
72	и от	2	9
73	один из	1	9
74	в черновиках	1	9
75	в нем	9	9
76	во многом	3	9
77	даже в	5	8
78	в духе	2	8
79	именно в	8	8
80	в соответствии	1	8
81	не менее	8	8
82	так же	7	8
83	к этому	4	8
84	хотя и	4	8
85	одним из	2	8
86	вместе с	5	8
87	тогда как	1	8
88	соответствии с	1	8
89	одной из	4	8
90	еще не	4	8
91	в себе	3	8
92	так как	7	8
93	в их	3	8
94	н м	1	8
95	на его	2	8
96	об этом	9	8
97	вовсе не	24	8
98	в лице	1	8
99	в этих	5	7
100	и сам	4	7
101	года в	3	7
102	например в	8	7
103	уже не	1	7
104	казалось бы	1	7
105	за собой	1	7
106	что она	5	7
107	и он	2	7
108	в которой	13	7
109	в чем	4	7
110	не случайно	1	7
111	своего рода	7	7
112	самом деле	14	7
113	читателя в	1	7
114	в момент	1	6
115	еще более	5	6
116	в ф	1	6
117	не столько	6	6
118	и как	2	6
119	если он	1	6
120	на эту	5	6
