N	2gram	Propp_Isto	Narrotol
1	не только	28	62
2	и не	16	50
3	при этом	4	47
4	но и	24	45
5	а не	13	38
6	в качестве	4	35
7	в частности	6	31
8	может быть	22	30
9	и в	43	30
10	в том	13	29
11	в этом	25	28
12	тогда как	6	28
13	своего рода	1	28
14	том что	12	28
15	а в	13	27
16	такого рода	1	26
17	представляет собой	6	25
18	только в	8	25
19	состоит в	4	25
20	в данном	7	24
21	как и	9	24
22	не в	9	23
23	то что	20	23
24	в тексте	1	22
25	не может	8	20
26	в себе	2	17
27	данном случае	6	17
28	так и	6	17
29	а также	5	17
30	со стороны	3	16
31	в его	7	16
32	к тому	9	15
33	можно сказать	3	15
34	но в	15	15
35	в жизни	3	14
36	и его	10	14
37	то же	11	13
38	в своей	4	13
39	уже не	11	13
40	о том	4	13
41	в своем	2	13
42	у него	4	13
43	все же	13	12
44	сводится к	1	12
45	как в	6	12
46	перед нами	4	12
47	как бы	5	12
48	прежде всего	3	12
49	по отношению	2	11
50	об этом	8	11
51	к себе	3	11
52	хотя и	4	11
53	в мире	1	11
54	если бы	7	11
55	и тем	2	11
56	в этой	7	11
57	в нем	11	11
58	героя в	6	11
59	отношению к	2	11
60	один из	7	10
61	как правило	3	10
62	никогда не	9	10
63	тому же	4	10
64	точки зрения	3	10
65	между тем	2	10
66	как это	5	10
67	в то	2	10
68	и все	4	10
69	жизни и	2	10
70	с его	1	10
71	ничего не	12	10
72	того что	8	10
73	но не	10	10
74	в соответствии	1	9
75	как раз	1	9
76	тем не	6	9
77	столь же	1	9
78	отнюдь не	1	9
79	что в	29	9
80	с ним	1	9
81	что он	17	9
82	еще не	15	9
83	потому что	8	9
84	далеко не	3	9
85	и к	4	8
86	в самом	1	8
87	в таком	1	8
88	о чем	1	8
89	не менее	6	8
90	матери и	3	8
91	не мог	2	8
92	одна из	2	8
93	он не	11	8
94	и он	2	8
95	самом деле	1	8
96	мы имеем	24	8
97	соответствии с	1	8
98	и для	3	8
99	у нас	7	8
100	у нее	4	8
101	при всей	1	7
102	а во	1	7
103	в котором	5	7
104	с другой	10	7
105	в ее	1	7
106	на себя	5	7
107	в чем	4	7
108	в силу	2	7
109	и на	7	7
110	в форме	1	7
111	же в	6	7
112	в свою	5	7
113	это не	10	7
114	или в	14	7
115	также и	1	7
