N	3gram	Bakhtin_fo	Myshleni
1	в том что	4	133
2	с точки зрения	9	89
3	для того чтобы	11	78
4	по сравнению с	3	45
5	по отношению к	3	42
6	так же как	2	39
7	с одной стороны	3	39
8	с самого начала	3	36
9	друг с другом	5	35
10	то же самое	1	31
11	в этом отношении	5	30
12	в этом случае	1	27
13	вместе с тем	3	26
14	с другой стороны	1	26
15	о том что	2	25
16	не может быть	4	23
17	смысле этого слова	1	22
18	в то время	3	22
19	к тому что	1	22
20	в высшей степени	1	22
21	в зависимости от	1	22
22	можно сказать что	1	21
23	то время как	2	20
24	в самом деле	1	19
25	в отличие от	3	18
26	во всяком случае	1	18
27	до сих пор	4	17
28	и того же	6	17
29	этой точки зрения	1	17
30	как мы видели	1	17
31	в связи с	12	17
32	одного и того	6	17
33	же как и	2	17
34	с этой точки	1	16
35	в данном случае	2	15
36	друг от друга	2	14
37	мы уже говорили	6	14
38	между словом и	1	14
39	в свою очередь	1	14
40	к выводу что	1	14
41	это значит что	2	13
42	в другом месте	2	13
43	и то же	4	12
44	на первый план	2	12
45	одно и то	4	12
46	как мы уже	11	11
47	том что в	1	11
48	одной стороны и	2	10
49	том числе и	4	10
50	то что в	1	10
51	тот факт что	1	10
52	по своей природе	1	10
53	в самом начале	1	10
54	но вместе с	1	10
55	в том числе	7	10
56	друг на друга	4	10
57	сама по себе	1	9
58	мы видим в	1	9
59	как и в	3	9
60	с тем что	2	9
61	на самом деле	1	9
62	друг к другу	2	9
63	только в том	1	8
64	более и более	2	8
65	что в основе	1	8
66	той или иной	3	8
67	и речи в	1	8
68	связей и отношений	1	8
69	не могут быть	1	8
70	в том же	3	8
71	все более и	2	8
72	в основе этого	1	8
73	что и в	1	8
74	о том как	2	7
75	и вместе с	1	7
76	включает в себя	1	7
77	как раз в	4	7
78	с тем и	1	7
79	и тогда когда	1	6
80	совершенно так же	1	6
81	в этом и	1	6
82	и в частности	2	6
83	и том же	1	6
84	одном и том	1	6
85	все эти особенности	2	6
86	мы находим в	1	6
87	лежит в основе	2	6
88	все больше и	1	5
89	и как бы	2	5
90	есть прежде всего	1	5
91	приходит к выводу	1	5
92	как если бы	2	5
93	что в этом	1	5
94	но все же	3	5
95	больше и больше	1	5
96	связанных между собой	1	5
97	том что они	1	5
98	как мы увидим	2	5
99	прежде всего в	3	5
100	в той же	1	5
101	сами по себе	2	5
102	в конце концов	1	5
103	не может не	1	5
104	так как он	2	5
105	с другом в	1	5
106	и в этом	2	5
107	но он не	2	5
108	когда мы говорим	1	5
109	и ту же	1	5
110	в то же	10	5
