N	3gram	Voloshinov	NovoeSre
1	в высшей степени	5	6
2	не может быть	23	4
3	со всех сторон	2	3
4	подобно тому как	1	3
5	в наше время	1	3
6	лицом к лицу	1	3
7	вопрос о том	2	2
8	ни одна из	1	2
9	равно как и	1	2
10	и должно быть	1	2
11	так же как	2	2
12	в нем нет	4	2
13	в этом смысле	2	2
14	xix века и	1	2
15	значит что в	1	2
16	с одной стороны	2	2
17	с другой стороны	6	2
18	все эти формы	1	2
19	это не значит	1	2
20	быть не может	1	1
21	сами по себе	1	1
22	прежде всего как	1	1
23	в том что	9	1
24	в недрах этой	1	1
25	до сих пор	10	1
26	в политической жизни	1	1
27	не имеет никакой	1	1
28	и быть не	1	1
29	от того чтобы	1	1
30	в ней нет	1	1
31	нет уже никакой	1	1
32	вообще не существует	1	1
33	в зависимости от	2	1
34	истину или ложь	1	1
35	бы он и	1	1
36	том числе и	3	1
37	можно было бы	2	1
38	и не менее	1	1
39	не только в	2	1
40	но и в	3	1
41	в большинстве случаев	7	1
42	в отличие от	7	1
43	в значительной степени	3	1
44	не менее чем	1	1
45	в социальной жизни	1	1
46	есть прежде всего	2	1
47	ней нет ничего	1	1
48	бытия в этом	1	1
49	о том что	2	1
50	и к новому	1	1
51	же как и	2	1
52	и того же	9	1
53	и пр в	4	1
54	не могут быть	3	1
55	добро и зло	1	1
56	выходит за пределы	1	1
57	в новое время	1	1
58	а не в	3	1
59	как и в	1	1
60	и не в	3	1
61	не имеют никакого	1	1
62	во всяком случае	4	1
63	для себя и	1	1
64	в том числе	3	1
65	к вопросу о	1	1
66	совершенно так же	1	1
67	конечно не в	1	1
68	это не есть	1	1
69	это значит что	1	1
70	а не к	2	1
71	это и есть	2	1
72	по природе своей	1	1
73	и в большинстве	1	1
74	оно должно идти	1	1
75	и не может	11	1
76	одного и того	9	1
77	к жизни и	1	1
78	может быть только	1	1
