N	3gram	Vygotskiy_	Problema
1	тем не менее	6	56
2	о том что	9	39
3	в том что	21	37
4	и т д	10	33
5	то же самое	8	30
6	вовсе не есть	1	30
7	в настоящее время	2	30
8	в связи с	2	29
9	в данном случае	1	28
10	по крайней мере	1	26
11	во всяком случае	7	25
12	с другой стороны	7	25
13	с точки зрения	12	25
14	в таком случае	3	23
15	в конце концов	6	23
16	сам по себе	4	21
17	сама по себе	2	21
18	и то что	3	20
19	на то что	12	19
20	в этом смысле	3	19
21	ни в каком	1	18
22	для того чтобы	11	17
23	то есть в	2	17
24	в то же	2	17
25	точно так же	6	16
26	и тем не	2	15
27	то что мы	1	15
28	как будто бы	2	14
29	до сих пор	8	14
30	не что иное	2	14
31	что иное как	2	14
32	сами по себе	4	13
33	того или иного	1	13
34	на самом деле	6	13
35	можно было бы	2	13
36	не может быть	14	12
37	и в частности	2	12
38	и в этом	1	12
39	можно сказать что	2	12
40	в то время	6	12
41	то время как	6	12
42	дело в том	1	11
43	тех или иных	2	11
44	есть не что	1	11
45	бы то ни	2	11
46	с одной стороны	6	11
47	по своему содержанию	1	10
48	не только не	4	10
49	вместе с тем	3	10
50	более или менее	3	10
51	только то что	2	10
52	не только в	1	10
53	по этому поводу	3	9
54	т д и	1	9
55	что же касается	1	9
56	никак не может	3	8
57	д и т	1	8
58	только в том	4	8
59	может быть только	1	8
60	потому что он	2	8
61	только тогда когда	4	8
62	заключается в том	13	8
63	о том как	1	7
64	а может быть	1	7
65	но в таком	1	7
66	когда мы говорим	1	7
67	к тому же	1	7
68	нам хотелось бы	1	7
69	те или иные	1	7
70	но и в	1	7
71	может быть даже	1	7
72	и если мы	2	7
73	то или иное	2	7
74	того же автора	1	7
75	с самого начала	1	7
76	в этой области	3	7
77	в том или	1	7
78	в значительной мере	1	7
79	так же и	1	7
80	хотя и не	2	7
81	это и есть	1	7
82	только потому что	2	7
83	для нас не	1	7
84	по себе но	1	6
85	в самом деле	13	6
86	и то же	1	6
87	так и в	2	6
88	это то что	1	6
89	не имеет никакого	1	6
90	ни в какой	3	6
91	то что в	1	6
92	в буквальном смысле	1	6
93	нет никакой возможности	1	6
94	крайней мере в	1	6
95	то есть не	1	6
96	и в других	1	6
97	то ни было	1	6
98	в том смысле	1	6
99	есть прежде всего	1	6
100	в этом отношении	7	6
101	само по себе	8	6
102	по себе а	3	5
103	в собственном смысле	3	5
104	указывает на то	4	5
105	только о том	2	5
106	на этот раз	1	5
107	это и не	1	5
108	так же как	8	5
109	та или иная	1	5
110	в том виде	2	5
111	том смысле что	1	5
112	с первого взгляда	1	5
113	того или другого	1	5
114	в том числе	1	5
115	мы могли бы	1	5
116	только при помощи	2	5
117	в зависимости от	6	5
118	потому что оно	1	5
119	по себе и	1	5
120	том виде как	1	5
121	а вовсе не	1	5
122	в какой мере	3	5
123	том или ином	1	5
124	какой мере не	1	5
125	одно и то	1	5
126	том что он	2	5
127	же как и	2	5
128	у нас в	1	4
129	если мы скажем	1	4
130	дело не в	1	4
131	в коем случае	1	4
132	друг от друга	1	4
133	связи с этим	1	4
134	том числе и	1	4
135	и вместе с	1	4
136	в одном случае	1	4
137	мы имеем дело	1	4
138	то ни стало	1	4
139	и тем же	1	4
140	мы скажем что	1	4
141	в том чтобы	9	4
142	этой точки зрения	7	4
143	до тех пор	2	4
144	все же не	1	4
145	не было бы	3	4
146	у того же	1	4
147	слова то есть	2	4
148	вопрос о том	1	4
149	в другом случае	1	4
150	это было бы	1	4
151	собственном смысле слова	2	4
152	не значит что	1	4
153	во что бы	1	4
154	только при условии	1	4
155	именно потому что	2	4
156	ни в коем	1	4
157	а с другой	1	4
158	и во всяком	1	4
159	само собой разумеется	1	4
160	мы все же	1	4
161	в это время	1	4
162	ту или иную	1	4
163	не потому что	2	4
164	то есть как	2	4
165	и не было	1	4
166	именно то что	1	4
167	что бы то	1	4
168	одним и тем	1	4
169	подобно тому как	7	4
170	там и здесь	1	4
171	друг к другу	1	4
172	одной стороны и	1	3
173	то что он	1	3
174	в результате этого	1	3
175	бы не было	1	3
176	потому что она	2	3
177	то ясно что	1	3
178	мы никогда не	5	3
179	в отличие от	4	3
180	и того же	1	3
181	то что у	3	3
182	имел в виду	1	3
183	к тому что	2	3
184	не то что	1	3
185	и в искусстве	1	3
186	в тех случаях	1	3
187	то что и	2	3
188	в чем же	2	3
189	если бы не	1	3
190	что не только	1	3
191	как и в	5	3
192	здесь мы имеем	1	3
193	потому что все	2	3
194	мы вовсе не	1	3
195	что мы можем	1	3
196	сказать что здесь	1	3
197	с тем что	2	3
198	том что и	1	3
199	что и в	5	3
200	с этой точки	5	3
201	никак не могут	1	3
202	отнюдь не является	1	3
203	по сравнению с	3	3
204	несмотря на то	2	3
205	но это только	1	3
206	одного и того	1	3
207	случае не может	2	3
208	то что она	1	3
209	бросается в глаза	1	3
210	если бы мы	1	3
211	далеко не всякое	1	3
212	том что в	1	3
213	и никогда не	1	3
214	же самое можно	1	3
215	то или другое	1	3
216	в те времена	1	3
217	в виду и	1	3
218	в известном смысле	1	3
219	смысле слова то	1	3
220	и может быть	1	3
221	от того что	2	3
222	и не очень	1	3
223	к выводу что	2	3
224	то есть с	1	3
225	так как они	2	3
226	мы не знаем	1	3
227	и ничего не	1	3
228	теория искусства и	1	3
229	после того как	1	3
230	в сущности говоря	6	3
231	но то что	1	2
232	все больше и	2	2
233	и т п	23	2
234	или как говорят	1	2
235	если же мы	1	2
236	теории литературы и	1	2
237	то что обычно	1	2
238	таком случае не	1	2
239	а в том	2	2
240	в искусстве и	1	2
241	совершенно ясно что	16	2
242	сказать что в	3	2
243	что оно есть	1	2
244	между тем как	1	2
245	мы все время	1	2
246	точки зрения в	1	2
247	уже это одно	1	2
248	в последнее время	2	2
249	что в этом	3	2
250	не имеет никаких	1	2
251	мы не только	1	2
252	заключается не в	2	2
253	что она есть	1	2
254	в чем заключается	1	2
255	всего того что	1	2
256	т д все	1	2
257	только в очень	1	2
258	в сознании и	2	2
259	и до наших	1	2
260	до такой степени	1	2
261	и без всякого	1	2
262	один и тот	2	2
263	и что даже	2	2
264	все дело в	2	2
265	в ту или	1	2
266	ясно что в	1	2
267	того и другого	3	2
268	потому что мы	1	2
269	что он должен	1	2
270	таким образом в	2	2
271	столько же сколько	2	2
272	и для нас	1	2
273	и тем что	2	2
274	мы не можем	2	2
275	д все это	1	2
276	во всей его	1	2
277	и что в	2	2
278	искусства и не	1	2
279	выходит за пределы	2	2
280	при переходе от	1	2
281	не могли бы	1	2
282	что он не	1	2
283	может быть это	1	2
284	и тот же	2	2
285	а не только	1	2
286	больше и больше	2	2
287	кто иной как	1	2
288	в том же	1	2
289	что отнюдь не	1	2
290	так что он	1	2
291	и не имеет	1	2
292	заключается только в	2	2
