N	4gram	Nazirov_Tv	KulturaY
1	и тем не менее	1	7
2	в то же время	18	6
3	одного и того же	1	4
4	и т д и	1	4
5	т д и т	1	4
6	заключается в том что	1	4
7	не только потому что	1	3
8	д и т д	1	3
9	а с другой стороны	1	3
10	не что иное как	1	2
11	и в то же	2	2
12	о котором говорилось выше	1	1
13	не могут быть без	1	1
14	и т д такое	1	1
15	не так же ли	1	1
16	все более и более	1	1
17	в том что я	1	1
18	в данном случае гораздо	1	1
19	это еще не все	1	1
20	и т д в	1	1
21	дело в том что	4	1
22	и не может быть	2	1
23	в войне и мире	1	1
24	а вместе с тем	1	1
25	в своей известной статье	1	1
26	не будет потому что	1	1
27	и т п где	1	1
28	хотя бы и в	1	1
29	мы имеем в виду	1	1
30	как это имеет место	1	1
31	бы то ни было	1	1
32	в начале xix века	1	1
33	ответ на этот вопрос	1	1
34	в целом ряде случаев	1	1
35	и т д все	1	1
36	по крайней мере уже	1	1
37	т д все это	1	1
38	в своей известной книге	1	1
39	и т п эта	1	1
