N	4gram	Medvedev_V	Psycholo
1	в то время как	1	13
2	с этой точки зрения	1	10
3	одно и то же	1	7
4	в том случае если	1	7
5	только в том случае	1	6
6	так же как и	1	5
7	ни в какой мере	1	4
8	никогда не может быть	1	3
9	в то же время	5	3
10	это вовсе не значит	1	3
11	и вместе с тем	1	3
12	ответ на этот вопрос	1	3
13	в том смысле что	1	3
14	значит ли это что	1	3
15	вовсе не значит что	1	3
16	в том или ином	1	3
17	с его точки зрения	1	2
18	и т п все	1	2
19	может быть сведена к	1	2
20	что ни одна из	1	2
21	что для того чтобы	1	2
22	т п все это	1	2
23	которая не может быть	1	2
24	никак не могут быть	1	2
25	с другой стороны он	1	2
26	в том что оно	1	2
27	не может быть сведена	1	2
28	до сих пор не	1	2
29	только в том что	1	2
30	с одной стороны и	2	2
31	и не может быть	2	2
32	в какой мере не	1	2
33	есть в конечном счете	1	2
34	ни одна из них	1	2
35	но вместе с тем	1	2
36	приводит к тому что	2	2
37	не в том что	2	2
38	именно в том что	1	1
39	все те черты которые	1	1
40	с более или менее	2	1
41	для того чтобы понять	1	1
42	что в зависимости от	1	1
43	о том что мы	1	1
44	с другой стороны в	1	1
45	толстого в анне карениной	1	1
46	к тому же выводу	1	1
47	не могут быть отнесены	1	1
48	в искусстве и в	1	1
49	о том что и	1	1
50	что по этому поводу	1	1
51	и может быть даже	1	1
52	тому же выводу приходит	1	1
53	их в художественных образах	1	1
54	по одному тому что	2	1
55	из них не может	1	1
56	в светлое поле сознания	1	1
57	явлений и процессов в	1	1
58	может быть определена как	1	1
59	искусства до сих пор	1	1
60	от всех других видов	1	1
61	они не только не	1	1
62	в одном из писем	2	1
63	то это вовсе не	1	1
64	в том числе и	2	1
65	одном и том же	2	1
66	но то же самое	1	1
67	одна из них не	1	1
68	не могут быть сведены	1	1
69	дело не в том	1	1
70	одну и ту же	1	1
71	мы имеем дело с	1	1
72	что мы имеем дело	1	1
