N	3gram	Tiupa_Hudo	UchenyiS
1	в конечном счете	5	4
2	не может быть	4	4
3	то ни было	2	3
4	с другой стороны	6	3
5	бы то ни	2	3
6	в то же	7	3
7	то же время	7	3
8	в художественном произведении	1	2
9	в том что	8	2
10	в противном случае	2	2
11	в самом деле	2	2
12	не могут быть	1	2
13	тех или иных	2	2
14	и в частности	1	2
15	то же самое	1	2
16	по крайней мере	1	2
17	в этом смысле	3	2
18	и в этой	1	2
19	в эстетический объект	2	1
20	быть не может	1	1
21	и некоторыми другими	1	1
22	для него не	1	1
23	в первую очередь	1	1
24	говоря иначе в	1	1
25	имеем в виду	3	1
26	в широком и	1	1
27	так или иначе	4	1
28	эстетического объекта и	1	1
29	на первый взгляд	1	1
30	произведения искусства как	1	1
31	не входит в	1	1
32	но в то	1	1
33	научному анализу и	1	1
34	не только к	1	1
35	по себе еще	1	1
36	с одной стороны	3	1
37	можно сказать что	3	1
38	что такое искусство?	1	1
39	а не только	1	1
40	является одним из	1	1
41	этом смысле можно	1	1
42	искусства в его	1	1
43	и прежде всего	2	1
44	более или менее	6	1
45	и в то	2	1
46	входит в эстетический	1	1
47	мы имеем в	3	1
48	этого термина не	1	1
49	в отдельности и	1	1
50	в этом случае	1	1
51	том что она	1	1
52	при таком понимании	1	1
53	это было бы	1	1
54	в его эстетической	1	1
