N	2gram	Vinokur_St	VrazhdaK
1	в году	3	18
2	не только	36	9
3	в этом	37	8
4	и в	61	8
5	и что	8	8
6	что в	41	7
7	и все	3	7
8	но и	28	7
9	то что	27	7
10	года в	3	7
11	о нем	1	6
12	как и	11	6
13	и даже	8	6
14	и с	6	6
15	в романе	4	6
16	все же	12	6
17	в котором	11	6
18	в начале	5	6
19	в нем	9	6
20	но в	16	6
21	то же	7	5
22	у него	3	5
23	г а	1	5
24	в россии	7	5
25	и не	23	5
26	между тем	7	5
27	об этом	9	5
28	в письме	5	5
29	не было	7	5
30	же время	5	5
31	в то	10	5
32	это не	8	4
33	при этом	4	4
34	несмотря на	4	4
35	для нас	7	4
36	все это	13	4
37	в виду	6	4
38	в своих	2	4
39	что он	23	4
40	летом года	1	4
41	письме к	7	4
42	уже в	3	4
43	весной года	1	4
44	о том	30	4
45	может быть	16	4
46	в ней	9	4
47	целый ряд	3	4
48	в истории	5	4
49	как бы	8	4
50	так же	7	4
51	во многом	3	4
52	февраля года	1	4
53	он считал	1	4
54	что у	8	3
55	в его	19	3
56	в том	56	3
57	марта года	1	3
58	т е	21	3
59	года он	1	3
60	имел в	1	3
61	его в	4	3
62	раз в	4	3
63	связи с	3	3
64	но он	5	3
65	давно уже	3	3
66	я не	13	3
67	и как	2	3
68	далеко не	1	3
69	тем что	6	3
70	речь идет	6	3
71	в чем	4	3
72	и у	2	3
73	в черновиках	1	3
74	в русской	4	3
75	о себе	1	3
76	он был	5	3
77	эти слова	1	3
78	чтобы он	1	3
79	том что	49	3
80	он не	11	3
81	и уже	3	3
82	я хотел	1	3
83	в конце	5	3
84	и о	4	3
85	что есть	1	3
86	одним из	2	3
87	в своем	8	3
88	на то	5	3
89	с его	3	3
90	и его	11	3
91	к этому	4	3
92	который был	2	3
93	в январе	1	3
94	и во	3	3
95	в той	9	2
96	таким образом	16	2
97	начиная с	2	2
98	об их	1	2
99	и то	6	2
100	ответ на	4	2
101	и он	2	2
102	в момент	1	2
103	время и	1	2
104	это письмо	2	2
105	и далее	1	2
106	с точки	10	2
107	для него	10	2
108	его и	1	2
109	о чем	4	2
110	как раз	10	2
111	по мнению	4	2
112	нашего времени	1	2
113	о которой	3	2
114	в них	2	2
115	примечании к	1	2
116	а также	4	2
117	права на	1	2
118	россии в	1	2
119	же в	1	2
120	в среде	1	2
121	отношения к	2	2
122	ноября года	1	2
123	там же	1	2
124	их в	2	2
125	же как	5	2
126	в своей	12	2
127	вместе с	5	2
128	так в	1	2
129	в это	3	2
130	в известном	3	2
131	не менее	8	2
132	и это	4	2
133	центрального образа	1	2
134	в эту	3	2
135	и стал	1	2
136	в примечании	1	2
137	еще не	4	2
138	при создании	1	2
139	письмо к	1	2
140	но как	1	2
141	а с	6	2
142	это в	4	2
143	на основе	1	2
144	п в	4	2
145	очень хорошо	2	2
146	в письмах	2	2
147	в этой	13	2
148	что к	1	2
149	при помощи	4	2
150	тогда как	1	2
151	он писал	3	2
152	а в	18	2
153	на это	2	2
154	к ним	1	2
155	отношение к	3	2
156	в одну	1	2
157	уже не	1	2
158	из них	11	2
159	в себе	3	2
160	что я	3	2
161	с нею	3	2
162	в глазах	1	2
163	не может	10	2
164	место в	2	2
165	столь же	5	2
166	том же	3	2
167	точки зрения	16	2
168	тем более	4	2
169	одна из	1	2
170	в период	2	2
171	в роман	1	2
172	за год	1	2
173	он сам	1	2
174	эту сцену	1	2
175	но это	9	2
176	во время	5	2
177	не мог	3	2
178	а н	1	2
179	пришел к	1	2
180	никогда не	7	2
181	могли быть	1	2
182	которому в	1	1
183	в особенности	1	1
184	все в	2	1
185	к сожалению	4	1
186	на востоке	1	1
187	своего рода	7	1
188	в самом	14	1
189	были известны	1	1
190	то в	3	1
191	как к	3	1
192	для начала	1	1
193	связан с	3	1
194	за п	1	1
195	так и	15	1
196	что они	9	1
197	в свое	3	1
198	все что	1	1
199	в разгар	1	1
200	которой обычно	1	1
201	быть иначе	2	1
202	до сих	13	1
203	сказал что	1	1
204	один из	1	1
205	еще раз	1	1
206	можно говорить	1	1
207	и этот	1	1
208	которым он	1	1
209	этого в	1	1
210	личные симпатии	1	1
211	из которых	1	1
212	девочке но	1	1
213	для русской	2	1
214	ближе к	1	1
215	они не	2	1
216	был очень	1	1
217	ни с	3	1
218	один пример	1	1
219	если в	2	1
220	м н	1	1
221	лет назад	2	1
222	того как	8	1
223	к этой	1	1
224	второй половине	1	1
225	которой не	1	1
226	за исключением	1	1
227	еще до	4	1
228	сколько в	2	1
229	чем все	1	1
230	в литературной	1	1
231	героя в	1	1
232	не будем	1	1
233	с очень	1	1
234	не хотел	2	1
235	о появлении	1	1
236	еще более	5	1
237	первой публикации	1	1
238	к брату	1	1
239	от которого	2	1
240	из всех	1	1
241	что это	5	1
242	обычно не	1	1
243	хотя и	4	1
244	а это	1	1
245	романа и	1	1
246	одному из	1	1
247	с тех	1	1
248	воспоминания о	1	1
249	он и	1	1
250	романа в	1	1
251	и из	1	1
252	в ее	6	1
253	целого ряда	2	1
254	легенду о	1	1
255	только не	2	1
256	того что	14	1
257	в комментариях	1	1
258	с просьбой	1	1
259	в другой	1	1
260	говорит о	5	1
261	было время	1	1
262	чем у	2	1
263	по праву	1	1
264	не страшен	1	1
265	действительно можно	1	1
266	продолжал считать	1	1
267	в качестве	7	1
268	в поэме	3	1
269	него в	1	1
270	не являются	3	1
271	не хочет	2	1
272	прежде всего	11	1
273	далее в	4	1
274	это слово	6	1
275	другой стороны	9	1
276	иными словами	1	1
277	писал м	1	1
278	был знаком	1	1
279	этого издания	8	1
280	в этих	5	1
281	но на	2	1
282	период работы	1	1
283	он лишь	1	1
284	за это	1	1
285	так не	1	1
286	в их	3	1
287	мы находим	4	1
288	на мое	1	1
289	что слово	1	1
290	тому же	2	1
291	мнение о	2	1
292	есть еще	1	1
293	за что	4	1
294	но с	7	1
295	открытий в	1	1
296	первая часть	1	1
297	без всяких	2	1
298	а между	2	1
299	он уже	1	1
300	что ни	2	1
301	в духе	2	1
302	конечно в	1	1
303	а за	1	1
304	то было	1	1
305	мнение было	1	1
306	из двух	3	1
307	знаменитое письмо	1	1
308	и сам	4	1
309	с такими	1	1
310	как по	1	1
311	в одном	7	1
312	их и	2	1
313	что за	1	1
314	тот кто	1	1
315	во внимание	2	1
316	на нее	3	1
317	на свою	1	1
318	не хотят	1	1
319	нашей научной	1	1
320	и начинается	1	1
321	этой поэмы	4	1
322	его произведений	1	1
323	что о	3	1
324	еще в	3	1
325	о своей	2	1
326	предполагать что	1	1
327	но не	5	1
328	поездке в	1	1
329	той духовной	1	1
330	но вот	1	1
331	сей день	1	1
332	в ту	1	1
333	дошла до	1	1
334	оппозиции которую	1	1
335	но для	3	1
336	если это	3	1
337	в составе	1	1
338	именно в	8	1
339	о смерти	1	1
340	уже на	1	1
341	жизни и	6	1
342	такое же	2	1
343	то время	2	1
344	представление о	5	1
345	действительно были	1	1
346	в таком	4	1
347	героев и	1	1
348	в процессе	3	1
349	уже давно	1	1
350	более что	2	1
351	в печати	8	1
352	но наука	1	1
353	в числе	4	1
354	считать что	1	1
355	меня в	2	1
356	новая форма	1	1
357	как говорит	3	1
358	но ведь	8	1
359	быть приняты	1	1
360	правда в	1	1
361	ясно что	10	1
362	н м	1	1
363	как о	2	1
364	также в	2	1
365	похож на	1	1
366	равно не	1	1
367	в предисловии	3	1
368	в соответствии	1	1
369	своей эпохи	1	1
370	этот раз	2	1
371	вряд ли	8	1
372	с семейством	1	1
373	тридцать лет	1	1
374	в польше	1	1
375	это время	3	1
376	между прочим	10	1
377	не дают	1	1
378	одном из	4	1
379	и перед	2	1
380	эпохи во	1	1
381	над тем	2	1
382	как в	15	1
383	роль в	1	1
384	правда не	1	1
385	и надеюсь	1	1
386	ли не	2	1
387	по своему	2	1
388	как нам	1	1
389	и я	5	1
390	эту сторону	2	1
391	его журнале	1	1
392	сразу же	1	1
393	никто не	4	1
394	но у	1	1
395	отличается от	2	1
396	да и	4	1
397	его жизни	3	1
398	по его	5	1
399	прочим и	1	1
400	который не	3	1
401	в свете	1	1
402	ему и	1	1
403	о котором	2	1
404	не знали	2	1
405	том как	4	1
406	в условиях	1	1
407	это было	2	1
408	из которого	2	1
409	к вопросу	1	1
410	для публики	2	1
411	в сторону	2	1
412	не принимал	1	1
413	из разных	1	1
414	не имеет	5	1
415	ничего общего	3	1
416	всех их	1	1
417	полагает что	1	1
418	тем не	4	1
419	что тот	2	1
420	работы над	5	1
421	что как	3	1
422	на днях	1	1
423	сих пор	12	1
424	и вообще	5	1
425	гораздо больше	2	1
426	романтизма и	1	1
427	иметь никакого	1	1
428	не был	1	1
429	для правильного	1	1
430	ему не	3	1
431	на них	2	1
432	время с	1	1
433	которой был	1	1
434	с этим	6	1
435	во всех	8	1
436	нас интересует	1	1
437	сам же	1	1
438	полемика с	1	1
439	до того	4	1
440	во всяком	8	1
441	образ петра	1	1
442	в стиле	1	1
443	это и	5	1
444	было не	3	1
445	п и	1	1
446	и довольно	1	1
447	выражение в	2	1
448	и ставил	1	1
449	этих строк	1	1
450	того в	1	1
451	в полной	1	1
452	критике не	1	1
453	сцена не	1	1
454	известном письме	1	1
455	было в	2	1
456	не могли	1	1
457	что этот	3	1
458	с н	1	1
459	поцелуй в	3	1
460	анонимный автор	1	1
461	которой он	1	1
462	узнав о	1	1
463	этой традиции	1	1
464	важнее всего	1	1
465	но которая	1	1
466	молодой человек	2	1
467	совпадает с	3	1
468	это за	1	1
469	на той	1	1
470	но при	1	1
471	и всего	1	1
472	потому что	13	1
473	не знаю	2	1
474	на первое	1	1
475	осенью года	1	1
476	все свои	1	1
477	это то	1	1
478	и и	2	1
479	д в	1	1
480	также и	10	1
481	и речи	3	1
482	совсем не	3	1
483	так называемую	1	1
484	нельзя не	3	1
485	обратился к	1	1
486	что первая	1	1
487	ряда других	1	1
488	не всегда	2	1
489	больше не	1	1
490	тех пор	1	1
491	к своей	1	1
492	в ответ	1	1
493	была ему	1	1
494	он смотрел	1	1
495	в развитии	2	1
496	быть и	2	1
497	во второй	10	1
498	комментариях к	1	1
499	существуют в	1	1
500	в частности	6	1
501	не будет	1	1
502	и лишь	2	1
503	никого не	1	1
504	но зато	1	1
505	нужно было	2	1
506	героини и	1	1
507	в свет	5	1
508	не могло	4	1
509	но они	3	1
510	и их	3	1
511	говорить о	3	1
512	не с	1	1
513	что эта	5	1
514	одно и	1	1
515	отношении к	3	1
516	всех этих	2	1
517	хотя в	2	1
518	точно так	2	1
519	как он	3	1
520	говорит я	1	1
521	один раз	1	1
522	не могла	2	1
523	это была	1	1
524	в форме	2	1
525	и другом	1	1
526	себя на	1	1
527	б в	3	1
528	этом смысле	2	1
529	тем самым	2	1
530	их другими	1	1
531	по своей	2	1
532	можно найти	3	1
533	от того	1	1
534	николая i	1	1
535	которую он	3	1
536	в обоих	2	1
537	что из	1	1
538	приняты во	1	1
539	в каком	4	1
540	каждый из	1	1
541	в москве	4	1
542	без труда	1	1
543	в плагиате	6	1
544	и можно	2	1
545	от вас	1	1
546	у которого	1	1
547	указания на	1	1
548	идет о	3	1
549	симптоматично что	1	1
550	как известно	2	1
551	с другой	11	1
552	было бы	21	1
553	а тем	1	1
554	это же	1	1
555	критика и	1	1
556	же только	1	1
557	верил в	1	1
558	что же	6	1
559	я думаю	11	1
560	не нужное	1	1
561	как на	10	1
562	как пушкин	3	1
563	не совсем	1	1
564	соответствии с	1	1
565	себя в	1	1
566	у себя	1	1
567	живо интересовался	1	1
568	у некоторых	1	1
569	и пытался	1	1
570	известном смысле	1	1
571	я с	3	1
572	время по	1	1
573	которых он	2	1
574	однако в	1	1
575	и никогда	1	1
576	в плане	1	1
577	что для	4	1
578	бы его	1	1
579	той же	5	1
580	заключается в	5	1
581	как правило	2	1
582	могут быть	5	1
583	и взял	1	1
584	только по	1	1
585	сказался в	1	1
586	не имел	1	1
587	сам в	3	1
588	за него	2	1
589	это можно	3	1
590	до конца	4	1
591	в высшей	1	1
592	к которому	4	1
593	во многих	3	1
594	что только	2	1
595	в полтаве	1	1
596	только при	1	1
597	себе очень	1	1
598	в первой	12	1
599	и от	2	1
600	и есть	1	1
601	вышел из	1	1
602	и гораздо	1	1
603	во всей	1	1
604	на этот	5	1
605	никому не	1	1
606	по крайней	2	1
607	всю жизнь	1	1
608	такой же	6	1
609	в остальном	1	1
610	но я	5	1
611	идет не	1	1
612	в №	3	1
613	дворца в	3	1
614	из этого	1	1
615	не все	3	1
616	от них	1	1
617	этом отношении	13	1
618	совершенно недвусмысленно	1	1
619	в рукописи	6	1
620	по первому	2	1
621	тут же	1	1
622	же это	3	1
623	всяком случае	8	1
624	автора к	1	1
625	конце концов	2	1
626	знать кто	1	1
627	независимо от	1	1
628	момент его	1	1
629	событий и	1	1
630	вопрос и	1	1
631	бы в	2	1
632	три недели	1	1
633	не просто	2	1
634	того же	4	1
635	нетрудно заметить	1	1
636	только о	1	1
637	в целом	5	1
638	крайней мере	2	1
639	его современников	2	1
640	едва ли	1	1
641	не писал	1	1
642	ничего не	6	1
643	вплоть до	6	1
644	в рукописных	2	1
645	и самый	2	1
646	как общее	1	1
647	доказывает что	1	1
648	к нему	2	1
649	более того	1	1
650	в подобных	1	1
651	котором он	2	1
652	высшей степени	1	1
