N	4gram	Voloshinov	Freidism
1	мы можем сказать что	1	5
2	ни в чем не	3	4
3	на протяжении всей жизни	2	4
4	фрейд и его ученики	3	4
5	протяжении всей жизни человека	2	3
6	не чем иным как	1	2
7	с точки зрения сознания	1	2
8	и пр и пр	2	2
9	возврат в материнское лоно	1	2
10	мир по ту сторону	2	2
11	желаний чувств и представлений	1	2
12	испытание с точки зрения	2	2
13	но мы знаем что	1	2
14	желаний и связанных с	1	2
15	двойное испытание с точки	1	2
16	бы то ни было	1	2
17	с его все позволено	2	2
18	говорить о том что	1	2
19	и связанных с ними	1	2
20	отношения ребенка к матери	1	2
21	все снова и снова	1	2
22	цензурой цензура лежит на	1	1
23	оно в историю не	1	1
24	имеющие отношения к сновидению	1	1
25	образования этих символов замещающих	1	1
26	социальный класс находится в	1	1
27	и ссылаются только друг	1	1
28	и процессам их удовлетворения	1	1
29	состояния все события взрослой	1	1
30	подавленных энергий творчество символов	1	1
31	учение фрейда об эрогенных	1	1
32	кабинет в освещенной части	1	1
33	на первый план выдвигается	1	1
34	сопротивление во всех его	1	1
35	социальное рождение и все	1	1
36	матери сексуализуя каждый акт	1	1
37	в более позднее время	1	1
38	увы на самом деле	1	1
39	от реальности возврат в	1	1
40	исследование фрейда посвящено сновидениям	1	1
41	ее присутствие хотя бы	1	1
42	и выдержать точку зрения	1	1
43	мы раздеты мы укутываемся	1	1
44	познание ощущения представления мысли	1	1
45	чем-то поверхностным головным не	1	1
46	культурного сознания хорошая шутка	1	1
47	к отцу так называемый	1	1
48	перенесением эмоций и аффектов	1	1
49	на два потока на	1	1
50	одной стороны сохранить какую-нибудь	1	1
51	непристойности как ее эстетическая	1	1
52	душевных явлений на волю	1	1
53	женщину на ее присутствие	1	1
54	такое галлюцинаторное удовлетворение желаний	1	1
55	ничего общего не может	1	1
56	подразделить на две группы	1	1
57	сновидения эта сила тормозит	1	1
58	в мир травматично организм	1	1
59	его собственный организм все	1	1
60	начали цитировать еще шопенгауэра	1	1
61	к этим скрытым мыслям	1	1
62	только то душевное образование	1	1
63	о действительно бывшем рае	1	1
64	точности выполнила приказанное прошла	1	1
65	в глубине ее подавленных	1	1
66	ни фрейд ни фрейдисты	1	1
67	обхода легального путем слияния	1	1
68	скрытым мыслям т.е как	1	1
69	классическими и образцовыми для	1	1
70	первобытный человек? что такое	1	1
71	т.е между организмом и	1	1
72	только частичной компенсацией потерянного	1	1
73	подыскать биологическую метафору приятно	1	1
74	новых и новых вытеснений	1	1
75	агрессивным сексуальные остроты родились	1	1
76	пробиться к скрытым мыслям	1	1
77	и позиция фрейда в	1	1
78	такой работе мы сейчас	1	1
79	раздражениями организма внутренние раздражения	1	1
80	отдушина для подавленных энергий	1	1
81	и в высшей степени	1	1
